"Year","Land-use change","Coal","Oil","Gas","Others"
1850,93.057646,6.942354,0,0,0
1851,93.241724,6.758276,0,0,0
1852,93.236706,6.763294,0,0,0
1853,93.186627,6.813373,0,0,0
1854,92.929833,7.070167,0,0,0
1855,92.720886,7.278914,0.000200,0,0
1856,92.526961,7.472683,0.000356,0,0
1857,92.367345,7.632138,0.000516,0,0
1858,92.236713,7.762609,0.000678,0,0
1859,92.099330,7.899889,0.000781,0,0
1860,91.849396,8.149102,0.001502,0,0
1861,91.596688,8.399435,0.003877,0,0
1862,91.361672,8.631315,0.007014,0,0
1863,91.104171,8.886360,0.009469,0,0
1864,90.805190,9.183584,0.011226,0,0
1865,90.487562,9.499243,0.013195,0,0
1866,90.188610,9.795270,0.016120,0,0
1867,89.864491,10.116722,0.018787,0,0
1868,89.547536,10.430764,0.021700,0,0
1869,89.226114,10.749065,0.024821,0,0
1870,88.962139,11.009533,0.028327,0,0
1871,88.683857,11.284461,0.031682,0,0
1872,88.388941,11.575891,0.035168,0,0
1873,88.065593,11.893489,0.040919,0,0
1874,87.847825,12.105405,0.046770,0,0
1875,87.607578,12.340901,0.051521,0,0
1876,87.382411,12.560967,0.056622,0,0
1877,87.149713,12.786455,0.063832,0,0
1878,86.943816,12.984532,0.071652,0,0
1879,86.709912,13.208654,0.081434,0,0
1880,86.426815,13.480311,0.092874,0,0.000000
1881,86.141673,13.753199,0.105127,0,0.000000
1882,85.862605,14.019530,0.117719,0.000146,0.000001
1883,85.551881,14.320364,0.127289,0.000465,0.000001
1884,85.274185,14.586941,0.137464,0.001409,0.000001
1885,85.011547,14.836773,0.147388,0.004290,0.000001
1886,84.747542,15.083590,0.158876,0.009990,0.000002
1887,84.486227,15.324902,0.170563,0.018306,0.000002
1888,84.158583,15.629564,0.182248,0.029602,0.000002
1889,83.864329,15.903017,0.195647,0.037005,0.000003
1890,83.560598,16.184146,0.211793,0.043461,0.000003
1891,83.266618,16.455327,0.230407,0.047644,0.000003
1892,82.980951,16.720774,0.247438,0.050833,0.000004
1893,82.741806,16.940239,0.264483,0.053468,0.000004
1894,82.496484,17.168118,0.279824,0.055570,0.000004
1895,82.228903,17.415534,0.297858,0.057701,0.000004
1896,81.949887,17.673545,0.316966,0.059598,0.000005
1897,81.671972,17.930432,0.336055,0.061535,0.000005
1898,81.370012,18.211309,0.354738,0.063936,0.000005
1899,81.031826,18.527596,0.373257,0.067316,0.000006
1900,80.681535,18.853878,0.393838,0.070743,0.000006
1901,80.331414,19.177577,0.416458,0.074544,0.000007
1902,79.992129,19.489240,0.440178,0.078445,0.000008
1903,79.605063,19.848236,0.464268,0.082425,0.000009
1904,79.239107,20.182525,0.491181,0.086404,0.000784
1905,78.858497,20.532752,0.516311,0.090867,0.001573
1906,78.467254,20.894524,0.540082,0.095766,0.002375
1907,77.983574,21.342490,0.570227,0.100610,0.003099
1908,77.568556,21.720382,0.602211,0.105110,0.003741
1909,77.153070,22.097790,0.633936,0.110673,0.004531
1910,76.705627,22.505165,0.667480,0.116443,0.005285
1911,76.276445,22.893532,0.701922,0.122126,0.005975
1912,75.818894,23.310116,0.735956,0.128372,0.006663
1913,75.304785,23.777124,0.776076,0.134670,0.007345
1914,74.901355,24.133716,0.816068,0.140927,0.007933
1915,74.526911,24.459176,0.857915,0.147453,0.008545
