"Year","LUC","LUC_upper","LUC_lower"
1959,2.113453,2.813453,1.413453
1960,1.830242,2.530242,1.130243
1961,1.861498,2.561497,1.161498
1962,1.727810,2.427810,1.027810
1963,1.681572,2.381572,0.981572
1964,1.599025,2.299025,0.899025
1965,1.535235,2.235235,0.835235
1966,1.425445,2.125445,0.725445
1967,1.474033,2.174033,0.774033
1968,1.455350,2.155350,0.755350
1969,1.592788,2.292788,0.892788
1970,1.554067,2.254067,0.854067
1971,1.396860,2.096860,0.696860
1972,1.471223,2.171222,0.771223
1973,1.431245,2.131245,0.731245
1974,1.402402,2.102403,0.702403
1975,1.380823,2.080823,0.680823
1976,1.387603,2.087603,0.687603
1977,1.504850,2.204850,0.804850
1978,1.477362,2.177363,0.777362
1979,1.279135,1.979135,0.579135
1980,1.355768,2.055767,0.655768
1981,1.318215,2.018215,0.618215
1982,1.240093,1.940092,0.540093
1983,1.305937,2.005937,0.605938
1984,1.539050,2.239050,0.839050
1985,1.444040,2.144040,0.744040
1986,1.508510,2.208510,0.808510
1987,1.457370,2.157370,0.757370
1988,1.411295,2.111295,0.711295
1989,1.351895,2.051895,0.651895
1990,1.358243,2.058242,0.658243
1991,1.356437,2.056437,0.656438
1992,1.435045,2.135045,0.735045
1993,1.357495,2.057495,0.657495
1994,1.607363,2.307362,0.907363
1995,1.482643,2.182643,0.782643
1996,1.640977,2.340978,0.940978
1997,2.021443,2.721443,1.321443
1998,1.676983,2.376982,0.976983
1999,1.638350,2.338350,0.938350
2000,1.445747,2.145747,0.745748
2001,1.300558,2.000558,0.600558
2002,1.399595,2.099595,0.699595
2003,1.658210,2.358210,0.958210
2004,1.474887,2.174887,0.774887
2005,1.334875,2.034875,0.634875
2006,1.455280,2.155280,0.755280
2007,1.253980,1.953980,0.553980
2008,1.331962,2.031962,0.631962
2009,1.439405,2.139405,0.739405
2010,1.497793,2.197793,0.797793
2011,1.440575,2.140575,0.740575
2012,1.542547,2.242547,0.842548
2013,1.396330,2.096330,0.696330
2014,1.472760,2.172760,0.772760
2015,1.509713,2.209713,0.809713
2016,1.202580,1.902580,0.502580
2017,1.154755,1.854755,0.454755
2018,1.049322,1.749322,0.349322
2019,1.033500,1.733500,0.333500
2020,0.938590,1.638590,0.238590
2021,0.969645,1.669645,0.269645
2022,0.966440,1.666440,0.266440
2023,0.989330,1.689330,0.289330
