"Year","LUC","LUC_upper","LUC_lower","Emissions","Plus1SD","Minus1SD","Total emissions","Plus1SD","Minus1SD"
1959,2.113453,2.813453,1.413453,2.404131,2.524337,2.283924,4.517583,5.227829,3.807337
1960,1.830242,2.530242,1.130243,2.548275,2.675689,2.420861,4.378517,5.090019,3.667016
1961,1.861498,2.561497,1.161498,2.555060,2.682813,2.427307,4.416557,5.128120,3.704995
1962,1.727810,2.427810,1.027810,2.644606,2.776836,2.512376,4.372416,5.084796,3.660036
1963,1.681572,2.381572,0.981572,2.785414,2.924684,2.646143,4.466986,5.180706,3.753266
1964,1.599025,2.299025,0.899025,2.936056,3.082858,2.789253,4.535081,5.250309,3.819853
1965,1.535235,2.235235,0.835235,3.067722,3.221108,2.914336,4.602957,5.319565,3.886349
1966,1.425445,2.125445,0.725445,3.216979,3.377828,3.056130,4.642424,5.360667,3.924181
1967,1.474033,2.174033,0.774033,3.318237,3.484149,3.152325,4.792269,5.511663,4.072876
1968,1.455350,2.155350,0.755350,3.498975,3.673923,3.324026,4.954325,5.675856,4.232794
1969,1.592788,2.292788,0.892788,3.731314,3.917879,3.544748,5.324101,6.048537,4.599666
1970,1.554067,2.254067,0.854067,4.040226,4.242237,3.838214,5.594293,6.322859,4.865727
1971,1.396860,2.096860,0.696860,4.203802,4.413992,3.993611,5.600662,6.331538,4.869785
1972,1.471223,2.171222,0.771223,4.398040,4.617942,4.178138,5.869263,6.602991,5.135535
1973,1.431245,2.131245,0.731245,4.630792,4.862332,4.399253,6.062037,6.799337,5.324738
1974,1.402402,2.102403,0.702403,4.609834,4.840325,4.379342,6.012236,6.749207,5.275265
1975,1.380823,2.080823,0.680823,4.620541,4.851568,4.389514,6.001364,6.738502,5.264225
1976,1.387603,2.087603,0.687603,4.874171,5.117879,4.630462,6.261773,7.002984,5.520562
1977,1.504850,2.204850,0.804850,5.010867,5.261410,4.760324,6.515717,7.259203,5.772231
1978,1.477362,2.177363,0.777362,5.163995,5.422194,4.905795,6.641357,7.387458,5.895256
1979,1.279135,1.979135,0.579135,5.309846,5.575338,5.044354,6.588981,7.337637,5.840325
1980,1.355768,2.055767,0.655768,5.275731,5.539518,5.011945,6.631499,7.379552,5.883446
1981,1.318215,2.018215,0.618215,5.147797,5.405187,4.890407,6.466012,7.211834,5.720191
1982,1.240093,1.940092,0.540093,5.105568,5.360847,4.850290,6.345661,7.090756,5.600565
1983,1.305937,2.005937,0.605938,5.137078,5.393932,4.880224,6.443016,7.188652,5.697379
1984,1.539050,2.239050,0.839050,5.314681,5.580415,5.048947,6.853731,7.602473,6.104989
