"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,1.056252,1.201299,0.157750,0.157006,1.397641,1.377267,0.678181,0.633270
1991,1.038318,1.169247,0.167949,0.162806,1.381811,1.353473,0.711271,0.654918
1992,1.003686,1.255393,0.178888,0.176390,1.412180,1.404539,0.745302,0.703000
1993,0.984680,1.171647,0.184852,0.177869,1.439097,1.420617,0.797394,0.752446
1994,0.979583,1.141137,0.194886,0.186455,1.464050,1.449305,0.847090,0.750529
1995,0.992229,1.157762,0.207550,0.196298,1.480693,1.465862,0.917477,0.817147
1996,1.015367,1.145759,0.224787,0.209709,1.531928,1.511787,0.957647,0.853001
1997,0.997246,1.122248,0.234173,0.219452,1.552441,1.540601,0.959496,0.834776
1998,0.994623,1.136488,0.239021,0.223724,1.564760,1.585033,0.918283,0.807823
1999,0.979520,1.137042,0.262217,0.249962,1.584039,1.634684,0.970872,0.865881
2000,0.982590,1.150326,0.269226,0.249961,1.640321,1.706480,0.995968,0.890397
2001,0.998068,1.151711,0.273070,0.251860,1.612374,1.685870,1.017606,0.916632
2002,0.998268,1.146062,0.281698,0.256001,1.622901,1.717979,1.119827,0.996385
2003,1.019771,1.188306,0.291413,0.270017,1.640324,1.770835,1.321266,1.112902
2004,1.021782,1.204588,0.309451,0.284805,1.668301,1.805755,1.423949,1.177932
2005,1.019510,1.231432,0.326035,0.301298,1.673631,1.834657,1.605378,1.287753
2006,1.024150,1.259029,0.352752,0.321815,1.651934,1.830466,1.772470,1.401724
2007,1.010494,1.257387,0.380051,0.354076,1.673068,1.811499,1.905990,1.513942
2008,0.989608,1.249822,0.406506,0.376972,1.614388,1.722995,2.047352,1.629208
2009,0.908993,1.129378,0.440015,0.416257,1.495831,1.576568,2.153679,1.834360
2010,0.934513,1.172234,0.457789,0.430549,1.550141,1.627156,2.352777,2.002479
2011,0.907979,1.135332,0.481635,0.444819,1.513678,1.587190,2.601619,2.221580
2012,0.889076,1.062098,0.525573,0.488868,1.458539,1.541810,2.669021,2.319570
2013,0.866569,1.028478,0.544514,0.485984,1.495676,1.565995,2.717339,2.381137
2014,0.829260,0.995117,0.586338,0.534035,1.508920,1.592483,2.726599,2.403543
2015,0.844638,0.982133,0.609776,0.571464,1.467378,1.579673,2.691991,2.418231
2016,0.844236,0.985102,0.642647,0.596213,1.433661,1.544769,2.664496,2.418311
2017,0.850771,0.996596,0.662284,0.622704,1.422533,1.537237,2.730989,2.493174
2018,0.832388,1.006418,0.707712,0.663723,1.467739,1.584078,2.820140,2.618748
2019,0.792770,0.963424,0.713124,0.669410,1.436175,1.555343,2.924122,2.710548
2020,0.717083,0.873728,0.660904,0.613487,1.286743,1.415628,2.976445,2.721840
2021,0.764504,0.952236,0.729864,0.668682,1.373421,1.520143,3.124430,2.838595
2022,0.747838,0.946853,0.772698,0.700597,1.386155,1.540081,3.097854,2.813790
