"Year","China","USA","India","EU27","Bunkers","RoW"
2000,0.995968,1.640321,0.269226,0.982590,0.214986,2.859395
2001,1.017606,1.612374,0.273070,0.998068,0.213301,2.901490
2002,1.119827,1.622901,0.281698,0.998268,0.218582,2.930359
2003,1.321266,1.640324,0.291413,1.019771,0.227419,3.051524
2004,1.423949,1.668301,0.309451,1.021782,0.247582,3.143484
2005,1.605378,1.673631,0.326035,1.019510,0.257330,3.200647
2006,1.772470,1.651934,0.352752,1.024150,0.271304,3.286667
2007,1.905990,1.673068,0.380051,1.010494,0.286955,3.350058
2008,2.047352,1.614388,0.406506,0.989608,0.289738,3.406283
2009,2.153679,1.495831,0.440015,0.908993,0.279194,3.330891
2010,2.352777,1.550141,0.457789,0.934513,0.295118,3.513348
2011,2.601619,1.513678,0.481635,0.907979,0.302782,3.609484
2012,2.669021,1.458539,0.525573,0.889076,0.299636,3.710563
2013,2.717339,1.495676,0.544514,0.866569,0.304066,3.706568
2014,2.726599,1.508920,0.586338,0.829260,0.305626,3.718501
2015,2.691991,1.467378,0.609776,0.844638,0.315765,3.733360
2016,2.664496,1.433661,0.642647,0.844236,0.320089,3.760989
2017,2.730989,1.422533,0.662284,0.850771,0.330215,3.825779
2018,2.820140,1.467739,0.707712,0.832388,0.340364,3.856337
2019,2.924122,1.436175,0.713124,0.792770,0.341370,3.919152
2020,2.976445,1.286743,0.660904,0.717083,0.233035,3.712724
2021,3.124430,1.373421,0.729864,0.764504,0.243892,3.859886
2022,3.097854,1.386155,0.772698,0.747838,0.278407,3.895497
2023,3.248500,1.340445,0.835787,0.685213,0.304741,3.899607
2024,3.263432,1.336152,0.876483,0.660935,0.329276,3.953508
