"Year","Emissions","Plus1SD","Minus1SD"
1959,2.404131,2.524337,2.283924
1960,2.548275,2.675689,2.420861
1961,2.555060,2.682813,2.427307
1962,2.644606,2.776836,2.512376
1963,2.785414,2.924684,2.646143
1964,2.936056,3.082858,2.789253
1965,3.067722,3.221108,2.914336
1966,3.216979,3.377828,3.056130
1967,3.318237,3.484149,3.152325
1968,3.498975,3.673923,3.324026
1969,3.731314,3.917879,3.544748
1970,4.040226,4.242237,3.838214
1971,4.203802,4.413992,3.993611
1972,4.398040,4.617942,4.178138
1973,4.630792,4.862332,4.399253
1974,4.609834,4.840325,4.379342
1975,4.620541,4.851568,4.389514
1976,4.874171,5.117879,4.630462
1977,5.010867,5.261410,4.760324
1978,5.163995,5.422194,4.905795
1979,5.309846,5.575338,5.044354
1980,5.275731,5.539518,5.011945
1981,5.147797,5.405187,4.890407
1982,5.105568,5.360847,4.850290
1983,5.137078,5.393932,4.880224
1984,5.314681,5.580415,5.048947
1985,5.494599,5.769329,5.219869
1986,5.574988,5.853737,5.296238
1987,5.745952,6.033250,5.458655
1988,5.970697,6.269232,5.672162
1989,6.053135,6.355792,5.750478
1990,6.147201,6.454561,5.839841
1991,6.268557,6.581985,5.955129
1992,6.088223,6.392634,5.783812
1993,6.146238,6.453550,5.838926
1994,6.207493,6.517867,5.897118
1995,6.351003,6.668553,6.033453
1996,6.546465,6.873789,6.219142
1997,6.582926,6.912073,6.253780
1998,6.555380,6.883149,6.227611
1999,6.702710,7.037846,6.367575
2000,6.878950,7.222898,6.535003
2001,6.929800,7.276290,6.583310
2002,7.081112,7.435167,6.727056
2003,7.454442,7.827164,7.081720
2004,7.710484,8.096008,7.324959
2005,7.971370,8.369939,7.572802
2006,8.238260,8.650173,7.826347
2007,8.476249,8.900061,8.052436
2008,8.619214,9.050175,8.188254
2009,8.467091,8.890445,8.043736
2010,8.953406,9.401077,8.505736
2011,9.254458,9.717181,8.791735
2012,9.383168,9.852326,8.914009
2013,9.457502,9.930377,8.984627
2014,9.490312,9.964828,9.015796
2015,9.476970,9.950818,9.003121
2016,9.478114,9.952020,9.004208
2017,9.630498,10.112023,9.148973
2018,9.826484,10.317808,9.335160
2019,9.925130,10.421387,9.428874
2020,9.380076,9.849080,8.911072
2021,9.879535,10.373512,9.385559
2022,9.960960,10.459007,9.462912
2023,10.100244,10.605256,9.595231
2024,10.209184,10.828155,9.591698
