"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,1.013420,0.355685,0.040350,0.839236,0.064710,0.019314,0.025725
1960,1.082134,0.395347,0.042731,0.860629,0.064148,0.024639,0.027325
1961,1.121681,0.354593,0.044212,0.858748,0.065432,0.025787,0.027287
1962,1.183654,0.336657,0.045397,0.891084,0.071011,0.029829,0.028138
1963,1.258161,0.354750,0.048126,0.929055,0.070406,0.033732,0.029829
1964,1.320913,0.371975,0.052849,0.976107,0.075133,0.039511,0.032328
1965,1.359774,0.403230,0.058306,1.017199,0.077754,0.047160,0.035255
1966,1.406588,0.436276,0.060339,1.067624,0.080965,0.054299,0.036009
1967,1.437686,0.442158,0.064696,1.112875,0.086467,0.056097,0.037712
1968,1.504679,0.485791,0.070215,1.156837,0.092405,0.064597,0.039555
1969,1.586600,0.551756,0.075796,1.213122,0.100429,0.073270,0.041802
1970,1.663538,0.658608,0.082534,1.308742,0.110552,0.077882,0.045194
1971,1.725984,0.715019,0.090506,1.322176,0.114086,0.091275,0.046371
1972,1.788463,0.755895,0.095985,1.388289,0.119477,0.098482,0.047171
1973,1.868338,0.798125,0.103117,1.449603,0.130579,0.116951,0.052496
1974,1.873327,0.810299,0.105945,1.410027,0.136871,0.121104,0.051656
1975,1.884070,0.858307,0.105627,1.375544,0.136454,0.118574,0.053336
1976,1.986299,0.899938,0.114606,1.454977,0.142759,0.138660,0.052609
1977,2.001682,0.959515,0.118155,1.498592,0.146094,0.145845,0.056246
1978,2.065125,1.008766,0.126184,1.522847,0.152771,0.146412,0.057932
1979,2.114129,1.047322,0.136186,1.553334,0.162556,0.155429,0.057932
1980,2.115223,1.049878,0.146295,1.506542,0.166138,0.151354,0.061588
1981,2.038356,1.043266,0.149802,1.473943,0.159324,0.150762,0.063855
1982,2.021987,1.080787,0.156104,1.410038,0.160213,0.154060,0.065345
1983,2.023759,1.122261,0.162338,1.396254,0.156177,0.162365,0.062412
1984,2.037674,1.189470,0.177289,1.464197,0.160133,0.170029,0.065430
1985,2.126399,1.255625,0.181806,1.463532,0.164589,0.183251,0.068165
1986,2.130305,1.305391,0.188366,1.463431,0.168139,0.194970,0.068313
1987,2.135879,1.365317,0.188395,1.518305,0.177000,0.199331,0.071510
1988,2.147594,1.477601,0.197971,1.586397,0.183272,0.212318,0.073575
1989,2.137962,1.524330,0.190659,1.615508,0.184634,0.224519,0.078031
1990,2.193854,1.574088,0.179677,1.609289,0.188482,0.223528,0.083882
1991,2.112060,1.636508,0.187681,1.594774,0.190336,0.242690,0.084458
1992,1.936858,1.700651,0.181947,1.629604,0.193233,0.267702,0.086373
1993,1.857537,1.767880,0.192803,1.658120,0.202813,0.290827,0.087534
1994,1.759299,1.848575,0.215672,1.690778,0.204575,0.306977,0.088935
1995,1.753064,1.946610,0.230496,1.705290,0.215689,0.309837,0.092105
1996,1.766253,2.034154,0.238066,1.763898,0.225497,0.314974,0.094390
1997,1.710186,2.070894,0.243976,1.794021,0.240113,0.310621,0.097129
1998,1.702904,1.994112,0.249037,1.813502,0.246815,0.321552,0.100508
1999,1.680233,2.103305,0.245597,1.838011,0.254250,0.345984,0.103714
2000,1.679668,2.166417,0.254050,1.901899,0.257157,0.382649,0.105661
2001,1.714225,2.207375,0.251253,1.876162,0.253008,0.392228,0.108357
2002,1.705446,2.345977,0.245629,1.888913,0.261930,0.395360,0.109797
2003,1.743929,2.594599,0.270097,1.918018,0.263989,0.421314,0.112352
2004,1.751923,2.743997,0.285403,1.946262,0.272967,0.450456,0.115959
2005,1.752778,2.958048,0.289127,1.956653,0.282108,0.469246,0.117242
2006,1.782206,3.161432,0.297807,1.936711,0.292574,0.498333,0.118911
2007,1.766896,3.358278,0.304828,1.964063,0.303305,0.501634,0.120657
2008,1.748511,3.516511,0.320618,1.900822,0.315123,0.540245,0.122308
2009,1.608325,3.640371,0.318843,1.769784,0.307373,0.562525,0.122189
2010,1.669376,3.925774,0.332057,1.826311,0.339462,0.593599,0.121989
2011,1.649868,4.248031,0.343180,1.799544,0.344232,0.608060,0.121480
2012,1.637162,4.389430,0.346326,1.749575,0.358980,0.648729,0.122570
2013,1.594275,4.466459,0.350036,1.786314,0.376719,0.636309,0.120554
2014,1.531395,4.522533,0.370452,1.795792,0.381885,0.648363,0.119197
2015,1.532882,4.527467,0.363715,1.752768,0.375844,0.672809,0.121658
2016,1.528947,4.552715,0.375305,1.717037,0.360844,0.687387,0.123794
2017,1.538190,4.684304,0.380242,1.704908,0.355127,0.704361,0.125225
2018,1.533028,4.841402,0.378451,1.753792,0.341057,0.710759,0.125827
2019,1.483872,4.972995,0.403766,1.722988,0.345244,0.730370,0.126110
2020,1.371811,4.920844,0.370025,1.547694,0.309861,0.713086,0.120579
2021,1.447609,5.156874,0.393429,1.643008,0.341843,0.751567,0.117776
2022,1.427093,5.188373,0.390964,1.663608,0.346110,0.767947,0.115946
2023,1.362779,5.389565,0.387207,1.622261,0.351681,0.780889,0.115169
