"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,0.772905,0.665952,0.052653,0.108993,0.196548,0.027688,0.231916,0.301785,0.058234
1960,0.790752,0.719180,0.063545,0.114875,0.218013,0.030383,0.241458,0.318747,0.065003
1961,0.787902,0.746212,0.077274,0.117357,0.155740,0.032861,0.249010,0.331385,0.071866
1962,0.817113,0.787363,0.080043,0.124540,0.125442,0.036185,0.261351,0.353733,0.074515
1963,0.853299,0.832266,0.088773,0.130051,0.124667,0.038877,0.280288,0.375838,0.078008
1964,0.890915,0.866114,0.098076,0.143535,0.125720,0.038070,0.298093,0.408293,0.085460
1965,0.927824,0.876823,0.105614,0.153135,0.136541,0.041949,0.316222,0.440569,0.088277
1966,0.974733,0.897031,0.114569,0.160471,0.149962,0.043497,0.333947,0.467890,0.095522
1967,1.011316,0.902973,0.133710,0.173163,0.125608,0.043547,0.349192,0.498182,0.102203
1968,1.048286,0.952029,0.153537,0.184350,0.135237,0.047508,0.359005,0.534127,0.108105
1969,1.101295,1.007908,0.178451,0.193145,0.165852,0.048421,0.373881,0.573822,0.113171
1970,1.184412,1.053115,0.210082,0.214050,0.220511,0.049597,0.393224,0.622060,0.119304
1971,1.191448,1.078473,0.218243,0.225407,0.248147,0.052392,0.417291,0.674015,0.125986
1972,1.248094,1.109266,0.235002,0.238817,0.264368,0.055414,0.439043,0.703758,0.134348
1973,1.306068,1.156195,0.249526,0.253402,0.275189,0.057067,0.457585,0.764176,0.143753
1974,1.261304,1.135223,0.249537,0.259085,0.280595,0.058912,0.475010,0.789564,0.133531
1975,1.222315,1.107936,0.237390,0.267380,0.322930,0.063922,0.499305,0.810734,0.122224
1976,1.295882,1.179334,0.248241,0.278864,0.334722,0.066798,0.518535,0.867471,0.119845
1977,1.334594,1.168974,0.255330,0.293004,0.365947,0.070677,0.536172,0.901428,0.122626
1978,1.348720,1.198571,0.247015,0.306988,0.407418,0.071820,0.554586,0.944919,0.124463
1979,1.367073,1.238850,0.261225,0.325115,0.416392,0.075405,0.559185,0.983641,0.124919
1980,1.312467,1.210946,0.258880,0.337005,0.407886,0.079615,0.581187,1.009033,0.121902
1981,1.279133,1.145387,0.253922,0.342310,0.402972,0.085962,0.570121,0.999501,0.112533
1982,1.213865,1.114410,0.245828,0.347588,0.438478,0.088805,0.580869,1.018691,0.101874
1983,1.208982,1.101502,0.241381,0.340076,0.462395,0.096124,0.589108,1.045998,0.097814
1984,1.272513,1.110460,0.256694,0.352175,0.503501,0.098679,0.594339,1.075860,0.098169
1985,1.269907,1.132292,0.249799,0.361889,0.545328,0.108513,0.640976,1.134664,0.100274
1986,1.272847,1.129046,0.249467,0.364774,0.574294,0.116351,0.641083,1.171052,0.107440
1987,1.317143,1.134962,0.246228,0.385280,0.616195,0.124275,0.643537,1.188118,0.143955
1988,1.378509,1.124953,0.268749,0.402374,0.662089,0.134195,0.665102,1.242756,0.148873
1989,1.400803,1.137331,0.278733,0.422735,0.672395,0.147558,0.656339,1.239750,0.154247
1990,1.397641,1.165446,0.315882,0.439161,0.678181,0.157750,0.692207,1.206529,0.150528
1991,1.381811,1.164634,0.319076,0.449261,0.711271,0.167949,0.656866,1.328078,0.149139
1992,1.412180,1.129999,0.321750,0.467230,0.745302,0.178888,0.536710,1.204308,0.152151
1993,1.439097,1.108826,0.319840,0.481819,0.797394,0.184852,0.509478,1.216208,0.153126
1994,1.464050,1.103701,0.334851,0.500193,0.847090,0.194886,0.449690,1.220350,0.160556
1995,1.480693,1.112757,0.338208,0.512021,0.917477,0.207550,0.442065,1.242320,0.169421
1996,1.531928,1.141215,0.341620,0.539279,0.957647,0.224787,0.433085,1.267671,0.183447
1997,1.552441,1.119657,0.339628,0.566088,0.959496,0.234173,0.404543,1.290915,0.192968
1998,1.564760,1.123275,0.328765,0.559280,0.918283,0.239021,0.399905,1.295140,0.204698
1999,1.584039,1.112302,0.338754,0.573376,0.970872,0.262217,0.407800,1.321735,0.212128
2000,1.640321,1.116199,0.344976,0.597673,0.995968,0.269226,0.403696,1.379442,0.214986
2001,1.612374,1.132026,0.340992,0.601986,1.017606,0.273070,0.413659,1.410895,0.213301
2002,1.622901,1.127067,0.349071,0.612632,1.119827,0.281698,0.411241,1.428616,0.218582
2003,1.640324,1.149407,0.351391,0.634849,1.321266,0.291413,0.419492,1.516157,0.227419
2004,1.668301,1.152672,0.350135,0.642004,1.423949,0.309451,0.421386,1.599069,0.247582
2005,1.673631,1.149532,0.352155,0.657201,1.605378,0.326035,0.426467,1.634802,0.257330
2006,1.651934,1.152323,0.345878,0.669689,1.772470,0.352752,0.442959,1.699970,0.271304
2007,1.673068,1.133810,0.355621,0.692822,1.905990,0.380051,0.443172,1.735128,0.286955
2008,1.614388,1.110275,0.336298,0.695376,2.047352,0.406506,0.450891,1.803051,0.289738
2009,1.495831,1.023101,0.317520,0.684792,2.153679,0.440015,0.421680,1.792791,0.279194
2010,1.550141,1.055226,0.331550,0.705515,2.352777,0.457789,0.445629,1.909942,0.295118
2011,1.513678,1.012365,0.345196,0.731562,2.601619,0.481635,0.460128,1.968211,0.302782
2012,1.458539,1.001077,0.356440,0.746130,2.669021,0.525573,0.464320,2.031672,0.299636
2013,1.495676,0.981210,0.358979,0.742646,2.717339,0.544514,0.447718,2.042585,0.304066
2014,1.508920,0.931624,0.344925,0.740112,2.726599,0.586338,0.447587,2.083513,0.305626
2015,1.467378,0.942271,0.333843,0.751003,2.691991,0.609776,0.447237,2.103645,0.315765
2016,1.433661,0.936540,0.328380,0.756980,2.664496,0.642647,0.446202,2.137123,0.320089
2017,1.422533,0.937799,0.324095,0.765986,2.730989,0.662284,0.454727,2.193943,0.330215
2018,1.467739,0.918324,0.311812,0.772429,2.820140,0.707712,0.467384,2.218775,0.340364
2019,1.436175,0.875268,0.301713,0.765389,2.924122,0.713124,0.465347,2.304204,0.341370
2020,1.286743,0.790558,0.283975,0.719194,2.976445,0.660904,0.445668,2.190412,0.233035
