"Year","deforestation_tot mean","deforestation_tot min","deforestation_tot max","forest_regrowth_tot mean","forest_regrowth_tot min","forest_regrowth_tot max","wood_harvest mean","wood_harvest min","wood_harvest max","other_transitions mean","other_transitions min","other_transitions max","peat_emissions mean","peat_emissions min","peat_emissions max"
1959,2.047925,1.268340,2.871820,-0.823800,-1.154160,-0.561460,0.219155,-0.212010,0.501950,0.439045,0.381640,0.491520,0.231127,0.143120,0.292270
1960,1.841128,1.304420,2.418700,-0.832863,-1.152210,-0.569330,0.225355,-0.217330,0.515010,0.417447,0.392320,0.457220,0.179177,0.143120,0.209700
1961,1.833617,1.323580,2.423540,-0.836008,-1.147150,-0.577410,0.236380,-0.222260,0.541120,0.404385,0.401450,0.407980,0.223120,0.143120,0.315980
1962,1.784718,1.343880,2.308420,-0.839437,-1.143640,-0.585230,0.241470,-0.227760,0.554200,0.386703,0.376710,0.403870,0.154353,0.118150,0.201790
1963,1.756248,1.343960,2.252320,-0.842463,-1.139990,-0.592800,0.244478,-0.233070,0.563150,0.360847,0.339790,0.399870,0.162460,0.136840,0.207420
1964,1.712137,1.342770,2.131940,-0.845385,-1.136260,-0.600280,0.249700,-0.234900,0.571820,0.330270,0.306980,0.374180,0.152300,0.097940,0.215840
1965,1.660408,1.312660,2.060860,-0.848930,-1.135400,-0.607480,0.253468,-0.234230,0.577110,0.310300,0.291780,0.354380,0.159990,0.143120,0.188310
1966,1.600383,1.298560,1.945550,-0.852480,-1.130130,-0.614550,0.256450,-0.233100,0.582930,0.278147,0.241320,0.321330,0.142940,0.088000,0.197700
1967,1.594680,1.275920,1.936900,-0.851527,-1.125390,-0.621370,0.257733,-0.230390,0.589440,0.312098,0.286160,0.329560,0.161057,0.135400,0.204650
1968,1.589093,1.263640,1.913090,-0.852265,-1.119570,-0.627220,0.262352,-0.228960,0.596590,0.298185,0.277510,0.321890,0.157987,0.140740,0.190100
1969,1.739083,1.273560,2.169940,-0.855225,-1.108910,-0.633680,0.266865,-0.227120,0.601340,0.271795,0.250690,0.288840,0.170273,0.143120,0.194140
1970,1.696273,1.274020,2.080800,-0.860275,-1.119490,-0.639840,0.270857,-0.226910,0.607910,0.239322,0.172440,0.305060,0.207893,0.143120,0.276050
1971,1.613897,1.271340,1.972980,-0.858673,-1.112670,-0.646590,0.274938,-0.222630,0.612590,0.233520,0.162480,0.309560,0.133180,0.066850,0.189570
1972,1.662397,1.260600,2.118290,-0.861712,-1.106270,-0.652400,0.276602,-0.220740,0.614120,0.232425,0.185130,0.304160,0.161507,0.143120,0.198000
1973,1.642368,1.256410,2.060960,-0.863278,-1.098200,-0.658510,0.278585,-0.217470,0.617040,0.214315,0.150490,0.319700,0.159257,0.143120,0.180280
1974,1.627397,1.244120,2.017160,-0.858268,-1.090410,-0.664110,0.281913,-0.214870,0.615320,0.204100,0.134640,0.325610,0.147257,0.107180,0.191470
1975,1.620685,1.250570,1.975770,-0.860442,-1.083590,-0.669540,0.278425,-0.211200,0.609000,0.204093,0.126210,0.338830,0.138063,0.076080,0.194990
1976,1.603948,1.243410,1.930130,-0.858472,-1.075310,-0.673780,0.283325,-0.212640,0.613650,0.188195,0.094830,0.330910,0.170613,0.143120,0.201670
1977,1.669882,1.228110,2.103210,-0.860460,-1.066570,-0.678670,0.285177,-0.206000,0.618340,0.234527,0.189840,0.339100,0.175720,0.143120,0.197970
1978,1.644935,1.210340,2.058420,-0.861035,-1.062610,-0.683870,0.288493,-0.203900,0.624710,0.231900,0.188990,0.336270,0.173077,0.143120,0.199500
1979,1.543877,1.197120,1.843950,-0.865868,-1.063060,-0.689860,0.293535,-0.199260,0.633650,0.185628,0.113810,0.309000,0.121967,0.054510,0.168270
1980,1.560555,1.193640,1.878390,-0.865110,-1.056350,-0.696220,0.297543,-0.192290,0.640320,0.176860,0.122120,0.290120,0.185917,0.143120,0.227390
1981,1.549340,1.210560,1.840750,-0.866382,-1.053160,-0.702740,0.297365,-0.188670,0.642940,0.177615,0.122520,0.292170,0.160277,0.140760,0.188050
1982,1.517262,1.228280,1.761890,-0.867912,-1.051980,-0.709660,0.296660,-0.188480,0.642070,0.151218,0.079800,0.273950,0.142863,0.070870,0.196790
1983,1.551835,1.257810,1.808440,-0.870580,-1.045230,-0.715720,0.295335,-0.186130,0.639980,0.173923,0.128380,0.263740,0.155423,0.098210,0.198230
1984,1.701113,1.291920,2.063320,-0.869640,-1.038590,-0.720720,0.300015,-0.187940,0.641790,0.179245,0.111330,0.292470,0.228320,0.178730,0.267100
1985,1.615995,1.283420,1.892450,-0.869968,-1.032430,-0.725050,0.302772,-0.183300,0.641270,0.171635,0.086240,0.293270,0.223607,0.187630,0.261990
1986,1.681442,1.297520,2.001060,-0.874320,-1.026490,-0.730320,0.303053,-0.182770,0.647940,0.167865,0.082560,0.262280,0.230470,0.196540,0.285760
1987,1.659925,1.347380,1.893410,-0.880787,-1.024580,-0.736320,0.309495,-0.175790,0.655530,0.151095,0.052290,0.251250,0.217647,0.181070,0.266430
1988,1.621002,1.358620,1.850360,-0.883382,-1.027550,-0.743860,0.314565,-0.171940,0.671090,0.140600,0.053710,0.236800,0.218510,0.167540,0.273650
1989,1.571752,1.349410,1.838460,-0.885922,-1.029880,-0.753110,0.322720,-0.159560,0.681140,0.137288,0.070110,0.222420,0.206050,0.111720,0.283190
1990,1.572625,1.334290,1.877830,-0.902807,-1.055870,-0.767150,0.331678,-0.153250,0.697110,0.152210,0.114120,0.205560,0.204537,0.113200,0.268260
1991,1.599000,1.353710,1.881300,-0.916445,-1.081280,-0.781920,0.342240,-0.141930,0.713330,0.142025,0.118550,0.198170,0.189620,0.087950,0.246020
1992,1.659555,1.444160,1.876020,-0.925323,-1.087540,-0.797840,0.332810,-0.136640,0.677750,0.135785,0.101350,0.179840,0.232220,0.168930,0.290100
1993,1.672583,1.395520,1.914080,-0.931710,-1.089540,-0.814120,0.318540,-0.134510,0.641030,0.117942,0.084630,0.161080,0.180137,0.051870,0.248060
1994,1.896415,1.764990,2.016080,-0.943970,-1.103160,-0.820720,0.303390,-0.139220,0.615050,0.099968,0.054950,0.151660,0.251557,0.221090,0.290450
1995,1.849963,1.622740,2.083780,-0.958040,-1.118610,-0.828620,0.293175,-0.133140,0.603080,0.088818,0.027510,0.140740,0.208733,0.108520,0.270280
1996,1.882437,1.680020,2.095290,-0.958442,-1.112710,-0.826310,0.288340,-0.124830,0.594440,0.084918,0.001900,0.129480,0.343713,0.249900,0.496130
1997,1.926618,1.726570,2.144300,-0.968775,-1.117690,-0.826500,0.281092,-0.117260,0.584370,0.049447,-0.006810,0.123690,0.733063,0.687680,0.771990
1998,2.082813,1.856990,2.240780,-0.985140,-1.127840,-0.833740,0.276182,-0.103190,0.577070,0.055455,-0.027680,0.138340,0.247673,0.216480,0.283670
1999,2.056600,1.847220,2.285610,-0.992968,-1.145420,-0.840040,0.275675,-0.096370,0.578630,0.042120,-0.035620,0.150410,0.256920,0.226390,0.273840
2000,1.955547,1.705020,2.249370,-1.007458,-1.171270,-0.846560,0.283937,-0.085130,0.594510,0.037200,-0.055220,0.147010,0.176517,0.101530,0.215390
2001,1.863487,1.585590,2.206850,-1.021112,-1.188750,-0.849060,0.279232,-0.077220,0.589380,0.003575,-0.108830,0.131550,0.175380,0.074820,0.227310
2002,1.870360,1.643210,2.210020,-1.038132,-1.208310,-0.858750,0.283353,-0.072030,0.593740,0.032300,-0.054660,0.133710,0.251717,0.136640,0.309620
2003,2.114045,1.671250,2.294710,-1.053063,-1.224520,-0.868120,0.293423,-0.074200,0.607990,0.071987,-0.044420,0.169220,0.231810,0.202110,0.259330
2004,1.908842,1.655000,2.295580,-1.058970,-1.222200,-0.864690,0.301268,-0.068540,0.606330,0.069983,-0.051080,0.166640,0.253763,0.207750,0.287620
2005,1.841867,1.603500,2.220280,-1.071227,-1.234750,-0.866830,0.300615,-0.065750,0.597780,0.046647,-0.048640,0.139410,0.216970,0.121560,0.278320
2006,1.780578,1.455790,2.212410,-1.083712,-1.247750,-0.875500,0.302290,-0.066630,0.595140,0.050990,-0.039410,0.137440,0.405143,0.382120,0.439270
2007,1.788910,1.462920,2.214380,-1.091938,-1.250940,-0.878540,0.308272,-0.062370,0.601170,0.056282,-0.033840,0.128380,0.192453,0.130860,0.227550
2008,1.813715,1.500420,2.228280,-1.094988,-1.258680,-0.877280,0.308250,-0.061750,0.596820,0.092925,-0.005930,0.177060,0.212057,0.178250,0.238150
2009,1.843030,1.514520,2.243270,-1.106803,-1.287220,-0.876900,0.295387,-0.063720,0.580710,0.096905,0.018420,0.166630,0.310887,0.280030,0.332310
2010,1.903080,1.621450,2.306560,-1.138127,-1.323860,-0.908320,0.301013,-0.071120,0.600470,0.167100,0.061880,0.249000,0.264733,0.220340,0.334660
2011,1.868877,1.535520,2.318080,-1.142397,-1.322790,-0.911840,0.306680,-0.067640,0.612190,0.147715,0.044160,0.224240,0.259703,0.221890,0.300320
2012,1.916245,1.671940,2.312020,-1.144885,-1.339870,-0.906790,0.318770,-0.064280,0.634050,0.126770,0.041410,0.202490,0.325650,0.257330,0.405780
2013,1.860362,1.517000,2.320060,-1.151202,-1.356420,-0.906880,0.305675,-0.059670,0.616970,0.123145,0.044430,0.197540,0.258347,0.245750,0.281670
2014,1.876872,1.557060,2.319210,-1.169170,-1.383120,-0.922360,0.294258,-0.058120,0.582170,0.128188,0.038890,0.192430,0.342607,0.324420,0.371910
2015,1.846490,1.489460,2.335200,-1.177915,-1.417370,-0.921340,0.276882,-0.060040,0.605020,0.109900,0.027950,0.162100,0.454360,0.424760,0.492290
2016,1.798507,1.437910,2.320960,-1.188340,-1.434240,-0.927080,0.265435,-0.065390,0.638640,0.104495,-0.000310,0.159640,0.222480,0.203100,0.235580
2017,1.800495,1.470900,2.309290,-1.196052,-1.445080,-0.932610,0.255790,-0.060000,0.630860,0.094767,-0.011910,0.150880,0.199750,0.142810,0.230840
2018,1.712957,1.323070,2.284090,-1.198037,-1.459350,-0.926830,0.267093,-0.055290,0.662590,0.052990,-0.028420,0.100520,0.214320,0.160040,0.242180
2019,1.665250,1.261560,2.261110,-1.207237,-1.484870,-0.927030,0.270930,-0.036280,0.673190,0.051525,-0.040320,0.098740,0.253033,0.127500,0.317080
2020,1.651115,1.248520,2.263980,-1.213383,-1.502450,-0.925350,0.274215,-0.018100,0.674490,0.037638,-0.047160,0.073520,0.189007,0.108420,0.230410
2021,1.686360,1.374840,2.281120,-1.213178,-1.506160,-0.922190,0.281408,-0.018100,0.678280,0.040235,-0.047160,0.078450,0.174823,0.077250,0.228100
2022,1.658835,1.292490,2.285830,-1.212980,-1.510180,-0.918720,0.284260,-0.018100,0.677620,0.038235,-0.047160,0.078960,0.198097,0.146180,0.227020
2023,1.659935,1.288590,2.283690,-1.219870,-1.542250,-0.915650,0.285880,-0.018100,0.673410,0.038158,-0.047160,0.079060,0.225230,0.173320,0.254150
