"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,2.416673,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,2.561957,166.995282,"NaN","NaN","NaN","NaN","NaN","NaN"
1961,2.569608,160.726707,"NaN","NaN","NaN","NaN","NaN","NaN"
1962,2.660286,158.192720,"NaN","NaN","NaN","NaN","NaN","NaN"
1963,2.802067,159.444520,"NaN","NaN","NaN","NaN","NaN","NaN"
1964,2.954276,156.754252,"NaN","NaN","NaN","NaN","NaN","NaN"
1965,3.086954,155.238319,"NaN","NaN","NaN","NaN","NaN","NaN"
1966,3.237622,154.499719,"NaN","NaN","NaN","NaN","NaN","NaN"
1967,3.339893,153.490810,"NaN","NaN","NaN","NaN","NaN","NaN"
1968,3.522184,152.567671,"NaN","NaN","NaN","NaN","NaN","NaN"
1969,3.755946,153.613836,3.792647,"NaN","NaN","NaN","NaN","NaN"
1970,4.066355,157.721694,"NaN","NaN","NaN","NaN","NaN","NaN"
1971,4.231401,156.799650,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,4.428110,155.466438,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,4.662962,153.072656,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,4.642760,147.830085,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,4.654136,146.104302,"NaN",4.675746,"NaN","NaN","NaN","NaN"
1976,4.909692,145.790280,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,5.048754,143.697589,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,5.204501,142.471061,5.750856,"NaN","NaN","NaN","NaN","NaN"
1979,5.351807,140.886250,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,5.318920,137.253864,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,5.191841,131.449537,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,5.150409,129.484749,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,5.183382,127.103584,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,5.362391,126.401748,"NaN",6.196882,"NaN","NaN","NaN","NaN"
1985,5.543641,126.611564,"NaN","NaN",5.496392,"NaN","NaN","NaN"
1986,5.626355,124.170200,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,5.799693,123.674297,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,6.027601,123.303251,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,6.109890,120.734799,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,6.203327,119.757831,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,6.328084,120.805142,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,6.148519,115.517727,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,6.210641,114.820700,"NaN","NaN","NaN",6.162370,"NaN","NaN"
1994,6.275368,112.855941,"NaN","NaN",6.876762,"NaN","NaN","NaN"
1995,6.422512,112.028160,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,6.620679,111.345520,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,6.659909,107.799860,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,6.633127,104.767165,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,6.783223,103.584617,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,6.962487,101.549522,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,7.015910,100.010333,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,7.171634,99.621735,"NaN","NaN","NaN",7.281833,"NaN","NaN"
2003,7.551717,101.237051,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,7.814549,99.664629,"NaN","NaN","NaN","NaN",7.792780,"NaN"
2005,8.082531,98.599493,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,8.359278,96.992249,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,8.606617,94.997350,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,8.753875,94.065368,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,8.608603,93.149741,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,9.103685,93.795511,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,9.417177,93.436301,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,9.552407,91.955039,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,9.634731,89.826091,"NaN","NaN","NaN","NaN",9.955245,"NaN"
2014,9.675244,87.300426,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,9.662909,84.409208,"NaN","NaN","NaN","NaN","NaN",9.612245
2016,9.666118,81.801059,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,9.822570,80.130697,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,10.024680,79.037186,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,10.126713,77.650633,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,9.586934,75.961416,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,10.095998,75.512386,"NaN","NaN","NaN","NaN","NaN","NaN"
2022,10.178449,73.588060,"NaN","NaN","NaN","NaN","NaN","NaN"
2023,10.314293,72.296795,"NaN","NaN","NaN","NaN","NaN","NaN"
2024,10.419787,70.656594,"NaN","NaN","NaN","NaN","NaN",10.769799
