"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,1.688715,0.196566,0.145345,3.712370,0.362300,0.257456,1.909471
1960,1.785500,0.215116,0.150330,3.735319,0.349592,0.319575,1.984287
1961,1.832342,0.190054,0.151862,3.656759,0.347131,0.325356,1.939062
1962,1.914917,0.176972,0.152192,3.724288,0.366814,0.365755,1.958581
1963,2.016959,0.181988,0.157427,3.813167,0.354206,0.401732,2.034734
1964,2.098676,0.186164,0.168625,3.936233,0.368236,0.457060,2.160990
1965,2.142290,0.197164,0.181419,4.033722,0.371398,0.529970,2.308586
1966,2.198724,0.208578,0.183069,4.168584,0.377113,0.592584,2.310411
1967,2.230414,0.206833,0.191355,4.282031,0.392942,0.594342,2.375275
1968,2.318167,0.222234,0.202402,4.387046,0.409930,0.664427,2.447824
1969,2.428911,0.246726,0.212914,4.532373,0.435130,0.731648,2.538892
1970,2.532028,0.288015,0.225894,4.809728,0.468000,0.755053,2.679919
1971,2.611350,0.306049,0.241348,4.777572,0.472025,0.859163,2.673847
1972,2.688287,0.316863,0.249411,4.939528,0.483254,0.900037,2.659833
1973,2.791103,0.327697,0.260971,5.084563,0.516413,1.037719,2.909826
1974,2.781932,0.326098,0.260958,4.877453,0.529366,1.043304,2.817098
1975,2.781969,0.338956,0.253009,4.692162,0.516265,0.991957,2.867996
1976,2.917441,0.349075,0.266833,4.895281,0.528515,1.123506,2.796026
1977,2.925023,0.365721,0.267550,4.970932,0.529245,1.143886,2.957202
1978,3.003217,0.377904,0.277715,4.976234,0.541504,1.116807,3.014002
1979,3.060482,0.385599,0.291080,4.999289,0.563847,1.152789,2.982635
1980,3.048138,0.379777,0.303882,4.776412,0.563982,1.088228,3.133771
1981,2.924730,0.370715,0.302311,4.609524,0.529435,1.046915,3.203849
1982,2.889640,0.377073,0.305846,4.354425,0.521246,1.033407,3.229304
1983,2.880629,0.384430,0.309105,4.258312,0.497480,1.055035,3.040861
1984,2.888945,0.400203,0.328294,4.411337,0.499511,1.069776,3.146812
1985,3.003122,0.414890,0.327287,4.356766,0.502974,1.117537,3.236885
1986,2.996456,0.423478,0.329608,4.305309,0.503570,1.152895,3.201138
1987,2.991295,0.434725,0.320448,4.414909,0.519708,1.143096,3.303756
1988,2.995165,0.461904,0.327584,4.557878,0.527704,1.182315,3.349355
1989,2.970659,0.468072,0.307026,4.583080,0.521501,1.214670,3.500404
1990,3.038196,0.474920,0.281638,4.501214,0.522436,1.177044,3.704525
1991,2.916381,0.485708,0.286602,4.393444,0.518037,1.243189,3.674734
1992,2.668317,0.497196,0.270861,4.421325,0.516718,1.333969,3.713775
1993,2.554827,0.509400,0.279855,4.431598,0.533068,1.416972,3.724767
1994,2.417587,0.525296,0.305363,4.453736,0.528696,1.464493,3.744065
1995,2.408177,0.545839,0.318314,4.429535,0.548284,1.446051,3.832139
1996,2.425729,0.563094,0.320611,4.520183,0.564077,1.438879,3.879403
1997,2.348311,0.566146,0.320605,4.535811,0.591283,1.389007,3.946172
1998,2.338649,0.538553,0.319418,4.524597,0.598548,1.407502,4.040148
1999,2.308560,0.561319,0.307444,4.527360,0.607491,1.482751,4.125812
2000,2.308151,0.571393,0.310318,4.627292,0.605700,1.605635,4.157581
2001,2.355880,0.575435,0.299405,4.510762,0.587788,1.611588,4.213765
2002,2.343568,0.604568,0.285513,4.490435,0.600531,1.594491,4.216815
2003,2.394799,0.661184,0.306221,4.510632,0.597673,1.668729,4.260931
2004,2.403285,0.691713,0.315553,4.527576,0.610530,1.748834,4.344626
2005,2.401808,0.737835,0.311709,4.502565,0.623524,1.782530,4.338732
2006,2.439044,0.780461,0.313026,4.409285,0.639230,1.848224,4.340079
2007,2.412966,0.820684,0.312296,4.423848,0.655282,1.814857,4.334361
2008,2.381743,0.850714,0.320108,4.236660,0.673446,1.906654,4.318059
2009,2.185836,0.871702,0.310219,3.904930,0.649919,1.937842,4.241049
2010,2.264530,0.930420,0.314802,3.989835,0.710273,1.999932,4.171375
2011,2.234050,0.996534,0.317101,3.891639,0.712773,2.007482,4.097170
2012,2.212868,1.019206,0.311908,3.745119,0.735642,2.099386,4.074403
2013,2.151658,1.026787,0.307126,3.786235,0.764209,2.017637,3.947645
2014,2.063985,1.029741,0.316676,3.770642,0.766993,2.013047,3.846096
2015,2.062928,1.021427,0.302941,3.647408,0.747431,2.045970,3.868452
2016,2.054259,1.017910,0.304729,3.540978,0.710683,2.051293,3.876994
2017,2.063518,1.038029,0.301108,3.484760,0.692889,2.067603,3.861164
2018,2.054064,1.063992,0.292301,3.555576,0.659413,2.053355,3.819733
2019,1.985970,1.084659,0.304235,3.466850,0.661784,2.077058,3.768053
2020,1.835885,1.065839,0.272054,3.096063,0.589354,2.003985,3.555116
2021,1.940041,1.110497,0.282411,3.273446,0.645817,2.090296,3.436174
2022,1.916687,1.112320,0.274139,3.298776,0.649737,2.108956,3.348300
2023,1.833449,1.149602,0.265231,3.197860,0.655548,2.116073,3.292691
