"Year","Bunkers","All others","India","China","EU27","USA"
1959,0.058234,0.831656,0.027688,0.196548,0.529642,0.772905
1960,0.065003,0.884667,0.030383,0.218013,0.573138,0.790752
1961,0.071866,0.920899,0.032861,0.155740,0.600340,0.787902
1962,0.074515,0.964398,0.036185,0.125442,0.642633,0.817113
1963,0.078008,1.021381,0.038877,0.124667,0.685835,0.853299
1964,0.085460,1.092433,0.038070,0.125720,0.721678,0.890915
1965,0.088277,1.161706,0.041949,0.136541,0.730657,0.927824
1966,0.095522,1.220999,0.043497,0.149962,0.752909,0.974733
1967,0.102203,1.287474,0.043547,0.125608,0.769746,1.011316
1968,0.108105,1.366021,0.047508,0.135237,0.817028,1.048286
1969,0.113171,1.455946,0.048421,0.165852,0.871261,1.101295
1970,0.119304,1.583200,0.049597,0.220511,0.909330,1.184412
1971,0.125986,1.678443,0.052392,0.248147,0.934986,1.191448
1972,0.134348,1.755362,0.055414,0.264368,0.970524,1.248094
1973,0.143753,1.863068,0.057067,0.275189,1.017816,1.306068
1974,0.133531,1.895816,0.058912,0.280595,1.012602,1.261304
1975,0.122224,1.930015,0.063922,0.322930,0.992730,1.222315
1976,0.119845,2.024485,0.066798,0.334722,1.067959,1.295882
1977,0.122626,2.097419,0.070677,0.365947,1.057489,1.334594
1978,0.124463,2.158975,0.071820,0.407418,1.093105,1.348720
1979,0.124919,2.245034,0.075405,0.416392,1.122983,1.367073
1980,0.121902,2.283781,0.079615,0.407886,1.113269,1.312467
1981,0.112533,2.256404,0.085962,0.402972,1.054836,1.279133
1982,0.101874,2.277648,0.088805,0.438478,1.029739,1.213865
1983,0.097814,2.300037,0.096124,0.462395,1.018028,1.208982
1984,0.098169,2.361916,0.098679,0.503501,1.027613,1.272513
1985,0.100274,2.476180,0.108513,0.545328,1.043439,1.269907
1986,0.107440,2.515993,0.116351,0.574294,1.039429,1.272847
1987,0.143955,2.549798,0.124275,0.616195,1.048327,1.317143
1988,0.148873,2.666075,0.134195,0.662089,1.037859,1.378509
1989,0.154247,2.686936,0.147558,0.672395,1.047952,1.400803
1990,0.150528,2.762974,0.157750,0.678181,1.056252,1.397641
1991,0.149139,2.879596,0.167949,0.711271,1.038318,1.381811
1992,0.152151,2.656310,0.178888,0.745302,1.003686,1.412180
1993,0.153126,2.651491,0.184852,0.797394,0.984680,1.439097
1994,0.160556,2.629202,0.194886,0.847090,0.979583,1.464050
1995,0.169421,2.655142,0.207550,0.917477,0.992229,1.480693
1996,0.183447,2.707503,0.224787,0.957647,1.015367,1.531928
1997,0.192968,2.723585,0.234173,0.959496,0.997246,1.552441
1998,0.204698,2.711743,0.239021,0.918283,0.994623,1.564760
1999,0.212128,2.774447,0.262217,0.970872,0.979520,1.584039
2000,0.214986,2.859395,0.269226,0.995968,0.982590,1.640321
2001,0.213301,2.901490,0.273070,1.017606,0.998068,1.612374
2002,0.218582,2.930359,0.281698,1.119827,0.998268,1.622901
2003,0.227419,3.051524,0.291413,1.321266,1.019771,1.640324
2004,0.247582,3.143484,0.309451,1.423949,1.021782,1.668301
2005,0.257330,3.200647,0.326035,1.605378,1.019510,1.673631
2006,0.271304,3.286667,0.352752,1.772470,1.024150,1.651934
2007,0.286955,3.350058,0.380051,1.905990,1.010494,1.673068
2008,0.289738,3.406283,0.406506,2.047352,0.989608,1.614388
2009,0.279194,3.330891,0.440015,2.153679,0.908993,1.495831
2010,0.295118,3.513348,0.457789,2.352777,0.934513,1.550141
2011,0.302782,3.609484,0.481635,2.601619,0.907979,1.513678
2012,0.299636,3.710563,0.525573,2.669021,0.889076,1.458539
2013,0.304066,3.706568,0.544514,2.717339,0.866569,1.495676
2014,0.305626,3.718501,0.586338,2.726599,0.829260,1.508920
2015,0.315765,3.733360,0.609776,2.691991,0.844638,1.467378
2016,0.320089,3.760989,0.642647,2.664496,0.844236,1.433661
2017,0.330215,3.825779,0.662284,2.730989,0.850771,1.422533
2018,0.340364,3.856337,0.707712,2.820140,0.832388,1.467739
2019,0.341370,3.919152,0.713124,2.924122,0.792770,1.436175
2020,0.233035,3.712724,0.660904,2.976445,0.717083,1.286743
2021,0.243892,3.859886,0.729864,3.124430,0.764504,1.373421
2022,0.278407,3.895497,0.772698,3.097854,0.747838,1.386155
2023,0.304741,3.899607,0.835787,3.248500,0.685213,1.340445
2024,0.329276,3.953508,0.876483,3.263432,0.660935,1.336152
