"Year","GDP-PPP","Emissions/GDP-PPP"
1,27.299797,0.118994
2,22.196898,0.060389
3,10.828030,0.077187
4,5.353944,0.050405
5,4.641024,0.035058
6,3.647641,0.135872
7,3.627154,0.055172
8,3.247924,0.025642
9,3.197555,0.023257
10,3.100424,0.042823
