"Year","population","Emissions/population"
1,1.428628,0.585028
2,1.425671,2.278575
3,0.448922,1.526352
4,0.339997,3.942526
5,0.277534,0.721049
6,0.240486,0.227735
7,0.223805,0.156752
8,0.216422,0.613477
9,0.172954,0.178990
10,0.144444,3.431166
