"Year","Historical","1.5C / 65 GtC","1.7C / 160 GtC","2.0C / 305 GtC"
1850,0.773870,,,
1851,0.823824,,,
1852,0.836543,,,
1853,0.852302,,,
1854,0.865142,,,
1855,0.856654,,,
1856,0.886225,,,
1857,0.882169,,,
1858,0.889841,,,
1859,0.911912,,,
1860,0.849658,,,
1861,0.850585,,,
1862,0.845099,,,
1863,0.842427,,,
1864,0.826480,,,
1865,0.820492,,,
1866,0.834387,,,
1867,0.832707,,,
1868,0.827828,,,
1869,0.848695,,,
1870,0.920107,,,
1871,0.934579,,,
1872,1.005313,,,
1873,0.996365,,,
1874,1.038938,,,
1875,1.076276,,,
1876,1.084600,,,
1877,1.060451,,,
1878,1.088037,,,
1879,1.099877,,,
1880,1.156761,,,
1881,1.164041,,,
1882,1.226671,,,
1883,1.221730,,,
1884,1.266834,,,
1885,1.268665,,,
1886,1.249442,,,
1887,1.303267,,,
1888,1.301097,,,
1889,1.331662,,,
1890,1.434750,,,
1891,1.509157,,,
1892,1.496080,,,
1893,1.542360,,,
1894,1.559961,,,
1895,1.584259,,,
1896,1.580045,,,
1897,1.643518,,,
1898,1.654721,,,
1899,1.722365,,,
1900,1.765171,,,
1901,1.789499,,,
1902,1.829154,,,
1903,1.871993,,,
1904,1.901360,,,
1905,1.982480,,,
1906,2.014681,,,
1907,2.087571,,,
1908,2.080928,,,
1909,2.141746,,,
1910,2.126150,,,
1911,2.160715,,,
1912,2.165032,,,
1913,2.191890,,,
1914,2.125052,,,
1915,2.104645,,,
1916,2.160107,,,
1917,2.208928,,,
1918,2.196555,,,
1919,2.051065,,,
1920,2.221987,,,
1921,2.168433,,,
1922,2.198972,,,
1923,2.346734,,,
1924,2.353733,,,
1925,2.363285,,,
1926,2.349267,,,
1927,2.450547,,,
1928,2.438946,,,
1929,2.506091,,,
1930,2.450424,,,
1931,2.378890,,,
1932,2.297853,,,
1933,2.361704,,,
1934,2.452500,,,
1935,2.480266,,,
1936,2.592470,,,
1937,2.689254,,,
1938,2.629700,,,
1939,2.678503,,,
1940,2.819507,,,
1941,2.926940,,,
1942,2.931096,,,
1943,2.943365,,,
1944,2.961524,,,
1945,2.721763,,,
1946,2.796086,,,
1947,2.944471,,,
1948,2.997542,,,
1949,2.910203,,,
1950,3.307164,,,
1951,3.525901,,,
1952,3.526509,,,
1953,3.606133,,,
1954,3.750044,,,
1955,3.966730,,,
1956,4.123762,,,
1957,4.222342,,,
1958,4.248692,,,
1959,4.517583,,,
1960,4.378517,,,
1961,4.416557,,,
1962,4.372416,,,
1963,4.466986,,,
1964,4.535081,,,
1965,4.602957,,,
1966,4.642424,,,
1967,4.792269,,,
1968,4.954325,,,
1969,5.324101,,,
1970,5.594293,,,
1971,5.600662,,,
1972,5.869263,,,
1973,6.062037,,,
1974,6.012236,,,
1975,6.001364,,,
1976,6.261773,,,
1977,6.515717,,,
1978,6.641357,,,
1979,6.588981,,,
1980,6.631499,,,
1981,6.466012,,,
1982,6.345661,,,
1983,6.443016,,,
1984,6.853731,,,
1985,6.938639,,,
