"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2015,0.260000,0.460000,0.010000,-1.420000,-0.030000,0.020000,"NaN"
2016,0.020000,1.200000,0,-0.270000,-0.010000,0.050000,"NaN"
2017,-0.540000,0.370000,0.130000,0.280000,0.050000,0.020000,"NaN"
2018,1.030000,-0.330000,-0.120000,-0.050000,0.020000,0.110000,"NaN"
2019,-1.780000,0.850000,-0.030000,0.830000,-0.030000,0.080000,"NaN"
2020,0.740000,0.960000,0.070000,-0.870000,0.130000,0.080000,"NaN"
2021,-0.120000,0.580000,-0.010000,-0.120000,0.020000,0.210000,"NaN"
2022,-0.610000,0.050000,0.070000,-0.510000,0.310000,0.400000,"NaN"
2023,-0.560000,0.300000,-0.080000,-0.010000,0.240000,-0.070000,"NaN"
2024,-0.140000,0.280000,0,-0.910000,0.840000,0.090000,"NaN"
