"Year","Moldova","World"
1950,2.949628,2.372741
1951,3.118179,2.509281
1952,3.254166,2.496828
1953,3.351466,2.519009
1954,3.559718,2.522133
1955,3.922250,2.710743
1956,4.176958,2.829705
1957,4.439870,2.864250
1958,4.605549,2.886446
1959,4.710832,2.981084
1960,4.778670,3.109071
1961,4.808720,3.068418
1962,4.936438,3.117449
1963,5.187295,3.212604
1964,5.418566,3.313059
1965,5.658818,3.389338
1966,5.891082,3.482441
1967,6.078997,3.521091
1968,6.173318,3.638560
1969,6.354420,3.800910
1970,6.612803,4.031813
1971,6.944249,4.112250
1972,7.232446,4.219880
1973,7.463033,4.358162
1974,7.670319,4.257539
1975,7.981378,4.190445
1976,8.201961,4.342568
1977,8.397535,4.387958
1978,8.604286,4.445411
1979,8.596081,4.491730
1980,8.855467,4.385349
1981,8.617696,4.204303
1982,8.695337,4.095304
1983,8.738298,4.047822
1984,8.731364,4.114002
1985,9.317563,4.177916
1986,8.997845,4.164586
1987,8.537979,4.215461
1988,8.808088,4.303169
1989,8.546901,4.285587
1990,8.142215,4.275440
1991,6.590251,4.288762
1992,4.667078,4.101485
1993,3.526237,4.079975
1994,2.772325,4.061836
1995,2.556560,4.097368
1996,2.638053,4.164388
1997,1.661742,4.131378
1998,1.480140,4.059213
1999,1.088431,4.096031
2000,0.840384,4.148800
2001,0.901461,4.125716
2002,0.976877,4.162733
2003,1.075791,4.327484
2004,1.139963,4.421495
2005,1.233961,4.515645
2006,1.275696,4.611727
2007,1.284177,4.688505
2008,1.361439,4.708763
2009,1.210701,4.572416
2010,1.313393,4.774950
2011,1.375466,4.878259
2012,1.358831,4.887112
2013,1.434016,4.868795
2014,1.425505,4.830362
2015,1.459015,4.767311
2016,1.520460,4.713752
2017,1.641409,4.735624
2018,1.729592,4.780249
2019,1.767170,4.778430
2020,1.697837,4.479880
2021,1.910709,4.676995
2022,1.769013,4.676281
2023,1.735257,4.697341
