"Year","PNG production Eora 199.082 (2023)"
1970,0.718000
1971,0.850000
1972,1.290000
1973,1.370000
1974,1.610000
1975,1.560000
1976,1.600000
1977,1.610000
1978,1.710000
1979,1.830000
1980,1.860000
1981,1.960000
1982,1.980000
1983,2.040000
1984,2.080000
1985,2.160000
1986,2.100000
1987,2.370000
1988,2.240000
1989,2.070000
1990,2.190000
1991,2.120000
1992,2.110000
1993,2.050000
1994,2.240000
1995,2.110000
1996,2.240000
1997,2.670000
1998,3.620000
1999,2.620000
2000,3.010000
2001,3.400000
2002,3.730000
2003,4.160000
2004,4.770000
2005,5.070000
2006,5.150000
2007,6.670000
2008,5.640000
2009,5.340000
2010,4.880000
2011,5.440000
2012,5.190000
2013,6.490000
2014,6.610000
2015,6.890000
2016,7.770000
2017,8
2018,7.815506
2019,8.199663
2020,8.442606
2021,8.680175
2022,8.532303
