"Year","Land-use change","Coal","Oil","Gas","Others"
1850,92.489497,7.510503,0,0,0
1851,92.580910,7.419090,0,0,0
1852,92.545176,7.454824,0,0,0
1853,92.485129,7.514871,0,0,0
1854,92.207968,7.792032,0,0,0
1855,92.005151,7.994630,0.000219,0,0
1856,91.795727,8.203882,0.000391,0,0
1857,91.639280,8.360153,0.000566,0,0
1858,91.514326,8.484932,0.000743,0,0
1859,91.369928,8.629217,0.000855,0,0
1860,91.138291,8.860072,0.001637,0,0
1861,90.868750,9.127027,0.004223,0,0
1862,90.620246,9.372116,0.007637,0,0
1863,90.353658,9.636043,0.010299,0,0
1864,90.054173,9.933644,0.012182,0,0
1865,89.736556,10.249157,0.014287,0,0
1866,89.429079,10.553486,0.017435,0,0
1867,89.101295,10.878422,0.020283,0,0
1868,88.784143,11.192472,0.023385,0,0
1869,88.447628,11.525636,0.026735,0,0
1870,88.161760,11.807716,0.030524,0,0
1871,87.878637,12.087263,0.034099,0,0
1872,87.554848,12.407269,0.037883,0,0
1873,87.226570,12.729407,0.044023,0,0
1874,86.987552,12.962094,0.050354,0,0
1875,86.715875,13.228587,0.055538,0,0
1876,86.464159,13.474751,0.061090,0,0
1877,86.227545,13.703645,0.068810,0,0
1878,86.013301,13.909488,0.077211,0,0
1879,85.775540,14.136782,0.087678,0,0
1880,85.474490,14.425534,0.099977,0,0.000000
1881,85.172251,14.714602,0.113147,0,0.000000
1882,84.861945,15.011096,0.126801,0.000157,0.000001
1883,84.537689,15.324770,0.137040,0.000501,0.000001
1884,84.232004,15.618393,0.148085,0.001517,0.000001
1885,83.943539,15.892977,0.158859,0.004624,0.000001
1886,83.668151,16.149913,0.171171,0.010763,0.000002
1887,83.384705,16.411761,0.183805,0.019727,0.000002
1888,83.046698,16.725165,0.196259,0.031876,0.000002
1889,82.734315,17.015160,0.210676,0.039846,0.000003
1890,82.394575,17.330332,0.228253,0.046837,0.000003
1891,82.055008,17.644899,0.248670,0.051419,0.000004
1892,81.735932,17.941916,0.267247,0.054901,0.000004
1893,81.454140,18.201984,0.286046,0.057825,0.000004
1894,81.170262,18.466587,0.302981,0.060166,0.000004
1895,80.867293,18.747415,0.322764,0.062524,0.000005
1896,80.563809,19.028059,0.343535,0.064592,0.000005
1897,80.249819,19.318928,0.364504,0.066743,0.000005
1898,79.919292,19.626463,0.384873,0.069366,0.000006
1899,79.546352,19.975444,0.405134,0.073063,0.000006
1900,79.166412,20.329315,0.427481,0.076784,0.000007
1901,78.788904,20.678219,0.451970,0.080899,0.000008
1902,78.421108,21.016064,0.477691,0.085129,0.000008
1903,78.007429,21.399461,0.503680,0.089421,0.000009
1904,77.615290,21.757391,0.532754,0.093715,0.000850
1905,77.198678,22.140930,0.560112,0.098574,0.001707
1906,76.771924,22.535634,0.585966,0.103900,0.002576
1907,76.260153,23.009028,0.618358,0.109101,0.003361
1908,75.815825,23.413294,0.652871,0.113954,0.004056
1909,75.364912,23.822907,0.687280,0.119989,0.004913
