"Year","Cumulative","Production","Consumption","Population","GDP-MER","GDP-PPP"
1,14.087604,32.532721,28.452181,18.172916,17.955798,20.486312
2,24.622322,14.199534,14.738501,4.284454,23.619240,15.029439
3,17.008455,7.920286,9.100358,5.679035,17.041559,13.445632
4,3.221085,7.683975,6.456656,17.808896,3.131028,7.413885
5,41.060533,37.663484,41.252304,54.054699,38.252374,43.624732
