"Year","Coal","Oil","Gas","Others","Land-use change"
1850,0.053738,0,0,0,0.661767
1851,0.054259,0,0,0,0.685900
1852,0.056646,0,0,0,0.696233
1853,0.059282,0,0,0,0.711933
1854,0.069634,0,0,0,0.718033
1855,0.070996,0.000010,0,0,0.721567
1856,0.075669,0.000011,0,0,0.730367
1857,0.076375,0.000014,0,0,0.736867
1858,0.077541,0.000017,0,0,0.745433
1859,0.082221,0.000015,0,0,0.753500
1860,0.090166,0.000075,0,0,0.723200
1861,0.094649,0.000257,0,0,0.689067
1862,0.096249,0.000382,0,0,0.683600
1863,0.102775,0.000353,0,0,0.683633
1864,0.110802,0.000303,0,0,0.674700
1865,0.117627,0.000360,0,0,0.666800
1866,0.121184,0.000533,0,0,0.664000
1867,0.129866,0.000542,0,0,0.664367
1868,0.133314,0.000625,0,0,0.660033
1869,0.141516,0.000714,0,0,0.653533
1870,0.144488,0.000855,0,0,0.702233
1871,0.153619,0.000896,0,0,0.732700
1872,0.169944,0.001009,0,0,0.747967
1873,0.180063,0.001547,0,0,0.767367
1874,0.168328,0.001704,0,0,0.781300
1875,0.182850,0.001593,0,0,0.788900
1876,0.185321,0.001784,0,0,0.799633
1877,0.188394,0.002408,0,0,0.812200
1878,0.189503,0.002740,0,0,0.825933
1879,0.202568,0.003455,0,0,0.836533
1880,0.228805,0.004193,0,0.000000,0.846267
1881,0.236125,0.004706,0,0.000000,0.845233
1882,0.249131,0.005169,0.000045,0.000000,0.862400
1883,0.265870,0.004504,0.000104,0.000000,0.878967
1884,0.268198,0.005001,0.000320,0.000000,0.884333
1885,0.269377,0.005174,0.001014,0.000000,0.885333
1886,0.271827,0.005956,0.002095,0.000000,0.893033
1887,0.284249,0.006409,0.003217,0.000000,0.907700
1888,0.314115,0.006709,0.004578,0.000000,0.907233
1889,0.314183,0.007753,0.003337,0.000000,0.913133
1890,0.341735,0.009457,0.003190,0.000000,0.946133
1891,0.357286,0.011144,0.002442,0.000000,0.972667
1892,0.360837,0.010973,0.002122,0.000000,0.982300
1893,0.355850,0.011612,0.001989,0.000000,1.000933
1894,0.369120,0.011381,0.001828,0.000000,1.010600
1895,0.390199,0.013248,0.001922,0.000000,1.021667
1896,0.402369,0.014348,0.001869,0.000000,1.030733
1897,0.421256,0.015156,0.001989,0.000000,1.041167
1898,0.444496,0.015604,0.002309,0.000000,1.049667
1899,0.485770,0.016384,0.002976,0.000000,1.061067
1900,0.511287,0.018371,0.003150,0.000000,1.092467
1901,0.526510,0.020401,0.003510,0.000000,1.105900
1902,0.538531,0.022055,0.003738,0.000001,1.123700
1903,0.587883,0.023352,0.003965,0.000001,1.127167
1904,0.591338,0.026224,0.004139,0.000001,1.144367
1905,0.630770,0.026478,0.004686,0.000001,1.154100
1906,0.659302,0.026717,0.005193,0.000001,1.158233
1907,0.749715,0.032592,0.005425,0.000001,1.168533
1908,0.716709,0.035142,0.005370,0.000031,1.177300
1909,0.745124,0.036667,0.006420,0.000032,1.184267
1910,0.781273,0.039257,0.006800,0.000037,1.178833
1911,0.791083,0.041634,0.007019,0.000040,1.176600
1912,0.831861,0.042784,0.007728,0.000048,1.159333
1913,0.898491,0.049556,0.008078,0.000055,1.155500
1914,0.808344,0.050650,0.008225,0.000040,1.153800
1915,0.792256,0.053795,0.008697,0.000044,1.141733
1916,0.854087,0.058579,0.010474,0.000049,1.127067
1917,0.889163,0.065177,0.011056,0.000040,1.127167
1918,0.875947,0.066759,0.009967,0.000033,1.132600
1919,0.741081,0.074499,0.010357,0.000034,1.125067
1920,0.853146,0.095784,0.011377,0.000041,1.161900
1921,0.728274,0.104874,0.009550,0.000035,1.191767
1922,0.756187,0.116361,0.010946,0.000053,1.206967
1923,0.858740,0.129238,0.014336,0.000057,1.210067
1924,0.860439,0.128497,0.016296,0.000059,1.218233
1925,0.860103,0.134494,0.017446,0.003938,1.233533
1926,0.841091,0.133911,0.018871,0.004023,1.230100
1927,0.917451,0.146784,0.020747,0.004216,1.233500
1928,0.902118,0.149983,0.022550,0.009721,1.238267
1929,0.961313,0.164514,0.028082,0.010064,1.239933
1930,0.877203,0.157914,0.028445,0.009706,1.246300
1931,0.772527,0.153043,0.025351,0.008442,1.263067
1932,0.687759,0.146450,0.024077,0.006747,1.277600
1933,0.719333,0.160041,0.024813,0.006514,1.284833
1934,0.785548,0.169327,0.027825,0.007790,1.294200
1935,0.817927,0.182529,0.030396,0.008758,1.294200
1936,0.896608,0.198999,0.034260,0.010579,1.302800
1937,0.945343,0.224213,0.038366,0.011143,1.304000
1938,0.881017,0.217519,0.036980,0.010521,1.311733
1939,0.937589,0.226594,0.038572,0.009740,1.313600
1940,1.035485,0.238119,0.041898,0.008578,1.369567
1941,1.060088,0.240365,0.041884,0.011816,1.410800
1942,1.066989,0.228088,0.045319,0.010474,1.419600
1943,1.071244,0.242358,0.049918,0.009500,1.423800
1944,1.055656,0.277877,0.053930,0.006186,1.423300
1945,0.818305,0.275203,0.059142,0.006275,1.414667
1946,0.882728,0.311108,0.061090,0.009915,1.410233
1947,0.988414,0.333328,0.067655,0.011788,1.395867
1948,1.020594,0.365613,0.076453,0.014106,1.381633
1949,0.967879,0.364804,0.082002,0.015902,1.364967
1950,1.052460,0.449866,0.096385,0.038374,1.480667
1951,1.108089,0.475533,0.113588,0.042498,1.528133
1952,1.094176,0.501644,0.122021,0.045361,1.562333
1953,1.103631,0.532778,0.129511,0.046664,1.591733
1954,1.102487,0.564559,0.136831,0.047719,1.638567
1955,1.193445,0.630967,0.149353,0.055786,1.688200
1956,1.254677,0.684511,0.160270,0.061353,1.744267
1957,1.277783,0.715411,0.176492,0.062499,1.796567
1958,1.297593,0.744095,0.192638,0.061378,1.849067
1959,1.350444,0.792753,0.206940,0.064692,1.938933
1960,1.406266,0.853287,0.227764,0.067312,1.792600
1961,1.349149,0.904340,0.240722,0.068354,1.666500
1962,1.345193,0.972145,0.264106,0.071609,1.608267
1963,1.394526,1.039021,0.285705,0.075482,1.542733
1964,1.423360,1.121061,0.314645,0.087067,1.494467
1965,1.444656,1.204251,0.335845,0.094687,1.382833
1966,1.460508,1.299660,0.365677,0.103062,1.323067
1967,1.437258,1.385666,0.391088,0.117547,1.344133
1968,1.452848,1.509359,0.425647,0.125327,1.358467
1969,1.507052,1.632235,0.466298,0.140509,1.273467
1970,1.554659,1.856239,0.488723,0.154519,1.255100
1971,1.555629,1.965864,0.527651,0.170516,1.251600
1972,1.553926,2.119709,0.560055,0.182428,1.252867
1973,1.599914,2.245070,0.601498,0.202689,1.213867
1974,1.600931,2.212855,0.616539,0.199885,1.179300
1975,1.647678,2.194056,0.615596,0.184444,1.192700
1976,1.709604,2.331194,0.651433,0.204568,1.174900
1977,1.751555,2.413226,0.666235,0.205325,1.202833
1978,1.782694,2.499764,0.696055,0.214204,1.152667
1979,1.866891,2.531852,0.733897,0.207425,1.107933
1980,1.917066,2.443170,0.752757,0.196249,1.114800
1981,1.911813,2.333599,0.762649,0.174648,1.198633
1982,1.945009,2.277614,0.745435,0.173721,1.203300
1983,1.996231,2.254589,0.753423,0.169957,1.311367
1984,2.093012,2.273155,0.821623,0.164971,1.448167
1985,2.242856,2.272590,0.851911,0.164907,1.386567
1986,2.275059,2.340702,0.831207,0.166489,1.396467
1987,2.351900,2.362079,0.902096,0.169814,1.395433
1988,2.431992,2.448873,0.945967,0.182620,1.380600
1989,2.431664,2.491834,0.993400,0.175813,1.328833
1990,2.371359,2.524389,1.046161,0.207891,1.331133
1991,2.348263,2.653774,1.067052,0.215807,1.298367
1992,2.292305,2.518051,1.080273,0.212725,1.334800
1993,2.320127,2.519862,1.110006,0.217131,1.330900
1994,2.333141,2.528837,1.119564,0.228306,1.445367
