"Year","IND_prod","IND_cons","EU27_prod","EU27_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,0.181228,0.180363,2.520682,2.866034,5.635441,5.553357,0.587829,0.549079
1991,0.188932,0.183179,2.472517,2.785289,5.495168,5.383534,0.607599,0.559788
1992,0.197106,0.194379,2.381893,2.981579,5.535217,5.506336,0.629578,0.594208
1993,0.199549,0.192009,2.332130,2.776611,5.562682,5.492905,0.666798,0.629511
1994,0.206808,0.197736,2.314997,2.694976,5.583500,5.526146,0.700803,0.621278
1995,0.215518,0.203623,2.341959,2.728360,5.576236,5.517917,0.752341,0.670401
1996,0.229048,0.213365,2.392690,2.693462,5.698728,5.619741,0.778412,0.693709
1997,0.233879,0.218903,2.347206,2.634812,5.702946,5.654245,0.773966,0.673648
1998,0.234320,0.219180,2.338646,2.666413,5.676619,5.746316,0.735586,0.647300
1999,0.249437,0.236903,2.300743,2.659593,5.680135,5.851739,0.772373,0.688519
2000,0.251926,0.233257,2.304537,2.686553,5.814538,6.035276,0.786859,0.703044
2001,0.250859,0.230982,2.337020,2.688099,5.652192,5.897884,0.798515,0.718950
2002,0.254006,0.230654,2.332736,2.672085,5.634276,5.958988,0.876238,0.779407
2003,0.258591,0.239626,2.378373,2.765507,5.640029,6.082898,1.022237,0.861217
2004,0.270104,0.248705,2.377256,2.796943,5.680427,6.149554,1.099382,0.909488
2005,0.280085,0.258981,2.356818,2.844884,5.643091,6.187008,1.229120,0.986142
2006,0.293009,0.268122,2.355263,2.897119,5.515059,6.115578,1.348701,1.066667
2007,0.311297,0.291076,2.324064,2.890412,5.531014,5.996659,1.441259,1.145437
2008,0.330550,0.307767,2.262669,2.859293,5.284392,5.649223,1.538212,1.225001
2009,0.359417,0.340320,2.072348,2.575077,4.850527,5.117415,1.607346,1.370568
2010,0.368816,0.347054,2.129739,2.669398,4.982917,5.237018,1.744342,1.486008
2011,0.385960,0.356411,2.063647,2.577495,4.822972,5.063168,1.916290,1.637134
2012,0.420281,0.389836,2.015433,2.408207,4.607314,4.875249,1.953091,1.698443
2013,0.430679,0.383802,1.962259,2.329838,4.683789,4.907852,1.974662,1.731914
2014,0.456672,0.415991,1.876076,2.257720,4.685752,4.951417,1.970042,1.738773
2015,0.468491,0.438602,1.906657,2.223390,4.520553,4.872392,1.932197,1.738008
2016,0.486021,0.450372,1.908933,2.232456,4.380487,4.724292,1.901087,1.727412
2017,0.490725,0.461342,1.920936,2.252432,4.312439,4.663623,1.937414,1.770805
2018,0.518427,0.484786,1.872888,2.266802,4.418101,4.769814,1.994143,1.854068
2019,0.518272,0.486908,1.782445,2.164872,4.293363,4.647126,2.061726,1.911655
2020,0.477881,0.445019,1.606942,1.966945,3.831118,4.222466,2.098512,1.921761
