"Year","GDP-PPP","Emissions/GDP-PPP"
1,25.990256,0.120472
2,18.642323,0.073308
3,9.458035,0.078192
4,4.694243,0.062059
5,3.673726,0.050128
6,3.455749,0.138648
7,3.246019,0.052069
8,2.996223,0.044532
9,2.616892,0.036166
10,2.591066,0.032228
