"Year","Emissions","Plus1SD","Minus1SD"
1990,6.211103,6.521658,5.900548
1991,6.344106,6.661312,6.026901
1992,6.162670,6.470804,5.854537
1993,6.226228,6.537540,5.914917
1994,6.268968,6.582416,5.955519
1995,6.402487,6.722612,6.082363
1996,6.593718,6.923404,6.264032
1997,6.632801,6.964441,6.301161
1998,6.608423,6.938844,6.278001
1999,6.750106,7.087611,6.412601
2000,6.946949,7.294297,6.599602
2001,7.005472,7.355745,6.655198
2002,7.172772,7.531411,6.814134
2003,7.546833,7.924175,7.169491
2004,7.815692,8.206476,7.424907
2005,8.082588,8.486717,7.678459
2006,8.349650,8.767132,7.932167
2007,8.599015,9.028965,8.169064
2008,8.757051,9.194904,8.319199
2009,8.614637,9.045369,8.183905
2010,9.105990,9.561289,8.650690
2011,9.412394,9.883014,8.941774
2012,9.554112,10.031818,9.076407
2013,9.639520,10.121496,9.157544
2014,9.710026,10.195527,9.224525
2015,9.704849,10.190091,9.219606
2016,9.695468,10.180241,9.210694
2017,9.851730,10.344317,9.359144
2018,10.050902,10.553448,9.548357
2019,10.120786,10.626825,9.614746
2020,9.624478,10.105701,9.143254
2021,10.132055,10.638658,9.625452
2022,10.231378,10.831889,9.630363
