"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,98.739085,154.371331,86.379330,26.364023,28.174197,2.853726
2001,100.296545,155.720462,87.540600,26.932352,27.272234,2.994357
2002,104.238375,156.991909,90.108512,27.186153,27.596227,3.412800
2003,113.397237,160.490339,92.626520,26.464845,27.383425,3.726601
2004,121.222836,166.574358,96.195966,27.491221,29.217735,4.268716
2005,130.208609,168.021556,98.776930,27.389065,30.010331,4.827236
2006,137.048520,169.821399,101.379980,27.555910,30.956604,5.525322
2007,144.822305,171.931950,105.535409,26.825572,31.280310,6.516866
2008,146.784891,170.419269,108.076743,26.576225,32.892156,7.778296
2009,144.631294,166.937637,105.844292,26.038580,32.638680,8.928394
2010,151.186993,172.422272,113.719906,26.545440,34.264954,10.537592
2011,158.462272,173.907557,116.424647,25.279736,34.686272,12.137347
2012,159.063754,176.438540,119.498531,23.403572,35.949185,13.822214
2013,161.433418,178.272560,121.427002,23.448569,37.169237,15.811106
2014,162.580348,179.396787,122.199388,23.784043,37.928669,17.631257
2015,158.595995,182.866548,125.167232,23.960724,37.599617,19.948021
2016,156.614986,186.338797,128.018789,24.173266,38.669350,22.092431
2017,157.506037,189.055960,131.505197,24.245545,38.993060,25.357055
2018,159.537149,191.702239,138.082677,24.681660,39.843063,28.534688
2019,157.319588,192.127060,140.626606,25.463842,40.153652,31.735493
2020,151.070267,174.170553,138.440611,24.441486,41.089780,34.799091
2021,160.103506,184.213708,145.348586,25.312823,40.259613,39.912613
