"Year","population","Emissions/population"
1,1.425893,2.195889
2,1.407564,0.525406
3,0.445051,1.712806
4,0.336998,4.055313
5,0.273753,0.617405
6,0.231402,0.270697
7,0.214326,0.622547
8,0.213401,0.175197
9,0.169356,0.150157
10,0.145103,3.302033
