"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,0.772905,0.662126,0.052571,0.104671,0.196548,0.027688,0.231901,0.310448,0.058234
1960,0.790752,0.714957,0.063455,0.110451,0.218013,0.030384,0.241442,0.327699,0.064983
1961,0.787902,0.741842,0.077180,0.113211,0.155740,0.032861,0.248994,0.340971,0.071839
1962,0.817113,0.782766,0.079930,0.120159,0.125442,0.036185,0.261334,0.363905,0.074482
1963,0.853299,0.827347,0.088656,0.125440,0.124667,0.038877,0.280269,0.386872,0.077972
1964,0.890915,0.860856,0.097951,0.138888,0.125720,0.038070,0.298074,0.419788,0.085419
1965,0.927824,0.871237,0.105478,0.148644,0.136541,0.041949,0.316202,0.452754,0.088234
1966,0.974733,0.891141,0.114423,0.155016,0.149962,0.043497,0.333925,0.480621,0.095474
1967,1.011316,0.896797,0.133545,0.168060,0.125608,0.043547,0.349169,0.511522,0.102148
1968,1.048286,0.945681,0.153360,0.178378,0.135237,0.047508,0.358982,0.548240,0.108043
1969,1.101295,1.001285,0.178279,0.186744,0.165852,0.048421,0.373856,0.588644,0.113101
1970,1.184412,1.046145,0.209597,0.205862,0.220511,0.049597,0.393198,0.637692,0.119229
1971,1.191448,1.071046,0.217397,0.217139,0.248147,0.052392,0.417264,0.691113,0.125903
1972,1.248094,1.101462,0.232579,0.230782,0.264368,0.055414,0.439015,0.723267,0.134257
1973,1.305963,1.148027,0.249527,0.243857,0.275189,0.057067,0.457555,0.782346,0.143731
1974,1.261202,1.126705,0.249538,0.250278,0.280595,0.058912,0.474979,0.808815,0.133484
1975,1.222223,1.099028,0.237039,0.257773,0.322930,0.063922,0.499272,0.830296,0.122165
1976,1.295787,1.170117,0.247583,0.269108,0.334722,0.066798,0.518501,0.888064,0.119769
1977,1.334500,1.159410,0.254705,0.283151,0.365947,0.070677,0.536137,0.922828,0.122549
1978,1.348625,1.188679,0.246067,0.297815,0.407418,0.071820,0.554549,0.967298,0.124386
1979,1.366970,1.228876,0.260118,0.315721,0.416392,0.075405,0.559149,1.006918,0.124835
1980,1.312369,1.200586,0.257879,0.328716,0.407886,0.079616,0.581149,1.032359,0.121838
1981,1.279031,1.135183,0.252957,0.334106,0.402972,0.085962,0.570083,1.022667,0.112485
1982,1.213771,1.104028,0.244926,0.338929,0.438478,0.088805,0.580831,1.042445,0.101851
1983,1.208890,1.090957,0.240423,0.330789,0.462395,0.096124,0.589070,1.070936,0.097790
1984,1.272419,1.099809,0.255751,0.343527,0.503501,0.098679,0.594300,1.100884,0.098149
1985,1.269809,1.120592,0.249018,0.352689,0.545328,0.108513,0.640934,1.160215,0.100250
1986,1.272754,1.118149,0.248979,0.355094,0.574294,0.116351,0.641049,1.195659,0.107408
1987,1.317044,1.124393,0.246324,0.376717,0.616195,0.124275,0.643518,1.213803,0.143928
1988,1.378405,1.114019,0.268959,0.392913,0.662089,0.134196,0.665095,1.269263,0.148849
1989,1.400692,1.126287,0.278843,0.413150,0.672395,0.147558,0.656339,1.266901,0.154211
1990,1.398061,1.155282,0.316083,0.422983,0.678181,0.157750,0.691830,1.240724,0.150209
1991,1.382365,1.154084,0.319262,0.433060,0.711271,0.167949,0.656532,1.370771,0.148812
1992,1.412451,1.123547,0.321917,0.449579,0.745302,0.178889,0.536466,1.242790,0.151730
1993,1.439509,1.104302,0.320002,0.463566,0.797394,0.184853,0.509263,1.254613,0.152727
1994,1.464405,1.099359,0.335020,0.480376,0.846070,0.195488,0.449493,1.238570,0.160187
1995,1.481386,1.109038,0.338403,0.494562,0.916460,0.207819,0.441853,1.243733,0.169233
1996,1.532869,1.137093,0.341825,0.522559,0.956123,0.225219,0.432907,1.262006,0.183118
1997,1.553456,1.115828,0.339831,0.548409,0.958016,0.234426,0.404372,1.285859,0.192604
1998,1.565810,1.119438,0.328944,0.541719,0.917155,0.239343,0.399712,1.292117,0.204185
1999,1.585789,1.109278,0.338929,0.557744,0.969662,0.259539,0.407520,1.310694,0.210950
2000,1.642017,1.113771,0.345140,0.581903,0.994668,0.266950,0.403435,1.385211,0.213854
2001,1.613534,1.129698,0.341154,0.585612,1.016302,0.270669,0.413404,1.422533,0.212565
2002,1.624645,1.124931,0.349171,0.595821,1.122396,0.278978,0.410895,1.448350,0.217585
2003,1.641868,1.148459,0.351444,0.617838,1.317534,0.288953,0.419021,1.534648,0.227067
2004,1.669750,1.152618,0.350185,0.625243,1.425697,0.306910,0.420784,1.617680,0.246826
2005,1.675110,1.146115,0.352238,0.639501,1.603863,0.323397,0.425514,1.659572,0.257278
2006,1.653156,1.146850,0.345967,0.651357,1.770962,0.343516,0.441661,1.724619,0.271560
2007,1.674478,1.131860,0.355721,0.676340,1.904643,0.370347,0.441754,1.756644,0.287228
2008,1.615412,1.106752,0.336376,0.680469,2.046079,0.398886,0.449500,1.833853,0.289725
2009,1.496446,1.020232,0.317515,0.667428,2.152438,0.439797,0.420116,1.823138,0.277527
2010,1.550598,1.053697,0.331621,0.685107,2.351707,0.457559,0.443828,1.936899,0.294974
2011,1.513818,1.010281,0.345261,0.709956,2.600588,0.485391,0.458318,1.986122,0.302659
2012,1.458912,0.997723,0.356491,0.723286,2.669018,0.535643,0.462494,2.051718,0.298828
2013,1.495886,0.978065,0.359053,0.717192,2.717333,0.556063,0.445610,2.067082,0.303235
2014,1.508971,0.928736,0.345091,0.713551,2.728881,0.596982,0.445323,2.137505,0.304985
2015,1.467407,0.938046,0.333953,0.724516,2.692932,0.619751,0.444791,2.167297,0.316156
2016,1.433340,0.934477,0.328572,0.729900,2.665115,0.650605,0.443438,2.190485,0.319536
2017,1.422205,0.935489,0.324334,0.740962,2.732289,0.664538,0.451461,2.244615,0.335837
2018,1.467428,0.914142,0.312067,0.750297,2.825840,0.709729,0.464097,2.260498,0.346804
2019,1.435356,0.871772,0.301860,0.739305,2.931495,0.716828,0.461890,2.321243,0.341037
2020,1.287034,0.785024,0.284450,0.685278,2.990233,0.667307,0.443292,2.225718,0.256143
2021,1.366631,0.834121,0.291321,0.704168,3.131104,0.739542,0.479134,2.307170,0.278864
