"Year","All others","India","China","EU27","USA"
1959,0.890264,0.027688,0.196548,0.529687,0.772905
1960,0.950046,0.030384,0.218013,0.572942,0.790752
1961,0.993911,0.032861,0.155740,0.600126,0.787902
1962,1.040173,0.036185,0.125442,0.642403,0.817113
1963,1.100955,0.038877,0.124667,0.685602,0.853299
1964,1.179572,0.038070,0.125720,0.721403,0.890915
1965,1.252191,0.041949,0.136541,0.730358,0.927824
1966,1.317993,0.043497,0.149962,0.752607,0.974733
1967,1.391819,0.043547,0.125608,0.769421,1.011316
1968,1.475985,0.047508,0.135237,0.816699,1.048286
1969,1.570998,0.048421,0.165852,0.870912,1.101295
1970,1.702778,0.049597,0.220511,0.908945,1.184412
1971,1.805297,0.052392,0.248147,0.934566,1.191448
1972,1.891239,0.055414,0.264368,0.970124,1.248094
1973,2.007671,0.057067,0.275189,1.017372,1.305963
1974,2.031667,0.058912,0.280595,1.012131,1.261202
1975,2.053272,0.063922,0.322930,0.992301,1.222223
1976,2.145576,0.066798,0.334722,1.067566,1.295787
1977,2.221706,0.070677,0.365947,1.057073,1.334500
1978,2.286107,0.071820,0.407418,1.092687,1.348625
1979,2.373050,0.075405,0.416392,1.122566,1.366970
1980,2.409667,0.079616,0.407886,1.112859,1.312369
1981,2.373076,0.085962,0.402972,1.054406,1.279031
1982,2.383669,0.088805,0.438478,1.029340,1.213771
1983,2.402355,0.096124,0.462395,1.017609,1.208890
1984,2.465235,0.098679,0.503501,1.027184,1.272419
1985,2.580955,0.108513,0.545328,1.042743,1.269809
1986,2.627995,0.116351,0.574294,1.038344,1.272754
1987,2.701096,0.124275,0.616195,1.047586,1.317044
1988,2.822982,0.134196,0.662089,1.036116,1.378405
1989,2.849267,0.147558,0.672395,1.046465,1.400692
1990,2.922118,0.157750,0.678181,1.054992,1.398061
1991,3.044575,0.167949,0.711271,1.037946,1.382365
1992,2.823197,0.178889,0.745302,1.002832,1.412451
1993,2.820017,0.184853,0.797394,0.984455,1.439509
1994,2.783594,0.195488,0.846070,0.979411,1.464405
1995,2.804266,0.207819,0.916460,0.992556,1.481386
1996,2.864037,0.225219,0.956123,1.015471,1.532869
1997,2.889432,0.234426,0.958016,0.997472,1.553456
1998,2.891111,0.239343,0.917155,0.995004,1.565810
1999,2.955164,0.259539,0.969662,0.979952,1.585789
2000,3.060118,0.266950,0.994668,0.983196,1.642017
2001,3.106066,0.270669,1.016302,0.998900,1.613534
2002,3.147460,0.278978,1.122396,0.999294,1.624645
2003,3.276493,0.288953,1.317534,1.021984,1.641868
2004,3.388333,0.306910,1.425697,1.025002,1.669750
2005,3.460595,0.323397,1.603863,1.019622,1.675110
2006,3.559725,0.343516,1.770962,1.022291,1.653156
2007,3.636829,0.370347,1.904643,1.012717,1.674478
2008,3.706750,0.398886,2.046079,0.989925,1.615412
2009,3.616513,0.439797,2.152438,0.909444,1.496446
2010,3.809272,0.457559,2.351707,0.936854,1.550598
2011,3.902956,0.485391,2.600588,0.909641,1.513818
2012,4.000763,0.535643,2.669018,0.889777,1.458912
2013,4.003119,0.556063,2.717333,0.867119,1.495886
2014,4.045444,0.596982,2.728881,0.829747,1.508971
2015,4.080675,0.619751,2.692932,0.844084,1.467407
2016,4.100408,0.650605,2.665115,0.846000,1.433340
2017,4.180289,0.664538,2.732289,0.852409,1.422205
2018,4.215701,0.709729,2.825840,0.832205,1.467428
2019,4.243871,0.716828,2.931495,0.793236,1.435356
2020,3.964349,0.667307,2.990233,0.715556,1.287034
2021,4.132491,0.739542,3.131104,0.762286,1.366631
2022,4.202413,0.783727,3.101564,0.756275,1.387399
