"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1850,89.910280,0.007469,0,10.082251,0,0,0
1851,88.736711,0.003717,0,11.259572,0,0,0
1852,88.156791,0.002438,0,11.840771,0,0,0
1853,87.603432,0.001793,0,12.394775,0,0,0
1854,87.449537,0.001367,0,12.549096,0,0,0
1855,87.022565,0.004440,0,12.972995,0,0,0
1856,86.760285,0.003676,0,13.236039,0,0,0
1857,86.537629,0.003133,0,13.459238,0,0,0
1858,86.348691,0.023720,0,13.627589,0,0,0
1859,86.138677,0.049197,0,13.812126,0,0,0
1860,86.031989,0.069425,0,13.888673,0,0,0.009913
1861,86.073691,0.081061,0,13.820293,0,0,0.024954
1862,86.081990,0.091425,0,13.794024,0,0,0.032561
1863,85.978165,0.100935,0,13.881232,0,0,0.039667
1864,85.899470,0.107548,0,13.950848,0,0,0.042134
1865,85.896631,0.112091,0,13.940906,0,0.003177,0.047194
1866,85.906698,0.121691,0,13.908091,0,0.006940,0.056581
1867,85.753643,0.118647,0,14.049722,0,0.010372,0.067615
1868,85.515256,0.114892,0,14.283302,0,0.012407,0.074143
1869,85.210840,0.113116,0,14.582626,0,0.015450,0.077967
1870,84.900063,0.111968,0,14.890925,0,0.016496,0.080547
1871,84.630727,0.112854,0,15.154983,0,0.017842,0.083594
1872,84.230625,0.113105,0,15.551052,0,0.019436,0.085782
1873,83.811131,0.112443,0,15.966720,0,0.020638,0.089068
1874,83.422711,0.119444,0,16.343350,0,0.021960,0.092535
1875,83.141389,0.134358,0,16.605836,0,0.023924,0.094493
1876,82.934450,0.148977,0,16.794591,0,0.024928,0.097055
1877,82.646056,0.160929,0,17.065405,0,0.027251,0.100358
1878,82.401860,0.193079,0,17.271423,0,0.028329,0.105308
1879,82.004470,0.224079,0,17.629661,0,0.027653,0.114138
1880,81.582137,0.253536,0,18.009794,0,0.026964,0.127569
1881,81.166168,0.279854,0,18.390592,0,0.026597,0.136789
1882,80.685782,0.305805,0,18.835756,0,0.026005,0.146653
1883,80.206055,0.332000,0,19.278593,0,0.025432,0.157920
1884,79.703947,0.358254,0.000123,19.743276,0.000021,0.024990,0.169390
1885,79.237035,0.383311,0.000311,20.172917,0.000039,0.024682,0.181706
1886,78.751555,0.408688,0.000534,20.622274,0.000074,0.024091,0.192784
1887,78.252340,0.436786,0.000734,21.077580,0.005277,0.024025,0.203258
1888,77.595897,0.464958,0.001058,21.690711,0.009043,0.023939,0.214394
1889,77.166685,0.498527,0.001569,22.068909,0.016128,0.024443,0.223739
1890,76.601167,0.531988,0.002690,22.586523,0.020882,0.024642,0.232108
1891,76.032520,0.568793,0.003691,23.105386,0.023580,0.024904,0.241125
1892,75.439405,0.605584,0.005259,23.647189,0.027699,0.025157,0.249708
1893,74.860551,0.646629,0.011272,24.167022,0.031966,0.025451,0.257109
1894,74.459744,0.690767,0.018821,24.502908,0.037228,0.025569,0.264963
1895,73.974879,0.740339,0.028493,24.914145,0.044425,0.025550,0.272169
1896,73.557425,0.789311,0.040016,25.257988,0.051056,0.025705,0.278499
1897,73.166449,0.839651,0.051912,25.574592,0.056634,0.025424,0.285340
1898,72.726214,0.899298,0.066093,25.926976,0.062716,0.025679,0.293024
1899,72.213179,0.955006,0.077304,26.359286,0.069384,0.026189,0.299651
1900,71.706398,1.015437,0.079344,26.781006,0.073883,0.027495,0.316438
1901,71.112826,1.083898,0.084806,27.269659,0.085500,0.028428,0.334883
1902,70.494180,1.149190,0.093990,27.783197,0.098154,0.029465,0.351824
1903,69.756232,1.209190,0.106388,28.422001,0.109879,0.030627,0.365683
1904,69.097724,1.276665,0.119657,28.972204,0.122483,0.031995,0.379272
1905,68.373513,1.336091,0.134000,29.596579,0.134643,0.033466,0.391708
1906,67.657142,1.400800,0.149455,30.199458,0.151204,0.034830,0.407111
1907,66.843890,1.497516,0.164639,30.870851,0.165866,0.036370,0.420867
1908,66.274795,1.602876,0.179482,31.285770,0.183146,0.037568,0.436365
1909,65.638811,1.700521,0.195825,31.783381,0.196189,0.038963,0.446310
1910,64.946830,1.788112,0.213356,32.338356,0.213552,0.040035,0.459759
1911,64.325375,1.876193,0.228385,32.822348,0.232107,0.041685,0.473906
1912,63.699844,1.955400,0.243110,33.320642,0.249780,0.042941,0.488283
1913,63.080752,2.043009,0.257838,33.806219,0.266510,0.044782,0.500889
1914,62.529959,2.138735,0.272313,34.216140,0.277998,0.046582,0.518272
1915,61.957284,2.221108,0.285886,34.670593,0.286223,0.047784,0.531122
1916,61.325989,2.306093,0.301869,35.187291,0.291336,0.048847,0.538574
1917,60.605602,2.393308,0.318434,35.793890,0.292559,0.050500,0.545708
1918,59.819838,2.479607,0.333223,36.465394,0.294245,0.052828,0.554865
1919,59.158982,2.588236,0.349380,36.983193,0.299126,0.056678,0.564404
1920,58.439089,2.666849,0.365364,37.588751,0.304390,0.061596,0.573962
1921,57.895595,2.746863,0.381796,38.014996,0.310319,0.067691,0.582739
1922,57.439989,2.825114,0.392859,38.357294,0.318034,0.075363,0.591347
1923,56.725549,2.900968,0.406316,38.957995,0.326585,0.084836,0.597751
1924,56.235979,2.981519,0.420265,39.321158,0.339016,0.096268,0.605794
1925,55.745825,3.057244,0.434519,39.688184,0.352556,0.107464,0.614207
1926,55.134299,3.131555,0.450018,40.175769,0.366802,0.119282,0.622275
1927,54.704147,3.205681,0.462856,40.484922,0.381505,0.131706,0.629183
1928,54.313669,3.283954,0.475685,40.750737,0.397947,0.144135,0.633874
1929,53.936302,3.357732,0.487442,41.012852,0.415311,0.155354,0.635007
1930,53.641055,3.433540,0.498133,41.193955,0.429190,0.167715,0.636412
1931,53.440244,3.509400,0.506709,41.286415,0.440341,0.179472,0.637419
1932,53.298898,3.588702,0.514118,41.311057,0.454530,0.192701,0.639994
1933,53.133040,3.675175,0.521887,41.349460,0.470916,0.206949,0.642574
1934,52.967996,3.771439,0.530982,41.372039,0.489158,0.223570,0.644815
1935,52.803909,3.874463,0.541210,41.382355,0.508817,0.241297,0.647950
1936,52.593771,3.977915,0.551619,41.440351,0.525896,0.259872,0.650576
1937,52.400099,4.078025,0.562237,41.476716,0.548875,0.280902,0.653145
1938,52.306784,4.184739,0.574514,41.406279,0.570023,0.301601,0.656059
1939,52.171569,4.290710,0.587012,41.375727,0.590260,0.324301,0.660421
1940,51.998054,4.415009,0.599071,41.374682,0.610496,0.341277,0.661410
1941,51.754829,4.538746,0.612530,41.447735,0.629186,0.351848,0.665126
1942,51.448808,4.633239,0.627899,41.607005,0.645198,0.368058,0.669794
1943,51.140311,4.714350,0.642873,41.782592,0.660722,0.385871,0.673280
1944,50.769958,4.781858,0.660154,42.023082,0.678551,0.410420,0.675976
1945,50.307273,4.801251,0.679917,42.386901,0.699057,0.444826,0.680774
1946,49.976307,4.791539,0.697838,42.609797,0.749227,0.489930,0.685362
1947,49.661170,4.791610,0.713150,42.833795,0.769064,0.541912,0.689299
1948,49.366480,4.798967,0.728557,43.044036,0.790750,0.578843,0.692367
1949,49.208987,4.839457,0.746330,43.080746,0.810444,0.618519,0.695517
1950,48.984468,4.876877,0.768928,43.167151,0.847482,0.649490,0.705604
1951,48.803773,4.930817,0.791878,43.222499,0.891886,0.643343,0.715803
