"Year","IND_prod","IND_cons","EU27_prod","EU27_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,0.157750,0.156998,1.054992,1.199534,1.398061,1.377698,0.678181,0.633474
1991,0.167949,0.162835,1.037946,1.169246,1.382365,1.354283,0.711271,0.655303
1992,0.178889,0.176413,1.002832,1.255313,1.412451,1.405081,0.745302,0.703431
1993,0.184853,0.177867,0.984455,1.172082,1.439509,1.421453,0.797394,0.752804
1994,0.195488,0.186912,0.979411,1.140170,1.464405,1.449362,0.846070,0.750061
1995,0.207819,0.196349,0.992556,1.156319,1.481386,1.465893,0.916460,0.816645
1996,0.225219,0.209798,1.015471,1.143120,1.532869,1.511622,0.956123,0.852082
1997,0.234426,0.219415,0.997472,1.119693,1.553456,1.540191,0.958016,0.833843
1998,0.239343,0.223878,0.995004,1.134456,1.565810,1.585035,0.917155,0.807077
1999,0.259539,0.246498,0.979952,1.132797,1.585789,1.633698,0.969662,0.864390
2000,0.266950,0.247167,0.983196,1.146178,1.642017,1.704353,0.994668,0.888717
2001,0.270669,0.249223,0.998900,1.148960,1.613534,1.683672,1.016302,0.915036
2002,0.278978,0.253330,0.999294,1.144663,1.624645,1.718276,1.122396,0.998363
2003,0.288953,0.267761,1.021984,1.188336,1.641868,1.770791,1.317534,1.110000
2004,0.306910,0.282595,1.025002,1.205959,1.669750,1.807648,1.425697,1.179439
2005,0.323397,0.299030,1.019622,1.230773,1.675110,1.836568,1.603863,1.286804
2006,0.343516,0.314340,1.022291,1.257481,1.653156,1.833163,1.770962,1.400625
2007,0.370347,0.346290,1.012717,1.259505,1.674478,1.815449,1.904643,1.513710
2008,0.398886,0.371394,0.989925,1.250950,1.615412,1.726939,2.046079,1.629456
2009,0.439797,0.416429,0.909444,1.130065,1.496446,1.578784,2.152438,1.835363
2010,0.457559,0.430560,0.936854,1.174246,1.550598,1.629670,2.351707,2.003423
2011,0.485391,0.448229,0.909641,1.136141,1.513818,1.589210,2.600588,2.221747
2012,0.535643,0.496841,0.889777,1.063180,1.458912,1.543754,2.669018,2.321025
2013,0.556063,0.495539,0.867119,1.029552,1.495886,1.567446,2.717333,2.383287
2014,0.596982,0.543803,0.829747,0.998540,1.508971,1.594524,2.728881,2.408530
2015,0.619751,0.580212,0.844084,0.984303,1.467407,1.581616,2.692932,2.422289
2016,0.650605,0.602885,0.846000,0.989379,1.433340,1.545837,2.665115,2.421641
2017,0.664538,0.624748,0.852409,0.999510,1.422205,1.538022,2.732289,2.497323
2018,0.709729,0.663674,0.832205,1.007238,1.467428,1.584246,2.825840,2.627344
2019,0.716828,0.673448,0.793236,0.963427,1.435356,1.553625,2.931495,2.718114
2020,0.667307,0.621419,0.715556,0.875862,1.287034,1.418504,2.990233,2.738374
