"YYYYMM","CO2"
201001,22.772247
201002,22.679767
201003,22.078939
201004,26.634986
201005,11.783895
201006,28.195539
201007,25.414037
201008,20.208685
201009,9.759982
201010,21.841531
201011,21.997649
201012,13.743677
201101,16.571261
201102,29.353563
201103,20.657001
201104,5.233785
201105,0
201106,0
201107,13.928818
201108,33.565811
201109,19.051281
201110,12.618787
201111,32.500606
201112,33.072787
201201,22.419024
201202,26.972375
201203,26.961997
201204,6.497575
201205,11.834088
201206,22.745628
201207,9.588009
201208,28.593545
201209,29.447994
201210,30.013562
201211,19.695010
201212,28.274100
201301,24.693788
201302,0
201303,0
201304,0.942377
201305,29.663845
201306,7.964244
201307,30.368798
201308,33.579579
201309,30.706783
201310,32.638412
201311,31.918414
201312,29.344746
201401,28.128769
201402,20.699099
201403,32.981658
201404,31.932383
201405,1.702864
201406,6.877164
201407,32.979445
201408,30.587453
201409,31.626352
201410,34.693090
201411,33.934166
201412,29.041047
201501,12.703886
201502,26.933018
201503,27.048797
201504,31.461408
201505,35.640893
201506,29.517002
201507,36.209838
201508,36.016581
201509,34.294434
201510,35.572803
201511,24.428695
201512,35.132709
201601,33.325745
201602,32.584484
201603,35.369525
201604,32.193066
201605,34.874807
201606,34.137972
201607,32.491038
201608,33.742886
201609,34.259480
201610,35.856932
201611,33.441044
201612,30.594251
201701,34.383499
201702,32.036104
201703,34.576665
201704,30.907588
201705,12.269474
201706,15.501967
201707,33.802974
201708,34.635579
201709,34.028061
201710,35.459656
201711,33.080241
201712,34.763981
201801,35.347464
201802,32.073410
201803,34.976089
201804,33.753096
201805,33.765930
201806,31.837015
201807,32.076135
201808,36.020398
201809,35.546922
201810,36.174147
201811,32.584955
201812,32.983000
201901,20.230388
201902,32.661402
201903,31.028425
201904,35.551589
201905,36.669873
201906,33.492197
201907,30.138873
201908,34.433645
201909,33.275328
201910,32.107052
201911,34.114916
201912,33.527443
202001,33.552747
202002,32.606781
202003,30.811982
202004,29.269629
202005,15.254944
202006,7.896415
202007,32.898554
202008,32.856527
202009,11.597355
202010,0
202011,0
202012,0
202101,0
202102,0
202103,0
202104,0
202105,0
202106,0
202107,0
202108,0
202109,0
202110,0
202111,0
202112,0
202201,0
202202,0
202203,0
202204,0
202205,0
202206,26.760108
202207,27.891333
202208,33.295079
202209,33.534965
202210,29.513351
202211,31.334745
202212,33.707815
202301,32.617367
202302,28.705857
202303,28.009289
202304,33.458426
202305,7.460840
202306,17.707391
202307,32.098280
202308,33.975797
202309,33.978775
202310,35.613840
202311,33.558847
202312,35.698575
202401,35.505266
202402,32.183752
202403,35.319970
202404,30.185688
202405,35.258671
202406,31.116485
202407,34.829111
202408,34.914689
202409,34.050823
202410,34.320649
202411,30.179562
202412,32.281743
202501,12.543171
202502,29.298819
202503,27.780110
202504,21.448855
202505,0
202506,0
202507,0
202508,22.068700
202509,31.381147
