"Year","Tajikistan","World"
1950,1.447142,2.378734
1951,1.508601,2.515504
1952,1.559272,2.502896
1953,1.595764,2.524970
1954,1.688133,2.527923
1955,1.856506,2.716614
1956,1.975950,2.835461
1957,2.098652,2.869636
1958,2.173057,2.891376
1959,2.213606,2.985590
1960,2.231924,3.112931
1961,2.229000,3.071906
1962,2.264786,3.120741
1963,2.349880,3.215595
1964,2.417342,3.315825
1965,2.480534,3.391959
1966,2.534389,3.484865
1967,2.564938,3.523155
1968,2.552372,3.640223
1969,2.573709,3.802135
1970,2.623265,4.032588
1971,2.704045,4.112597
1972,2.763577,4.219747
1973,2.797481,4.355556
1974,2.820323,4.253289
1975,2.878053,4.173319
1976,2.898737,4.310191
1977,2.907397,4.352449
1978,2.918207,4.432504
1979,2.857103,4.465701
1980,2.887296,4.364099
1981,2.759632,4.168842
1982,2.734197,4.060496
1983,2.698070,4.023942
1984,2.646509,4.068703
1985,2.766590,4.137420
1986,2.587912,4.122175
1987,2.433201,4.179654
1988,2.535363,4.262697
1989,2.440767,4.241189
1990,2.279528,4.266701
1991,1.807379,4.282473
1992,1.297951,4.090168
1993,0.900021,4.068620
1994,0.402559,4.047994
1995,0.409305,4.083544
1996,0.465448,4.148108
1997,0.350243,4.114970
1998,0.404216,4.044522
1999,0.405729,4.079117
2000,0.355856,4.133621
2001,0.356994,4.107635
2002,0.286665,4.144280
2003,0.311133,4.307030
2004,0.377217,4.399256
2005,0.352436,4.493561
2006,0.376366,4.585831
2007,0.448784,4.661509
2008,0.394775,4.682571
2009,0.326419,4.545518
2010,0.331252,4.744937
2011,0.299362,4.848876
2012,0.366165,4.854014
2013,0.353947,4.837742
2014,0.546697,4.804597
2015,0.613913,4.739116
2016,0.678562,4.682487
2017,0.757157,4.705259
2018,0.868227,4.752195
2019,0.914397,4.747814
2020,0.966562,4.457744
2021,0.941550,4.634748
2022,1.033264,4.678452
2023,0.987920,4.707772
2024,1.014054,4.729075
