"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,2.286900,,
1991,1.335245,,
1992,0.596119,,
1993,0.298517,,
1994,0.158253,,
1995,0.036285,,
1996,0.031407,,
1997,0.032931,,
1998,0.037505,,
1999,0.027748,,
2000,0.006403,,
2001,0.288149,,
2002,0.414386,,
2003,0.480859,,
2004,0.479944,,
2005,0.594942,,
2006,0.203236,,
2007,0.313427,,
2008,0.329094,,
2009,0.332564,,
2010,0.381772,,
2011,0.418786,,
2012,0.616984,,
2013,0.673218,,
2014,1.304229,,
2015,1.100642,,
2016,1.053136,,
2017,0.951779,,
2018,0.994444,,
2019,1.117072,,
2020,1.452010,,
2021,1.618263,,
2022,1.973035,,
