"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-1.518687,,-0.027553,-0.003462,
1991,-1.519252,,-0.027553,-0.003462,
1992,-1.519354,,-0.027553,-0.003462,
1993,-1.520151,,-0.027553,-0.003462,
1994,-1.520948,,-0.027553,-0.003462,
1995,-1.521745,,-0.027553,-0.003462,
1996,-1.522542,,-0.027553,-0.003462,
1997,-1.523339,,-0.027553,-0.003462,
1998,-1.524136,,-0.027553,-0.003462,
1999,-1.524933,,-0.027553,-0.003462,
2000,-1.522673,,-0.027553,-0.003462,
2001,-1.528401,,-0.030791,-0.003869,
2002,-1.531071,,-0.034028,-0.004276,
2003,-1.533741,,-0.037266,-0.004683,
2004,-1.536411,,-0.040503,-0.005090,
2005,-1.539082,,-0.043741,-0.005497,
2006,-1.541752,,-0.046978,-0.005904,
2007,-1.544422,,-0.050216,-0.006310,
2008,-1.547092,,-0.053453,-0.006717,
2009,-1.549763,,-0.056691,-0.007124,
2010,-1.549325,,-0.059928,-0.007531,
2011,-1.551990,,-0.063166,-0.007938,
2012,-1.554496,,-0.066128,-0.008310,
2013,-1.554692,,-0.069090,-0.008682,
2014,-1.557195,,-0.072052,-0.009054,
2015,-1.559698,,-0.075014,-0.009427,
2016,-1.562200,,-0.077976,-0.009799,
2017,-1.564703,,-0.080938,-0.010171,
2018,-1.567206,,-0.083900,-0.010543,
2019,-1.572593,,-0.086862,-0.010915,
2020,-1.571670,,-0.089824,-0.011288,
2021,-1.574172,,-0.089548,-0.011253,
2022,-1.576674,,-0.089273,-0.011218,
