"Year","Malaysia","World"
1950,0.611991,2.372741
1951,0.853177,2.509281
1952,1.015569,2.496828
1953,1.009926,2.519009
1954,1.060370,2.522133
1955,1.094849,2.710743
1956,1.083919,2.829705
1957,0.489451,2.864250
1958,0.518855,2.886446
1959,0.418686,2.981084
1960,0.536325,3.109071
1961,0.580190,3.068418
1962,0.573813,3.117449
1963,0.679302,3.212604
1964,0.837423,3.313059
1965,0.921814,3.389338
1966,1.052906,3.482441
1967,1.056931,3.521091
1968,1.072182,3.638560
1969,0.908174,3.800910
1970,1.415212,4.031813
1971,1.579010,4.112250
1972,1.657217,4.219880
1973,1.582361,4.358162
1974,1.680138,4.257539
1975,1.673717,4.190445
1976,2.006505,4.342568
1977,1.851296,4.387958
1978,1.854324,4.445411
1979,2.120848,4.491730
1980,2.121158,4.385349
1981,2.276342,4.204303
1982,2.201126,4.095304
1983,2.662050,4.047822
1984,2.369151,4.114002
1985,2.404650,4.177916
1986,2.577451,4.164586
1987,2.549580,4.215461
1988,2.594263,4.303169
1989,2.942623,4.285587
1990,3.098087,4.275440
1991,3.651187,4.288762
1992,3.938153,4.101485
1993,4.546563,4.079975
1994,4.466729,4.061836
1995,5.442510,4.097368
1996,5.322065,4.164388
1997,5.575338,4.131378
1998,5.033423,4.059213
1999,4.648762,4.096031
2000,5.355295,4.148800
2001,5.559730,4.125716
2002,5.469008,4.162733
2003,6.200000,4.327484
2004,6.697850,4.421495
2005,6.556487,4.515645
2006,6.419095,4.611727
2007,6.475966,4.688505
2008,6.970973,4.708763
2009,6.808580,4.572416
2010,6.941569,4.774950
2011,6.971334,4.878259
2012,7.181000,4.887112
2013,8.019666,4.868795
2014,8.006471,4.830362
2015,7.594044,4.767311
2016,7.526820,4.713752
2017,7.645064,4.735624
2018,8.106461,4.780249
2019,8.530722,4.778430
2020,7.927694,4.479880
2021,8.135865,4.676995
2022,8.410811,4.676281
2023,8.418422,4.697341
