"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,6.340769,2.389842,2.112122
1991,6.853656,2.548664,2.249144
1992,7.273086,2.717869,2.399764
1993,8.011698,2.618149,2.274980
1994,9.056416,2.881630,2.496270
1995,9.820379,2.960360,2.545570
1996,11.315738,3.323389,2.846757
1997,12.234061,4.167304,3.641070
1998,12.813156,3.275506,2.745086
1999,14.851725,4.376454,3.749492
2000,14.012849,5.358239,4.744488
2001,14.998989,5.901464,5.242748
2002,15.290984,6.108781,5.438307
2003,16.219015,6.543617,5.833393
2004,17.292796,7.073662,6.316951
2005,17.956623,6.659082,5.894771
2006,16.685046,6.554021,5.843477
2007,19.021167,6.489975,5.701018
2008,19.637336,6.989026,6.177873
2009,19.445408,6.724279,5.934116
2010,21.220513,6.401555,5.555080
2011,18.072794,8.005810,7.248712
2012,23.662423,8.346280,7.382623
2013,27.471702,8.865398,7.751926
2014,27.586381,10.885894,9.726551
2015,28.018731,9.529957,8.378409
2016,29.546445,9.564804,8.344932
2017,29.192975,9.570802,8.351049
2018,28.385354,9.448971,8.255367
2019,29.207241,9.649703,8.417341
2020,24.451520,8.604589,7.559148
2021,22.554040,8.708001,7.723555
2022,,,
