"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,59.447687,28.467922,14.031655,14.840034,2.057483,0.050593,,
1991,69.003663,35.140859,15.416214,15.968738,2.422858,0.054994,,
1992,74.839442,37.610744,16.720717,17.071099,3.376549,0.060334,,
1993,73.934879,35.544057,17.862834,17.772372,2.689406,0.066210,,
1994,80.139001,38.501730,18.039144,19.634759,3.889694,0.073674,,
1995,82.121692,37.305626,19.684044,20.888512,4.158613,0.084897,,
1996,95.606838,43.198005,22.976688,23.855617,5.479355,0.097173,,
1997,112.219404,56.202432,23.931446,27.450782,4.526532,0.108212,,
1998,101.250851,47.670707,23.727668,25.664655,4.074279,0.113541,,
1999,113.186924,54.674756,23.143836,31.020216,4.240370,0.107746,,
2000,123.309578,60.072029,25.976317,32.823264,4.315280,0.122688,,
2001,129.051371,62.652242,26.423196,35.628017,4.215495,0.132421,,
2002,136.009469,66.232473,28.559553,36.473381,4.592904,0.151158,,
2003,147.853875,75.145007,29.706274,38.828311,4.023235,0.151048,,
2004,161.273501,81.615166,33.460004,41.720641,4.296757,0.180932,,
2005,173.528497,91.950372,35.300481,41.396763,4.637806,0.243076,,
2006,172.555725,93.179739,33.972957,39.852420,5.277748,0.272862,,
2007,186.537953,101.167414,37.369668,42.291468,5.498480,0.210922,,
2008,194.888166,107.505728,36.505960,44.388631,6.240974,0.246873,,
2009,185.581336,105.171099,31.119916,43.483428,5.555216,0.251678,,
2010,198.931505,119.334737,26.156204,44.183461,8.967404,0.289700,,
2011,198.014546,121.937287,23.337827,44.642777,7.870104,0.226552,,
2012,214.816523,126.879172,27.427641,52.393263,7.559614,0.556833,,
2013,221.467671,129.559209,24.945330,58.812087,7.689951,0.461094,,
2014,228.244400,133.295402,22.981572,64.246788,7.226058,0.494580,,
2015,230.962498,137.413869,25.268802,61.198438,6.589250,0.492138,,
2016,229.193710,131.068473,28.815179,63.479778,5.338141,0.492138,,
2017,231.805535,130.914143,31.661423,63.019530,5.718301,0.492138,,
2018,235.977820,133.328994,34.243560,61.530133,6.382994,0.492138,,
2019,240.751559,135.804048,33.575505,65.053174,6.065858,0.252975,,
2020,240.266091,152.251315,30.776477,50.278332,6.667318,0.292648,,
2021,239.910796,149.310754,33.702952,49.575981,7.032227,0.288882,,
