"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-1.254001,-0.802040,0.018948,0,0.050081,0.020159,-0.348987,0
1991,-1.340075,-0.861437,0.016059,0,0.055395,0.013233,-0.331531,0
1992,-1.682692,-0.840811,0.049524,0.000043,0.055967,0.030958,-0.217349,0
1993,-1.735975,-1.096869,0.088830,0.000706,0.059965,0.024779,-0.431159,0
1994,-1.461817,-1.037684,-0.009105,0.000263,0.064332,0.027816,-0.411299,0
1995,-1.665669,-1.130329,-0.027507,0.000082,0.065928,0.029450,-0.350809,0
1996,-1.684802,-0.435401,-0.031829,0.000210,0.079930,0.041368,-0.369916,0
1997,-1.394450,-1.099640,-0.023222,0.000580,0.074780,0.047283,0.198079,0
1998,-1.483282,-0.945093,-0.017120,0.002182,0.078024,0.048977,0.096063,0
1999,-1.630623,-1.159701,-0.082683,0.000354,0.084745,0.054659,-0.010855,0
2000,-1.389189,-1.066723,-0.034622,0.002553,0.093046,0.062556,-0.235037,0
2001,-1.846601,-0.834197,-0.093802,0.000784,0.092945,0.067968,-0.081682,0
2002,-1.901863,-0.946256,-0.087987,0.002419,0.097911,0.074012,-0.230433,0
2003,-1.917503,-0.625886,-0.102663,0.001408,0.115801,0.073554,-0.288564,0
2004,-1.915437,-0.710996,-0.049875,0.026525,0.110359,0.082502,-0.265631,0
2005,-2.326897,-0.858773,-0.280067,0.003320,0.119719,0.074841,-0.283853,0
2006,-2.295306,-0.858362,-0.367415,0.004459,0.120346,0.087850,-0.305341,0
2007,-1.794247,0.064863,-0.225142,0.003804,0.124533,0.113485,-0.467989,0
2008,-2.122843,-0.950745,-0.428213,0.003009,0.126653,0.105723,-0.076049,0
2009,-2.125262,-0.808930,-0.441375,0.003009,0.128094,0.096226,-0.291133,0
2010,-2.187070,-0.621817,-0.461196,0.002766,0.127162,0.092699,-0.363878,0
2011,-2.187543,-0.909095,-0.318931,0.002744,0.125692,0.090456,-0.323946,0
2012,-2.160209,-0.963826,-0.747149,0.003007,0.137769,0.134558,0.035621,0
2013,-2.214918,0.027657,-0.653150,0.002681,0.126880,0.088564,0.064452,0
2014,-2.225499,0.439370,-0.502545,0.000100,0.124855,0.088461,0.067317,0
2015,-2.201451,-0.306416,-1.242753,0.000080,0.126253,0.086023,0.065793,0
2016,-2.199224,-0.772944,-1.369656,0.000033,0.139484,0.087006,0.064340,0
2017,-2.150757,-0.641211,-1.260521,0.000015,0.137485,0.089167,0.023588,0
2018,-2.148186,-0.993260,-1.693350,0.000230,0.137801,0.084502,-0.032129,0
2019,-2.246524,-1.318047,-1.702733,0.001592,0.132069,0.081162,-0.032475,0
2020,-2.248695,-1.205780,-1.931700,0.000973,0.130773,0.082144,0.028096,0
2021,-2.046133,-1.312190,-1.975843,0.002276,0.130761,0.103235,0.027878,0
2022,-2.134633,-1.216275,-2.034037,0.000903,0.136182,0.095593,0.027660,0
2023,-1.386334,-1.144845,-2.009387,0.053836,0.131304,0.094133,0.027441,0
2024,-1.685037,-1.187656,-1.916190,0.016962,0.168623,0.099777,0.027219,0
