"Year","Greece","World"
1950,0.012501,2.378734
1951,0.012194,2.515504
1952,0.017495,2.502896
1953,0.030088,2.524970
1954,0.047019,2.527923
1955,0.052041,2.716614
1956,0.052603,2.835461
1957,0.065173,2.869636
1958,0.077296,2.891376
1959,0.098363,2.985590
1960,0.161481,3.112931
1961,0.158399,3.071906
1962,0.165807,3.120741
1963,0.224483,3.215595
1964,0.242004,3.315825
1965,0.317463,3.391959
1966,0.310091,3.484865
1967,0.323360,3.523155
1968,0.356567,3.640223
1969,0.406165,3.802135
1970,0.519594,4.032588
1971,0.654236,4.112597
1972,0.650175,4.219747
1973,0.765458,4.355556
1974,0.813079,4.253289
1975,1.056198,4.173319
1976,1.274695,4.310191
1977,1.313873,4.352449
1978,1.143215,4.432504
1979,1.225453,4.465701
1980,1.190042,4.364099
1981,1.439359,4.168842
1982,1.738615,4.060496
1983,1.906014,4.023942
1984,2.050363,4.068703
1985,2.237758,4.137420
1986,2.317508,4.122175
1987,2.631092,4.179654
1988,2.717848,4.262697
1989,2.977354,4.241189
1990,2.959830,4.266701
1991,2.844922,4.282473
1992,2.825209,4.090168
1993,2.835281,4.068620
1994,2.876791,4.047994
1995,2.898439,4.083544
1996,2.780986,4.148108
1997,2.944416,4.114970
1998,3.045503,4.044522
1999,2.917227,4.079117
2000,3.041581,4.133621
2001,3.064376,4.107635
2002,3.119090,4.144280
2003,2.951594,4.307030
2004,3.074089,4.399256
2005,3.051474,4.493561
2006,2.912230,4.585831
2007,2.977536,4.661509
2008,2.871985,4.682571
2009,2.883659,4.545518
2010,2.585736,4.744937
2011,2.651593,4.848876
2012,2.855323,4.854014
2013,2.403664,4.837742
2014,2.295722,4.804597
2015,2.055606,4.739116
2016,1.477883,4.682487
2017,1.687669,4.705259
2018,1.601530,4.752195
2019,1.165617,4.747814
2020,0.617602,4.457744
2021,0.545232,4.634748
2022,0.619563,4.678452
2023,0.497930,4.707772
2024,0.306297,4.729075
