"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,75.784168,43.238412,9.400305,14.502639,8.642813,,,
1991,75.878403,42.073023,9.449689,15.312540,9.043152,,,
1992,77.813646,44.361128,9.105909,15.690167,8.656442,,,
1993,77.475984,44.259984,8.820357,15.884458,8.511186,,,
1994,79.676244,46.243671,8.670134,16.196548,8.565891,,,
1995,79.721603,45.007266,9.548246,16.540642,8.625449,,,
1996,81.884542,44.184299,10.163179,16.985660,10.551404,,,
1997,86.439591,47.631515,10.272029,17.716014,10.820033,,,
1998,91.105845,50.160555,10.226220,19.550300,11.168770,,,
1999,90.532407,50.458846,9.207178,19.877421,10.988962,,,
2000,95.254765,54.914923,9.926259,18.810536,11.603048,,,
2001,97.657314,55.432946,10.050392,19.712656,12.461320,,,
2002,97.416378,54.854002,9.503285,20.034406,13.024686,,,
2003,101.342772,56.100490,9.174095,21.104544,14.963643,,,
2004,101.747786,57.420995,8.690972,21.513761,14.122058,,,
2005,105.600154,58.243084,10.228094,21.820719,14.781696,0.526562,,
2006,104.385669,56.069913,10.465688,22.513241,14.683314,0.653513,,
2007,106.586583,59.554337,10.051852,23.130920,13.298162,0.551313,,
2008,103.697868,58.197914,9.425850,22.414076,12.958521,0.701507,,
2009,98.761725,54.651019,7.527908,25.231065,11.100145,0.251589,,
2010,91.766269,52.195830,6.891896,22.447650,9.986561,0.244332,,
2011,90.593653,54.000140,4.978720,20.093797,11.303825,0.217171,,
2012,86.810130,54.671880,5.520282,16.723655,9.681781,0.212531,,
2013,76.638118,49.353422,5.282794,16.502579,5.262249,0.237075,,
2014,73.274052,45.924101,5.465920,16.529890,5.164130,0.190011,,
2015,70.061895,40.899890,5.242536,17.076243,6.635335,0.207891,,
2016,66.118405,37.011839,5.355465,17.414323,6.136214,0.200564,,
2017,69.277002,39.930268,5.781179,17.188084,6.193781,0.183690,,
2018,66.353458,38.256690,5.118824,17.419202,5.434635,0.124107,,
2019,60.482645,31.970674,4.615860,17.810345,5.950677,0.135088,,
2020,51.104326,24.482183,4.450689,15.275553,6.597752,0.298149,,
2021,53.087015,25.473024,4.825436,16.704883,6.047732,0.035940,,
2022,53.973937,24.735343,4.473672,17.908582,6.555074,0.301266,,
2023,48.260875,20.949393,4.347289,17.536955,5.076643,0.350596,,
