"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,1.473589,-3.248205,-3.248205,-3.268858,-3.268858,-3.248205,-2.504653,-2.523601,-2.571002,-2.526518,-2.313448,-2.439209,-2.346117,-2.245817,-2.188111,-2.177043,-2.177043,-2.177043,-2.177043,-2.323535,-2.344679,-2.355552
1991,,0.583710,-3.596036,-3.596036,-3.616690,-3.616690,-3.596036,-2.587326,-2.606273,-2.657107,-2.613610,-2.411420,-2.547101,-2.510943,-2.418512,-2.351702,-2.341113,-2.341113,-2.341113,-2.341113,-2.411978,-2.440738,-2.451327
1992,,2.302459,-3.074986,-3.074986,-3.095639,-3.095639,-3.074986,-2.889813,-2.908760,-2.958903,-2.914113,-2.704812,-2.617745,-2.556153,-2.513103,-2.491474,-2.491248,-2.491248,-2.491248,-2.491248,-2.682707,-2.701980,-2.716682
1993,,1.664111,-3.879748,-3.879748,-3.900402,-3.900402,-3.879748,-3.238304,-3.257252,-3.313842,-3.246959,-3.019229,-3.231268,-2.940542,-2.979187,-2.943241,-2.941448,-2.941448,-2.941448,-2.941448,-3.155043,-3.171923,-3.190929
1994,,1.499990,-3.553420,-3.553420,-3.574074,-3.574074,-3.553420,-2.861066,-2.880014,-2.937168,-2.885903,-2.732120,-2.875284,-2.682269,-2.721858,-2.676047,-2.673772,-2.673772,-2.673772,-2.673772,-2.881489,-2.903098,-2.922762
1995,,-0.402078,-4.406971,-4.406971,-4.427625,-4.427625,-4.406971,-3.200048,-3.218910,-3.274500,-3.175978,-3.020610,-3.049075,-2.941801,-2.975062,-2.926677,-2.924447,-2.924447,-2.924447,-2.924447,-3.097202,-3.115692,-3.135142
1996,,-0.072247,-3.993225,-3.993225,-4.013879,-4.013879,-3.993225,-2.926526,-2.801769,-2.857524,-2.794414,-2.622440,-2.812213,-2.640291,-2.389370,-2.331518,-2.329344,-2.329344,-2.329344,-2.329344,-2.461075,-2.486640,-2.436972
1997,,-0.403872,-3.956998,-3.956998,-3.977652,-3.977652,-3.956998,-2.986954,-2.862196,-2.742974,-2.667619,-2.459699,-1.947805,-1.833773,-2.082053,-2.013343,-2.015587,-2.015587,-2.015587,-2.015587,-2.238953,-2.257751,-2.271581
1998,,2.830259,-3.590818,-3.590818,-3.611472,-3.611472,-3.590818,-3.303359,-3.178602,-3.057280,-2.977032,-2.777180,-2.098938,-1.986237,-2.016030,-1.934668,-1.936316,-1.936316,-1.936316,-1.936316,-2.422212,-2.415728,-2.414961
1999,,0.019145,-4.436430,-4.436430,-4.457084,-4.457084,-4.436430,-3.540603,-3.333173,-3.216247,-3.144577,-2.992706,-2.813494,-2.637763,-2.647144,-2.560025,-2.560113,-2.560113,-2.560113,-2.560113,-2.721390,-2.751245,-2.765706
2000,,4.169744,-3.141896,-3.141896,-3.162549,-3.162549,-2.636091,-3.132647,-2.934747,-2.935724,-2.821214,-2.635587,-2.133711,-2.107417,-2.339379,-2.170619,-2.175918,-2.175918,-2.175918,-2.175918,-2.776416,-2.766819,-2.780326
2001,-1.327888,-1.295057,-5.323626,-5.323626,-5.344279,-5.344279,-4.983899,-3.221158,-3.119272,-2.786574,-2.680588,-2.540574,-2.278284,-2.377615,-2.630663,-2.448059,-2.453212,-2.453212,-2.453212,-2.453212,-2.669371,-2.687256,-2.689551
