"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,0.130000,0.050000,0.070000,0.040000,0.070000,0.160000,"NaN"
2021,-0.200000,-0.010000,-0.020000,0.810000,-0.010000,0.130000,"NaN"
2022,-0.580000,0.110000,-0.050000,0.730000,0,0.220000,"NaN"
2023,0.170000,-0.340000,0.140000,-0.820000,-0.060000,0.380000,"NaN"
2024,-0.780000,0.480000,-0.080000,0.610000,0.110000,1.230000,"NaN"
