"Year","Mexico","World"
1950,1.149053,2.378734
1951,1.203507,2.515504
1952,1.212019,2.502896
1953,1.109893,2.524970
1954,1.213044,2.527923
1955,1.265527,2.716614
1956,1.267080,2.835461
1957,1.218020,2.869636
1958,1.371487,2.891376
1959,1.433989,2.985590
1960,1.451893,3.112931
1961,1.558238,3.071906
1962,1.650360,3.120741
1963,1.638497,3.215595
1964,1.660935,3.315825
1965,1.678587,3.391959
1966,1.680027,3.484865
1967,1.807128,3.523155
1968,1.848186,3.640223
1969,1.854333,3.802135
1970,1.910234,4.032588
1971,1.834074,4.112597
1972,1.856791,4.219747
1973,1.898121,4.355556
1974,2.216934,4.253289
1975,2.531740,4.173319
1976,2.683555,4.310191
1977,3.100188,4.352449
1978,3.695552,4.432504
1979,4.087506,4.465701
1980,5.225618,4.364099
1981,6.107523,4.168842
1982,6.963994,4.060496
1983,6.699472,4.023942
1984,6.604450,4.068703
1985,6.358210,4.137420
1986,5.832193,4.122175
1987,5.965751,4.179654
1988,5.826746,4.262697
1989,5.714753,4.241189
1990,5.727739,4.266701
1991,5.868109,4.282473
1992,5.736252,4.090168
1993,5.690838,4.068620
1994,5.696250,4.047994
1995,5.469823,4.083544
1996,5.799097,4.148108
1997,5.924769,4.114970
1998,5.989336,4.044522
1999,5.693539,4.079117
2000,5.748677,4.133621
2001,5.766747,4.107635
2002,5.720539,4.144280
2003,5.985067,4.307030
2004,6.049608,4.399256
2005,6.017445,4.493561
2006,5.934554,4.585831
2007,5.574594,4.661509
2008,5.095587,4.682571
2009,4.829688,4.545518
2010,4.752167,4.744937
2011,4.743909,4.848876
2012,4.578064,4.854014
2013,4.489980,4.837742
2014,4.307662,4.804597
2015,3.971734,4.739116
2016,3.733234,4.682487
2017,3.403565,4.705259
2018,3.153919,4.752195
2019,2.903799,4.747814
2020,2.816533,4.457744
2021,2.761036,4.634748
2022,2.793662,4.678452
2023,2.907017,4.707772
2024,2.707284,4.729075
