"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1995,-188.895348,,,,
1996,-188.124686,,,,
1997,-187.354024,,,,
1998,-186.583362,,,,
1999,-185.812700,,,,
2000,-189.568664,,,,
2001,-189.656636,,,,
2002,-189.043046,,,,
2003,-188.647584,,,,
2004,-188.154946,,,,
2005,-187.613095,,,,
2006,-187.135026,,,,
2007,-187.099286,,,,
2008,-186.641249,,,,
2009,-185.784788,,,,
2010,-185.095687,,,,
2011,-184.322063,,,,
2012,-183.900877,,,,
2013,-183.372177,,,,
2014,-182.651113,,,,
2015,-182.069968,,,,
2016,-181.311448,,,,
2017,-180.786580,,,,
2019,-180.563619,,,,
2020,-179.811828,,,,
2021,-179.206046,,,,
2022,-178.819688,,,,
