"Year","Mexico","World"
1950,1.105831,2.378734
1951,1.231949,2.515504
1952,1.279202,2.502896
1953,1.227675,2.524970
1954,1.179406,2.527923
1955,1.253120,2.716614
1956,1.292936,2.835461
1957,1.468230,2.869636
1958,1.562053,2.891376
1959,1.636021,2.985590
1960,1.716894,3.112931
1961,1.721818,3.071906
1962,1.629057,3.120741
1963,1.639919,3.215595
1964,1.776310,3.315825
1965,1.741026,3.391959
1966,1.811476,3.484865
1967,1.951145,3.523155
1968,1.969595,3.640223
1969,2.075352,3.802135
1970,2.242464,4.032588
1971,2.407482,4.112597
1972,2.447906,4.219747
1973,2.587525,4.355556
1974,2.698902,4.253289
1975,2.782249,4.173319
1976,3.028971,4.310191
1977,3.086862,4.352449
1978,3.470630,4.432504
1979,3.658485,4.465701
1980,3.976870,4.364099
1981,4.116389,4.168842
1982,4.312788,4.060496
1983,3.854740,4.023942
1984,3.761433,4.068703
1985,3.826866,4.137420
1986,3.828647,4.122175
1987,3.913530,4.179654
1988,3.832314,4.262697
1989,3.978181,4.241189
1990,3.824500,4.266701
1991,3.906536,4.282473
1992,3.863724,4.090168
1993,3.852907,4.068620
1994,3.938349,4.047994
1995,3.641827,4.083544
1996,3.694254,4.148108
1997,3.855150,4.114970
1998,3.987453,4.044522
1999,3.975015,4.079117
2000,3.968903,4.133621
2001,4.070813,4.107635
2002,4.040439,4.144280
2003,4.233589,4.307030
2004,4.201275,4.399256
2005,4.379822,4.493561
2006,4.424302,4.585831
2007,4.353924,4.661509
2008,4.285249,4.682571
2009,4.109744,4.545518
2010,4.016840,4.744937
2011,4.193743,4.848876
2012,4.292929,4.854014
2013,4.186214,4.837742
2014,4.040969,4.804597
2015,3.959896,4.739116
2016,3.916748,4.682487
2017,3.763423,4.705259
2018,3.760188,4.752195
2019,3.723161,4.747814
2020,3.382808,4.457744
2021,3.500541,4.634748
2022,3.528405,4.678452
2023,3.532100,4.707772
2024,3.522727,4.729075
