"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,22.036361,27.525527,27.525507,27.052921,27.830774,29.026328,28.092306,28.266335,28.257059,44.629823,44.585446,37.682828,36.881184,18.512669,18.549426,17.660619,17.437530,17.540540,16.220619,16.347030
1991,20.539265,26.830779,26.830777,26.358211,27.049563,28.330825,27.308586,27.485320,27.477006,42.010115,41.979623,34.993249,34.176254,17.612261,17.644539,16.805837,16.579883,16.677602,15.600414,15.724649
1992,19.906689,24.682026,24.682046,24.203899,24.877717,25.819046,25.082306,25.252792,25.244475,38.742096,38.735713,31.780907,30.943547,16.488392,16.514653,15.955539,15.718479,15.811333,14.937659,15.051335
1993,19.101587,23.997257,23.997429,23.516078,24.140846,25.125829,24.339864,24.502940,24.499510,36.204895,36.222935,29.488626,28.672878,15.756802,15.779660,15.242504,14.993846,15.087024,14.366732,14.487535
1994,18.425094,22.378209,22.378408,21.902714,22.470047,23.411193,22.688658,22.848919,22.845711,33.783200,33.829375,27.195804,26.378942,14.681857,14.696557,14.182359,13.925348,14.017578,13.422847,13.542620
1995,17.806981,21.535639,21.536130,21.059893,21.600595,22.484496,21.803177,21.961228,21.959939,32.640614,32.692314,26.181890,25.371919,14.043182,14.055368,13.529271,13.274166,13.359254,12.808624,12.927032
1996,17.405308,21.034322,21.034723,20.553830,21.058719,22.172835,21.496727,21.381571,21.378858,31.961857,32.039594,25.458142,24.627290,13.491889,13.502876,13.108366,12.847361,12.929083,12.378973,12.499046
1997,16.535566,19.916463,19.916821,19.435404,19.923196,20.585126,20.044440,20.199719,20.199093,31.214503,31.299994,25.065567,24.273815,12.998730,13.010516,12.594609,12.332673,12.406080,11.874250,11.994157
1998,15.384040,20.006655,20.007037,19.519622,19.983058,20.721595,20.068698,20.224488,20.226321,30.897732,30.985862,24.527039,23.683796,12.515634,12.527892,12.162219,11.898780,11.973162,11.462229,11.582290
1999,15.547558,20.057238,20.057709,19.562214,20.048139,20.702085,20.079637,20.235553,20.237578,30.922391,31.014495,24.552225,23.699147,12.477655,12.491630,12.246467,11.985575,12.054481,11.540812,11.658969
2000,15.770472,20.510791,20.511329,20.010926,20.525105,21.215202,20.538492,20.697123,20.695315,31.602736,31.689973,25.316709,24.471805,12.663377,12.680598,12.392969,12.131889,12.198529,11.420313,11.710575
2001,15.776109,20.726391,20.726968,20.228254,20.773960,21.416947,20.759413,20.918061,20.916910,32.645555,32.739484,26.402408,25.555818,12.921869,12.946197,12.414669,12.120600,12.183511,11.462759,11.527171
2002,15.919069,21.081339,21.081900,20.580957,21.164396,21.779020,21.033633,21.194650,21.230489,33.887795,33.977570,27.511777,26.638335,12.948647,12.982814,12.296886,11.981830,12.038129,11.300936,11.318217
2003,16.390415,21.814239,21.814833,21.307228,21.923786,22.490784,21.756488,21.919874,21.949690,36.043239,36.130389,29.443471,28.527707,13.428431,13.472678,12.678552,12.323002,12.371157,11.537235,11.505686
2004,16.506093,22.208037,22.209012,21.700185,22.356014,22.913878,23.181862,23.346228,23.344831,37.737518,37.827284,31.027006,30.078183,13.688168,13.738633,12.785963,12.399015,12.439619,11.496253,11.415855
2005,,22.403854,22.404358,21.886820,22.576137,23.081497,22.385289,22.560417,22.547703,38.318152,38.426254,31.537471,30.560287,13.800048,13.857053,12.770482,12.346986,12.379240,11.402572,11.263947
