"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,186.270205,176.004241,176.004241,36.238902,24.277912,61.309703,61.089800,65.537496,127.526111,168.983405,133.261003,130.565763,126.848566,-105.109692,-109.767793,-104.046957,-105.281469,-108.038563,-559.231676,-738.314174
1991,21.676175,18.708689,18.708689,47.000068,26.444931,57.058708,56.525954,70.597886,153.221538,186.890441,168.166750,168.439447,153.459441,-86.650978,-76.885605,-72.324582,-73.548476,-70.073063,-626.822826,-951.549240
1992,137.305425,123.883337,123.883337,-43.404151,-77.007419,-44.502790,-45.533740,-31.749645,47.799682,92.671989,72.935260,73.165171,48.628794,-108.263275,-83.056244,-75.395604,-76.599794,-77.023614,-671.561220,-1018.496904
1993,-106.374605,-112.721535,-112.721535,-369.997113,-168.780817,-131.114196,-132.594804,-119.776636,-42.145864,19.879023,-1.781878,-1.487906,-28.147916,-117.351135,-78.327231,-75.648631,-81.974141,-132.389752,-872.264192,-1163.912710
1994,-176.795945,-179.949386,-179.949386,-359.118129,-229.837392,-200.563811,-202.442988,-191.641210,-121.770920,-51.034185,-68.465047,-68.135868,-105.443696,-202.887270,-166.249012,-164.106344,-165.268903,-214.414706,-1030.418683,-1351.980519
1995,-140.731804,-156.976004,-156.976004,-326.942451,-270.164513,-240.766821,-242.963593,-235.129827,-164.579980,-94.808176,-108.631060,-108.190178,-152.609331,-283.614957,-239.514255,-238.811309,-239.947801,-290.413787,-1125.301629,-1441.871020
1996,-133.524732,-149.560730,-149.560730,-329.474537,-340.554379,-313.169224,-315.740650,-312.006746,-247.766545,-132.209034,-179.940353,-179.294634,-236.212665,-354.519101,-306.140866,-307.137304,-307.270180,-361.425896,-1162.782261,-1197.184442
1997,-35.243509,-51.408841,-51.408841,-362.923588,-433.368533,-407.662652,-410.580168,-402.942458,-342.105551,-257.059280,-277.270231,-275.496508,-333.503550,-426.302715,-382.612283,-380.688880,-380.043736,-432.155544,-1223.333711,-1453.567827
1998,103.971477,84.230054,84.230054,146.401352,-423.624652,-413.178239,-416.478440,-412.135790,-363.517435,-190.075561,-286.625609,-293.974868,-351.447129,-520.564086,-483.340885,-465.858396,-451.808487,-452.267880,-1263.068743,-1149.497964
1999,-165.071528,-188.782825,-188.782825,-301.964597,-455.350478,-437.842077,-442.476567,-440.052453,-400.284142,-312.243262,-332.335060,-339.796775,-386.110534,-525.589651,-492.658510,-474.484439,-463.164072,-488.128647,-1332.970683,-1523.713253
2000,361.654709,344.069688,344.069688,333.940165,-494.461703,-480.353962,-483.776490,-476.950439,-442.961580,-344.002389,-380.734579,-388.092415,-437.543776,-548.219739,-517.293464,-507.916859,-500.609814,-507.693647,-1311.386699,-1409.787068
2001,247.122031,277.340667,277.340667,60.866118,-567.432716,-555.228576,-559.019483,-563.169699,-527.673785,-434.023896,-463.881273,-470.931042,-527.322853,-604.162956,-571.928740,-568.277685,-556.415451,-557.738602,-1434.583790,-1517.134266
2002,-180.027036,-196.179185,-196.226925,-572.111487,-596.146082,-586.653369,-590.611909,-596.507918,-565.208130,-455.551029,-497.457535,-504.551151,-563.690050,-631.691360,-602.655690,-598.389405,-583.465861,-585.574851,-1475.678300,-1453.953180
2003,-368.066316,-385.518017,-385.518017,-836.152253,-589.197484,-580.117486,-585.005554,-584.145153,-565.117181,-437.819101,-502.616924,-509.313731,-567.573709,-651.362952,-624.438034,-603.196997,-596.490598,-592.182360,-1566.549638,-1328.146605
