"Year","Combined heat and power generation","Residential: Stationary combustion","Other (Not specified elsewhere)","All others"
1990,20.784561,14.298357,2.362875,25.852505
1991,20.368870,14.012390,2.320483,25.335455
1992,16.860173,26.592832,0.123215,6.498211
1993,11.605586,19.966800,0.123107,14.049246
1994,10.495068,18.200000,0.122992,3.361348
1995,10.709447,14.039312,0.122781,4.133801
1996,8.290600,13.076336,0.124620,3.195336
1997,6.588440,11.866176,0.127352,2.707336
1998,5.949108,9.711072,0.127942,0.784444
1999,7.198441,12.397952,0.129640,1.880951
2000,6.001272,4.466681,1.043906,6.528609
2001,5.804910,4.383909,1.088264,6.166429
2002,5.768779,5.146240,1.381554,4.362346
2003,5.259371,5.990559,1.517838,3.743056
2004,6.088108,5.451400,1.266341,3.091565
2005,5.640564,5.279823,2.891699,1.985423
2006,5.615289,5.840137,2.672051,1.717149
2007,5.836855,6.058420,2.909612,2.201376
2008,4.476607,5.735427,2.587832,1.735268
2009,4.235347,4.169031,2.940106,2.141803
2010,3.054321,5.509376,4.076075,1.254117
2011,2.733078,5.659816,4.123841,1.230504
2012,2.846498,5.675358,4.068934,1.189449
2013,2.585431,4.518284,4.255060,1.550183
2014,2.636335,4.692910,4.406557,0.953722
2015,3.472446,3.649517,4.662426,0.813148
2016,2.993359,4.120310,4.885365,0.691695
2017,3.386966,4.182128,4.957288,0.628568
2018,2.310045,4.706007,5.017700,0.632148
2019,2.643495,4.795328,3.223875,0.547454
2020,2.452977,4.515402,3.436495,0.545009
2021,2.641137,4.012094,0.590086,0.612066
2022,2.642386,3.376034,0.549983,0.965247
2023,2.494451,2.640002,0.869745,0.991529
2024,2.231939,5.451803,0.842822,0.601666
