"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-1459.874158,741.398141,-77.057754,-2.984304,0.378606,
1991,-1462.229182,558.030378,-95.938985,-8.818404,-33.769918,
1992,-1481.497334,524.611704,-98.222174,-10.416794,-41.459060,
1993,-1516.956554,437.722300,-106.691371,-13.108277,-49.266881,
1994,-1542.790454,317.944387,-117.887468,-16.473756,-63.958604,
1995,-1568.809209,276.675173,-123.889025,-18.108721,-74.055089,
1996,-1594.421802,453.170494,-104.448178,-12.457739,-33.236103,
1997,-1620.281690,321.017248,-124.360243,-18.108712,-69.607844,
1998,-1641.271976,561.865603,-96.125765,-10.311819,-17.605512,
1999,-1665.943998,347.493617,-121.795158,-17.759306,-68.300305,
2000,-1690.675070,443.863814,-113.179437,-14.807063,-49.436107,
2001,-1712.241212,380.618161,-120.390865,-16.683993,-62.221692,
2002,-1733.478448,443.646123,-113.620452,-15.224590,-51.103745,
2003,-1777.191699,621.165757,-98.358107,-11.583723,-21.845017,
2004,-1798.604458,325.596414,-131.624475,-19.737776,-78.203304,
2005,-1830.074555,409.678726,-124.096337,-17.650085,-65.194400,
2006,-1860.165616,378.679757,-120.180353,-16.719099,-61.028081,
2007,-1841.819742,331.665095,-110.034258,-18.427137,-74.615540,
2008,-1838.109964,365.193253,-140.633588,-15.798685,-52.857386,
2009,-1752.028266,312.281194,-184.734412,-18.165799,-71.487682,
2010,-1689.391175,334.233824,-171.484404,-16.688390,-73.904327,
2011,-1638.392230,538.057011,-142.005393,-11.965179,-39.703755,
2012,-1595.492931,744.511942,-102.417653,-1.745078,32.425447,
2013,-1540.474618,358.606752,-134.672491,-14.270168,-53.984019,
2014,-1476.351951,471.576794,-118.743118,-12.104448,-41.514246,
2015,-1421.899475,458.178076,-116.536038,-14.026982,-55.066185,
2016,-1384.820705,503.471203,-93.968305,-8.856621,-21.031698,
2017,-1352.653424,442.095603,-104.341369,-12.795142,-50.716168,
2018,-1353.264947,471.473069,-90.710560,-9.432653,-30.547607,
2019,-1397.859855,569.655934,-90.990923,-8.836967,-27.222346,
2020,-1383.121525,458.124892,-99.369910,-10.293159,-38.070066,
2021,-1391.773108,589.732236,-55.349321,1.904083,37.979949,
2022,-1367.753449,388.266672,-117.245923,-16.192121,-77.025579,
2023,-1355.299769,414.717264,-118.462836,-14.944558,-70.203536,
