"Year","Russia","World"
1950,4.046213,2.372741
1951,4.319012,2.509281
1952,4.553366,2.496828
1953,4.740885,2.519009
1954,5.095854,2.522133
1955,5.687040,2.710743
1956,6.135141,2.829705
1957,6.607853,2.864250
1958,6.945081,2.886446
1959,7.196492,2.981084
1960,7.388824,3.109071
1961,7.514872,3.068418
1962,7.790687,3.117449
1963,8.266864,3.212604
1964,8.710237,3.313059
1965,9.166402,3.389338
1966,9.612247,3.482441
1967,9.986900,3.521091
1968,10.210925,3.638560
1969,10.579228,3.800910
1970,11.074947,4.031813
1971,11.696441,4.112250
1972,12.237172,4.219880
1973,12.683050,4.358162
1974,13.088900,4.257539
1975,13.668758,4.190445
1976,14.098009,4.342568
1977,14.475750,4.387958
1978,14.869127,4.445411
1979,14.899646,4.491730
1980,15.402200,4.385349
1981,15.027909,4.204303
1982,15.218702,4.095304
1983,15.324311,4.047822
1984,15.347241,4.114002
1985,16.435234,4.177916
1986,16.306736,4.164586
1987,16.226602,4.215461
1988,16.638418,4.303169
1989,16.321440,4.285587
1990,17.136149,4.275440
1991,16.211978,4.288762
1992,13.222369,4.101485
1993,12.537027,4.079975
1994,11.070849,4.061836
1995,10.903035,4.097368
1996,10.704888,4.164388
1997,10.019229,4.131378
1998,9.922302,4.059213
1999,10.141275,4.096031
2000,10.072826,4.148800
2001,10.364425,4.125716
2002,10.349519,4.162733
2003,10.604022,4.327484
2004,10.695658,4.421495
2005,10.866317,4.515645
2006,11.322848,4.611727
2007,11.345776,4.688505
2008,11.545911,4.708763
2009,10.792086,4.572416
2010,11.398726,4.774950
2011,11.759599,4.878259
2012,11.844850,4.887112
2013,11.395340,4.868795
2014,11.366104,4.830362
2015,11.327114,4.767311
2016,11.266587,4.713752
2017,11.454742,4.735624
2018,11.757415,4.780249
2019,11.698945,4.778430
2020,11.213839,4.479880
2021,11.798489,4.676995
2022,12.453518,4.676281
2023,12.571794,4.697341
