"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,50.783142,9.673745,87.103115
1991,50.896847,9.170818,81.681829
1992,48.768188,8.361295,75.072348
1993,45.040213,7.390141,68.004966
1994,45.412008,7.062595,63.715971
1995,46.909456,6.897241,60.103517
1996,46.180624,6.459068,55.528155
1997,47.607025,6.298416,52.007457
1998,46.658742,5.876596,47.659936
1999,45.491466,5.457927,43.437992
2000,44.029032,5.035652,39.320376
2001,46.467893,5.328830,40.714075
2002,48.666364,5.600759,42.000573
2003,50.498084,5.838865,43.152734
2004,52.754650,6.121015,44.354861
2005,55.437915,6.447055,45.585684
2006,59.645939,7.059390,47.360919
2007,63.225604,7.625009,48.900882
2008,66.399210,8.164118,50.266747
2009,69.923683,8.751669,51.563355
2010,71.605842,9.456976,54.704471
2011,78.820861,9.511584,51.700385
2012,86.470101,10.546175,47.181706
2013,93.118661,10.914256,43.967425
2014,97.754617,11.380722,54.558957
2015,100.590369,12.552784,65.313077
2016,97.976075,11.447654,50.028713
2017,95.729851,11.195042,49.479421
2018,100.332487,10.857193,48.130109
2019,103.507394,10.770805,44.803731
2020,98.785950,10.195484,43.869398
2021,95.499318,9.937969,41.494799
2022,104.549032,11.491743,54.250249
2023,111.435913,12.015442,62.814388
