"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,2516.288271,2500.157031,2497.016004,2499.097562,2499.929261,2498.677804,2498.581902,2498.542299,2505.380064,2590.118455,2590.118455,2589.895603,2571.210651,2525.501497,2525.293782,2525.517951,2534.865060,2536.247742,2534.638085,2536.283664
1991,2420.780108,2352.649148,2347.734676,2348.823367,2349.612652,2352.311738,2352.251759,2352.212777,2358.579325,2433.585426,2433.585426,2433.361049,2437.038082,2396.185552,2395.977960,2396.204964,2405.531915,2406.755722,2405.960404,2407.641677
1992,2070.128503,1946.685583,1942.115831,1927.751405,1928.441261,1931.140097,1931.064544,1931.026184,1942.249829,2013.571020,2013.571020,2013.344527,1993.217628,1957.862970,1957.658894,1957.886127,1965.610204,1966.504811,1965.325118,1963.458344
1993,1953.498437,1843.920849,1839.713446,1831.074926,1831.696934,1834.351848,1834.283819,1834.246084,1843.895479,1909.960613,1909.960613,1909.728954,1890.935002,1859.647999,1859.459631,1859.679401,1865.939469,1866.729113,1866.015630,1866.524785
1994,1700.221472,1630.112496,1626.455601,1619.543120,1620.061568,1622.450998,1622.392735,1622.360787,1630.795832,1685.870970,1685.870970,1685.597687,1669.637144,1641.540981,1641.399160,1641.616084,1646.941737,1647.664601,1646.861078,1646.876267
1995,1664.840354,1576.477049,1572.311531,1570.739393,1571.220114,1572.674248,1572.625210,1572.597261,1580.147482,1629.865333,1629.865333,1629.601690,1640.263218,1613.077829,1612.928320,1613.141141,1618.951170,1619.727116,1618.323941,1618.286228
1996,1632.420446,1535.872859,1532.243179,1531.785546,1532.153464,1533.942212,1533.897238,1533.869771,1541.299633,1581.665684,1581.665684,1581.384912,1606.949015,1580.298958,1580.160844,1580.375678,1586.172896,1586.822085,1586.265458,1586.632659
1997,1562.251066,1460.384043,1456.751103,1456.554275,1456.940930,1458.422599,1458.407495,1458.380512,1465.093465,1502.432574,1502.432574,1502.168210,1502.137425,1475.290753,1475.157172,1475.360211,1481.618770,1482.244511,1481.066409,1481.963469
1998,1517.366452,1440.536390,1437.040048,1432.597623,1432.914293,1432.791408,1432.770746,1432.744248,1439.497909,1476.954200,1476.954200,1476.680088,1484.852223,1458.298974,1458.157135,1458.367830,1464.542998,1465.253459,1464.425124,1465.858682
1999,1547.852316,1477.252459,1473.018696,1469.605801,1469.985981,1469.813327,1469.926095,1469.900083,1476.214375,1513.017074,1513.017074,1512.753117,1512.984706,1486.250624,1486.090034,1486.300503,1493.155061,1494.178837,1493.204995,1494.087760
2000,1536.401561,1473.701122,1469.001505,1471.148866,1471.607831,1471.352517,1471.362969,1471.337445,1476.998190,1504.542889,1504.542889,1504.292527,1499.616209,1471.234535,1471.052231,1471.259489,1478.184753,1479.142483,1478.086870,1480.576411
2001,1587.635773,1491.473398,1488.112121,1490.408570,1490.888529,1490.417500,1490.414121,1490.392556,1496.965436,1542.857982,1542.857982,1542.630012,1538.244400,1507.717800,1507.500880,1507.706569,1514.713521,1515.647133,1515.324853,1518.081403
2002,1584.087562,1491.057664,1488.522416,1491.257874,1491.754390,1491.365593,1491.357960,1491.341082,1498.141502,1531.565347,1531.565347,1531.325515,1528.961747,1495.710049,1495.483578,1495.693637,1505.520171,1506.787948,1505.779740,1508.329819
2003,1640.944814,1525.581685,1518.404186,1521.146604,1521.672892,1521.304327,1521.303647,1521.288695,1528.179084,1568.887798,1568.887798,1568.642384,1562.472351,1525.644213,1525.389951,1525.606991,1535.293112,1537.018309,1536.315811,1539.006404
2004,1675.792136,1527.557713,1520.743042,1523.941377,1524.535119,1523.543078,1523.542812,1523.533082,1530.685035,1575.564783,1575.564783,1575.338865,1570.864198,1530.776987,1530.473625,1530.694319,1541.753926,1543.957081,1542.790606,1545.353330
2005,,1528.251190,1521.328694,1525.742968,1526.358804,1524.799928,1524.799582,1524.789866,1531.657810,1594.321717,1594.321717,1594.104465,1588.662864,1547.692736,1547.375781,1547.599053,1559.082760,1562.576897,1561.910692,1563.980467
