"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,2301.269466,2287.351625,2287.351625,2287.105509,2287.109779,2287.018095,2287.014126,2286.974522,2293.012416,2338.398876,2338.398876,2338.005727,2334.308747,2289.498383,2289.498383,2289.722552,2297.248832,2297.248832,2299.418013,2301.247216
1991,2237.269079,2171.082305,2171.082305,2170.200188,2170.204500,2173.292215,2173.308545,2173.269562,2178.858164,2216.462494,2216.462494,2216.064713,2223.233753,2183.197380,2183.197380,2183.424384,2191.223504,2191.223504,2193.281397,2195.138289
1992,1901.281763,1779.544807,1779.544807,1763.262812,1763.266789,1766.146360,1766.143451,1766.105091,1776.616940,1814.952215,1814.952215,1814.556678,1799.598668,1765.050504,1765.050504,1765.277737,1771.541657,1771.541657,1773.106877,1771.409078
1993,1810.363283,1701.980060,1701.980060,1691.623671,1691.627274,1694.186983,1694.189839,1694.152104,1703.134812,1740.991857,1740.991857,1740.609083,1721.732111,1691.142792,1691.142792,1691.362562,1696.301042,1696.301042,1697.626991,1698.297597
1994,1579.013260,1509.999340,1509.999340,1501.543594,1501.546819,1503.803894,1503.798700,1503.766752,1511.548310,1544.780427,1544.780427,1544.404004,1524.350959,1496.882436,1496.882436,1497.099360,1501.210200,1501.210200,1502.157462,1502.307621
1995,1532.450615,1445.306290,1445.306290,1442.042079,1442.045560,1443.841716,1443.841537,1443.813588,1450.683394,1478.720037,1478.720037,1478.351002,1487.733101,1461.283377,1461.283377,1461.496199,1466.004519,1466.004519,1466.744231,1466.841642
1996,1512.443838,1416.937682,1416.937682,1414.873832,1414.877306,1417.423811,1417.421254,1417.393788,1424.027940,1446.105933,1446.105933,1445.733469,1468.532022,1442.576159,1442.576159,1442.790993,1447.363913,1447.363913,1448.665158,1449.165498
1997,1444.724594,1343.881505,1343.881505,1342.054361,1342.058043,1344.158827,1344.161803,1344.134819,1350.163718,1369.109048,1369.109048,1368.756341,1366.304428,1339.999232,1339.999232,1340.202271,1345.233471,1345.233471,1345.957395,1346.989354
1998,1407.384685,1331.475706,1331.475706,1325.514343,1325.518196,1326.398846,1326.399779,1326.373280,1332.479444,1353.732350,1353.732350,1353.367075,1360.067431,1334.011752,1334.011752,1334.222447,1339.260487,1339.260487,1340.109856,1341.653995
1999,1420.992629,1351.343568,1351.343568,1346.191192,1346.195381,1347.169074,1347.168184,1347.142172,1352.782653,1369.767265,1369.767265,1369.402121,1368.327044,1342.164046,1342.164046,1342.374514,1347.900474,1347.900474,1348.906452,1349.942555
2000,1396.786293,1335.218210,1335.218210,1335.498619,1335.502976,1336.937918,1336.936555,1336.911031,1341.839498,1347.160509,1347.160509,1346.800349,1343.103870,1315.351985,1315.351985,1315.559243,1321.068483,1321.068483,1322.123364,1323.877178
2001,1446.822676,1351.725548,1351.725548,1352.144921,1352.149568,1353.516521,1353.516370,1353.494805,1358.892202,1382.587912,1382.587912,1382.229994,1381.849529,1351.977088,1351.977088,1352.182776,1357.781696,1357.781696,1358.999895,1360.941659
2002,1440.894203,1348.910530,1348.910530,1349.669431,1349.674706,1350.912937,1350.912226,1350.895347,1356.394508,1367.806431,1367.806431,1367.441295,1369.169589,1336.641111,1336.641111,1336.851169,1345.240809,1345.240809,1346.501705,1348.650012
2003,1486.774892,1372.658656,1372.658656,1373.427240,1373.432970,1374.913330,1374.912802,1374.897850,1380.449711,1397.464973,1397.464973,1397.087318,1394.568546,1358.439780,1358.439780,1358.656820,1366.845820,1366.845820,1367.992626,1370.359940
2004,1516.092668,1369.173033,1369.173043,1370.333297,1370.340080,1371.650408,1371.650142,1371.640412,1377.417152,1397.513641,1397.513641,1397.129718,1393.701317,1354.409492,1354.409492,1354.630186,1364.113466,1364.113466,1365.175126,1367.752292
2005,,1368.610537,1368.610573,1370.981285,1370.988528,1372.116224,1372.115920,1372.106204,1377.581861,1415.211426,1415.211426,1414.823053,1412.277777,1372.123969,1372.123969,1372.347241,1382.321481,1382.321481,1383.250723,1386.028346
2006,,,1414.271881,1417.034061,1417.041639,1418.352926,1418.355389,1418.342619,1424.136757,1463.067127,1463.067127,1462.669617,1462.704683,1421.703235,1421.703235,1421.931735,1432.047335,1432.047335,1433.027900,1436.010963
2007,,,,1410.163452,1410.170737,1411.536323,1411.536188,1411.523230,1417.280111,1458.704792,1458.704792,1458.311690,1459.394439,1417.417459,1417.417459,1417.643051,1430.125291,1430.125291,1431.037137,1434.162615
2008,,,,,1455.047354,1451.983249,1451.994994,1452.127327,1458.271758,1500.056006,1500.056006,1499.657785,1499.688651,1457.929467,1457.929467,1458.158151,1466.723351,1466.723351,1467.868868,1471.185198
2009,,,,,,1386.787323,1386.786506,1386.762163,1393.415021,1411.824496,1411.824496,1411.479998,1413.161969,1370.798358,1370.798358,1370.995164,1380.011804,1380.011804,1380.962050,1384.195178
2010,,,,,,,1444.950718,1444.944120,1446.970651,1482.224437,1482.221764,1481.852610,1483.263156,1440.176793,1440.176793,1440.398385,1452.018785,1452.018785,1453.013551,1456.603612
2011,,,,,,,,1527.089347,1488.429907,1531.572613,1531.567864,1531.168680,1532.398460,1487.993722,1486.580605,1486.808999,1499.424999,1499.424999,1499.898229,1503.455512
2012,,,,,,,,,1500.763744,1545.577834,1545.574960,1545.188218,1540.949732,1495.249601,1496.396445,1496.617472,1509.596448,1509.596448,1509.872775,1513.258903
2013,,,,,,,,,,1488.237006,1488.249908,1487.858438,1480.592161,1434.078886,1435.483858,1435.708112,1447.556512,1447.556512,1447.403265,1450.577006
2014,,,,,,,,,,,1491.740541,1488.542219,1479.870796,1431.453686,1436.791454,1437.003828,1444.595437,1444.595437,1444.292344,1447.286470
2015,,,,,,,,,,,,1491.432282,1485.066398,1436.727927,1437.699412,1437.906671,1443.797870,1443.797870,1443.509466,1446.401015
2016,,,,,,,,,,,,,1483.058941,1433.622135,1435.211001,1435.418898,1441.472705,1441.472705,1440.965802,1443.770515
2017,,,,,,,,,,,,,,1459.501826,1459.643589,1459.869545,1468.152322,1468.152322,1467.614630,1470.522705
2018,,,,,,,,,,,,,,,1501.810956,1502.055251,1512.255427,1512.255427,1511.807708,1514.589836
2019,,,,,,,,,,,,,,,,1489.587893,1504.469643,1504.469643,1503.745637,1509.187418
2020,,,,,,,,,,,,,,,,,1431.458048,1427.873736,1427.002833,1432.334917
2021,,,,,,,,,,,,,,,,,,1501.357580,1500.708693,1467.450014
2022,,,,,,,,,,,,,,,,,,,1460.911647,1479.400569
2023,,,,,,,,,,,,,,,,,,,,1534.071984
