"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,126.701067,126.701067,126.701067,126.701067,126.701067,126.701067,126.898702,126.898702,123.664584,124.596705,125.800910,124.822777,129.882320,129.882320,129.882320,129.891363,129.816712,132.342810,132.373320
1991,,132.470804,132.470804,132.470804,132.470804,132.470804,132.470804,132.707334,132.707334,127.851828,128.899002,130.061392,129.929645,134.499956,134.499956,134.499956,134.516511,134.497810,136.943248,137.036669
1992,,138.638259,138.638259,138.638259,138.638259,138.638259,138.638259,138.865749,138.865749,133.542564,134.897928,136.239568,135.929759,140.775725,140.775725,140.775725,140.772123,140.772123,143.411368,143.431829
1993,,145.246923,145.246923,145.246923,145.246923,145.246923,145.246923,145.453814,145.453814,141.281148,142.725767,143.594322,143.129824,147.169813,147.169813,147.169813,147.150706,147.150706,149.780266,149.800145
1994,,143.208792,143.208792,143.208792,143.208792,143.208792,143.208792,143.404803,143.404803,138.339938,139.796160,140.784543,140.158927,144.117679,144.117679,144.117679,144.098521,144.098521,146.607417,146.607291
1995,,155.347304,155.347304,155.347304,155.347304,155.347304,155.347304,155.534200,155.534433,151.450911,152.710183,155.299181,153.352101,156.827075,156.827075,156.827075,156.801424,156.801424,159.578449,159.578323
1996,,173.367389,173.367389,173.367389,173.367389,173.367389,173.367389,173.553509,173.555712,166.538045,167.870686,170.935196,170.347006,174.383371,174.383371,174.383371,174.372177,174.372177,177.260694,177.260568
1997,,185.596470,185.596470,185.596470,185.596470,185.596470,185.596470,185.780492,185.784401,179.181914,180.309552,182.510568,181.807043,186.038616,186.038616,186.038616,186.001721,186.001721,188.825316,188.825191
1998,,185.004091,185.004091,185.004091,185.004091,185.004091,185.004091,185.176810,185.181716,178.753809,179.868402,182.230346,181.459073,185.609295,185.609295,185.609295,185.560218,185.560218,188.424079,188.423953
1999,,185.203172,185.203172,185.203172,185.203172,185.203172,185.203172,185.361425,185.372253,177.637105,178.721354,180.591278,178.859415,182.763476,182.763476,182.763476,182.742196,182.742196,185.492397,185.492271
2000,,207.054442,207.054442,207.054442,207.054442,207.054442,207.054442,207.202274,207.230738,204.584168,205.191950,201.534111,200.985630,204.510957,204.510957,204.510957,204.493882,204.493882,206.908426,206.908300
2001,,190.878734,190.878734,190.878734,190.878734,190.878734,190.878734,191.014979,191.042761,188.871171,189.989199,185.466689,184.614215,188.623700,188.623700,188.623700,188.587280,188.587280,191.299466,191.299340
2002,,198.951365,198.951365,198.951365,198.951365,198.951365,198.951365,199.082012,199.103601,197.092680,197.875540,192.696978,191.743342,195.422353,195.422353,195.422353,195.541440,195.541440,198.040103,198.039977
2003,,212.964266,212.964266,212.964266,212.964266,212.964266,212.964266,213.092012,213.127423,210.107139,211.019056,207.014975,205.989660,209.683267,209.683267,209.683267,209.828516,209.828516,212.296425,212.296299
2004,222.283609,222.283609,222.283609,222.283609,222.283609,222.283609,222.283609,222.406583,222.443608,220.337357,221.028314,213.593632,212.480029,215.288206,215.288206,215.288206,215.444210,215.444210,217.858178,217.858052
2005,,236.051487,236.051487,236.051487,236.355333,236.355333,236.355333,236.479249,236.540853,243.226908,244.078931,230.775825,228.972496,232.408619,232.408619,232.408619,232.906635,232.920313,235.040238,235.026434
2006,,,252.793931,252.793931,253.150170,253.150170,253.150170,253.268531,253.343811,266.176911,266.327966,249.803455,248.009984,247.926097,247.926097,247.926097,248.482958,248.470674,250.731822,250.731696
2007,,,,282.471852,282.833962,282.833962,282.833962,282.950078,283.017214,295.554216,295.318228,278.455369,276.736041,276.374675,276.374675,276.374675,277.129864,277.135211,279.056292,279.064766
2008,,,,,270.862109,270.862109,270.862109,270.980017,271.035233,281.874384,283.056807,273.763576,272.245178,271.096165,271.096165,271.096165,272.156008,272.149179,273.201411,273.201285
2009,,,,,,271.109025,271.109025,271.229891,271.284693,268.122904,268.549077,279.576011,277.515705,276.021704,276.021704,276.021704,276.415042,276.409278,277.508781,277.526891
2010,,,,,,,277.452666,277.452666,277.516314,272.187356,273.530371,276.856379,276.009671,270.819782,270.819782,270.819782,271.645323,271.648023,273.009980,273.014522
2011,,,,,,,,294.780757,294.860531,285.001398,285.634404,298.590250,296.691185,291.845190,291.845190,291.845190,293.134511,293.139387,294.044375,294.089415
2012,,,,,,,,,301.798547,307.496569,308.133177,304.895987,304.437920,304.431711,304.431711,304.431711,305.544152,305.573605,306.908733,306.906693
2013,,,,,,,,,,298.698698,297.607766,294.679442,294.046420,292.913570,292.913570,292.913569,293.760222,293.729352,295.591503,295.729281
2014,,,,,,,,,,,325.470733,306.320980,305.210022,309.259030,309.259030,309.259032,310.274445,310.196883,311.820060,312.115879
2015,,,,,,,,,,,,330.279923,328.847931,329.781919,329.781919,329.781918,330.814940,330.859229,332.250604,332.520099
2016,,,,,,,,,,,,,346.906913,345.297893,345.297893,345.297893,347.273296,347.362967,346.060214,346.224464
2017,,,,,,,,,,,,,,366.897574,366.897574,366.897574,369.365463,369.397726,367.846560,368.013149
2018,,,,,,,,,,,,,,,359.818812,359.818812,360.849667,360.086777,360.173816,360.433358
2019,,,,,,,,,,,,,,,,349.067029,350.126990,350.282193,351.890432,352.242218
2020,,,,,,,,,,,,,,,,,353.037880,352.004832,353.469786,353.723945
2021,,,,,,,,,,,,,,,,,,385.662230,387.949682,388.246223
2022,,,,,,,,,,,,,,,,,,,382.368166,382.521363
2023,,,,,,,,,,,,,,,,,,,,425.627387
