"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,-43.537729,-44.087459,-44.087459,-44.870573,-44.870573,-44.870573,-56.453599,-15.380984,-44.070135,-30.175628,-30.229250,-30.229250,-28.980621,-55.891027,-55.903365,-55.903365,-55.862349,-66.637316,-66.572307,-66.571589
1991,-55.235779,-55.572934,-55.572934,-56.313744,-56.313744,-56.313744,-57.454373,-17.060606,-45.360598,-31.811957,-31.828086,-31.828086,-30.620682,-56.801674,-56.792641,-56.792641,-56.764277,-67.448743,-67.500373,-67.488042
1992,-59.217373,-59.719011,-59.719011,-60.651140,-60.651140,-60.651140,-57.795700,-8.135863,-44.007590,-24.217640,-24.253704,-24.253704,-23.015030,-56.972386,-56.940145,-56.940145,-56.998279,-67.591586,-67.587445,-67.565323
1993,-58.483878,-59.160747,-59.160747,-60.258858,-60.258858,-60.258858,-58.037462,-19.142929,-46.423670,-31.159383,-31.209310,-31.209310,-29.947046,-56.208133,-56.195407,-56.195407,-56.234299,-66.755072,-66.821231,-66.810359
1994,-59.537995,-60.467881,-60.467881,-62.197759,-62.197759,-62.197759,-59.473409,-20.129363,-47.877062,-32.944306,-33.119546,-33.119546,-31.693178,-57.817629,-57.794170,-57.794170,-57.941463,-68.386159,-68.407333,-68.395668
1995,-60.091252,-60.737131,-60.737131,-61.836233,-61.836233,-61.836233,-58.950084,-20.073535,-47.571238,-30.171136,-30.168002,-30.168002,-28.960466,-57.478786,-57.462221,-57.462221,-57.490124,-67.854537,-68.023957,-68.011279
1996,-60.136753,-61.066828,-61.066828,-62.429198,-62.429198,-62.429198,-59.141171,-20.042620,-47.838828,-30.653135,-30.686530,-30.686530,-29.421363,-57.873548,-57.853213,-57.853213,-57.735863,-67.290046,-67.435707,-67.435745
1997,-62.597400,-63.087306,-63.087306,-64.337229,-64.337229,-64.337229,-60.874854,-20.209722,-49.280923,-31.202743,-31.173583,-31.173583,-29.973967,-61.763283,-61.761904,-61.761904,-61.807350,-70.532450,-70.522697,-70.535667
1998,-63.812820,-64.286251,-64.286251,-65.639822,-65.639822,-65.639822,-61.718925,-22.900332,-50.705460,-34.653083,-34.612231,-34.612231,-33.408553,-62.702127,-62.687092,-62.687092,-62.808831,-70.702716,-70.665187,-70.671579
1999,-64.540660,-65.025156,-65.025156,-66.446891,-66.446891,-66.446891,-62.369716,-23.219146,-51.334040,-33.911312,-33.851221,-33.851221,-32.652263,-64.111180,-64.098605,-64.098605,-64.203489,-71.280055,-71.286084,-71.298449
