"Year","Türkiye","World"
1950,0.200077,2.372741
1951,0.203758,2.509281
1952,0.200367,2.496828
1953,0.238052,2.519009
1954,0.240663,2.522133
1955,0.230690,2.710743
1956,0.241265,2.829705
1957,0.272285,2.864250
1958,0.275146,2.886446
1959,0.259093,2.981084
1960,0.237178,3.109071
1961,0.222715,3.068418
1962,0.237826,3.117449
1963,0.264323,3.212604
1964,0.285012,3.313059
1965,0.279737,3.389338
1966,0.306586,3.482441
1967,0.284777,3.521091
1968,0.306988,3.638560
1969,0.305355,3.800910
1970,0.297296,4.031813
1971,0.285633,4.112250
1972,0.293715,4.219880
1973,0.319914,4.358162
1974,0.341133,4.257539
1975,0.352493,4.190445
1976,0.385383,4.342568
1977,0.416380,4.387958
1978,0.445848,4.445411
1979,0.474203,4.491730
1980,0.501335,4.385349
1981,0.599471,4.204303
1982,0.632048,4.095304
1983,0.650036,4.047822
1984,0.712330,4.114002
1985,0.841195,4.177916
1986,0.879778,4.164586
1987,0.926560,4.215461
1988,0.824608,4.303169
1989,0.931741,4.285587
1990,0.839311,4.275440
1991,0.773648,4.288762
1992,0.837079,4.101485
1993,0.784012,4.079975
1994,0.807554,4.061836
1995,0.792431,4.097368
1996,0.793163,4.164388
1997,0.832659,4.131378
1998,0.871394,4.059213
1999,0.817740,4.096031
2000,0.757590,4.148800
2001,0.734075,4.125716
2002,0.669584,4.162733
2003,0.626855,4.327484
2004,0.604325,4.421495
2005,0.634832,4.515645
2006,0.735399,4.611727
2007,0.816697,4.688505
2008,0.909304,4.708763
2009,0.937114,4.572416
2010,0.931182,4.774950
2011,0.936988,4.878259
2012,0.879231,4.887112
2013,0.784795,4.868795
2014,0.814561,4.830362
2015,0.624793,4.767311
2016,0.742164,4.713752
2017,0.714795,4.735624
2018,0.777201,4.780249
2019,0.808308,4.778430
2020,0.726732,4.479880
2021,0.822815,4.676995
2022,0.898566,4.676281
2023,0.628561,4.697341
