"Year","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,,139.594096,139.594096,139.594096,141.362411,141.362411,141.362411,141.560046,141.560046,153.826864,146.750637,148.194794,146.507200,151.508468,151.508468,151.508468,151.664532,151.614981,154.140683,154.572094,155.053986
1991,,146.545240,146.545240,146.545240,148.309158,148.309158,148.309158,148.545687,148.545687,159.410502,152.335174,154.220172,153.538018,157.982005,157.982005,157.982005,158.140727,158.126315,160.571108,161.125931,161.583280
1992,,152.931808,152.931808,152.931808,153.947083,153.947083,153.947083,154.174574,154.174574,164.538556,158.571546,160.072553,159.065847,163.922250,163.922250,163.922250,164.061435,164.064876,166.704363,167.234001,167.591055
1993,,160.908368,160.908368,160.908368,162.549787,162.549787,162.549787,162.756678,162.756678,172.922209,167.443152,168.461120,167.301865,171.011163,171.011163,171.011163,171.133724,171.138875,173.770408,174.291143,174.630762
1994,,159.104217,159.104217,159.104217,160.817877,160.817877,160.817877,161.013888,161.013888,169.669743,164.623553,165.212559,163.783172,167.433113,167.433113,167.433113,167.560891,167.565647,170.074624,170.592417,170.938266
1995,,171.853831,171.853831,171.853831,173.899963,173.899963,173.899963,174.087091,174.087091,184.296660,178.812409,181.418571,178.310253,180.903047,180.903047,180.903047,181.481826,181.355257,184.132368,184.674708,185.036682
1996,,190.667695,190.667695,190.667695,192.011144,192.011144,192.011144,192.199467,192.199467,200.855293,194.751779,197.455996,195.750703,199.521939,199.521939,199.521939,199.582745,199.646693,202.535296,203.097942,203.535162
1997,,203.722795,203.722795,203.722795,205.178444,205.178444,205.178444,205.366375,205.366375,215.094280,208.480070,209.866426,208.023000,212.005568,212.005568,212.005568,212.037409,212.108198,214.931879,215.511523,215.842610
1998,,202.712747,202.712747,202.712747,204.324922,204.324922,204.324922,204.502548,204.502548,214.572834,208.365344,210.042761,208.042303,212.040282,212.040282,212.040282,212.069926,212.135043,214.998989,215.585837,216.019204
1999,,201.711597,201.711597,201.711597,203.677926,203.677926,203.677926,203.847007,203.847007,212.381586,206.388620,206.973706,203.949028,207.804163,207.804163,207.804163,207.857771,207.927912,210.678198,211.238081,211.696115
2000,,223.806010,223.806010,223.806010,225.432273,225.432273,225.432273,225.608568,225.608568,239.028414,232.549190,227.718648,226.029842,229.790601,229.790601,229.790601,229.858207,229.936660,232.351287,232.933969,233.402268
2001,,207.379441,207.379441,207.379441,208.990485,208.990485,208.990485,209.154512,209.154512,223.614676,217.469503,211.656819,209.529145,213.486094,213.486094,213.486094,213.483471,213.581229,216.293523,216.872489,217.309438
2002,,216.433081,216.433081,216.433081,217.925796,218.041666,218.041666,218.193903,218.193903,232.183849,226.365412,219.905691,217.652913,220.977701,220.977701,220.977701,221.148221,221.225642,223.724437,224.319769,224.634679
2003,,230.987281,230.987281,230.987281,232.641126,232.641126,232.641126,232.800341,232.804283,248.132018,240.902463,235.268284,232.963019,236.483893,236.483893,236.483893,236.683290,236.765649,239.233703,239.848552,240.170090
