"Year","Taiwan","World"
1950,0.496328,2.372741
1951,0.618573,2.509281
1952,0.774674,2.496828
1953,0.755026,2.519009
1954,0.729033,2.522133
1955,0.779827,2.710743
1956,0.803246,2.829705
1957,0.825771,2.864250
1958,0.933018,2.886446
1959,1.035672,2.981084
1960,1.081102,3.109071
1961,1.101707,3.068418
1962,1.202542,3.117449
1963,1.238395,3.212604
1964,1.338552,3.313059
1965,1.365252,3.389338
1966,1.439903,3.482441
1967,1.578544,3.521091
1968,1.691572,3.638560
1969,1.798630,3.800910
1970,1.920997,4.031813
1971,2.058253,4.112250
1972,2.296892,4.219880
1973,2.525747,4.358162
1974,2.419967,4.257539
1975,2.625342,4.190445
1976,3.327242,4.342568
1977,3.559972,4.387958
1978,4.062695,4.445411
1979,4.258069,4.491730
1980,4.613996,4.385349
1981,4.078784,4.204303
1982,4.032811,4.095304
1983,4.381198,4.047822
1984,4.408740,4.114002
1985,4.342687,4.177916
1986,4.773525,4.164586
1987,4.911309,4.215461
1988,5.595535,4.303169
1989,6.034312,4.285587
1990,6.035993,4.275440
1991,6.433655,4.288762
1992,6.797942,4.101485
1993,7.291871,4.079975
1994,7.587502,4.061836
1995,7.926244,4.097368
1996,8.238732,4.164388
1997,8.765604,4.131378
1998,9.151638,4.059213
1999,9.431064,4.096031
2000,10.224679,4.148800
2001,10.362679,4.125716
2002,10.617315,4.162733
2003,11.026490,4.327484
2004,11.424299,4.421495
2005,11.707511,4.515645
2006,12.089019,4.611727
2007,12.207839,4.688505
2008,11.604543,4.708763
2009,10.980390,4.572416
2010,11.727853,4.774950
2011,11.959260,4.878259
2012,11.762130,4.887112
2013,11.769056,4.868795
2014,11.824521,4.830362
2015,11.749804,4.767311
2016,11.875155,4.713752
2017,12.073937,4.735624
2018,11.965556,4.780249
2019,11.542099,4.778430
2020,11.426762,4.479880
2021,11.884827,4.676995
2022,11.453744,4.676281
2023,10.916255,4.697341
