"Year","Chile","World"
1950,0.714210,2.378734
1951,0.716051,2.515504
1952,0.780873,2.502896
1953,0.758217,2.524970
1954,0.753048,2.527923
1955,0.789017,2.716614
1956,0.809138,2.835461
1957,0.777028,2.869636
1958,0.774785,2.891376
1959,0.781490,2.985590
1960,0.704654,3.112931
1961,0.861809,3.071906
1962,1.001784,3.120741
1963,1.088061,3.215595
1964,1.114210,3.315825
1965,1.032778,3.391959
1966,0.988099,3.484865
1967,0.930108,3.523155
1968,0.987165,3.640223
1969,0.964032,3.802135
1970,1.062766,4.032588
1971,1.130070,4.112597
1972,1.138743,4.219747
1973,1.034965,4.355556
1974,0.987800,4.253289
1975,0.889329,4.173319
1976,0.828105,4.310191
1977,0.814857,4.352449
1978,0.760511,4.432504
1979,0.695824,4.465701
1980,0.779150,4.364099
1981,0.913262,4.168842
1982,0.895696,4.060496
1983,0.867878,4.023942
1984,0.869239,4.068703
1985,0.823278,4.137420
1986,0.788862,4.122175
1987,0.802060,4.179654
1988,0.860193,4.262697
1989,0.888834,4.241189
1990,0.875495,4.266701
1991,0.815485,4.282473
1992,0.702546,4.090168
1993,0.632621,4.068620
1994,0.612779,4.047994
1995,0.530009,4.083544
1996,0.505331,4.148108
1997,0.477445,4.114970
1998,0.425922,4.044522
1999,0.381205,4.079117
2000,0.371443,4.133621
2001,0.431621,4.107635
2002,0.389657,4.144280
2003,0.362720,4.307030
2004,0.293416,4.399256
2005,0.351369,4.493561
2006,0.337633,4.585831
2007,0.330154,4.661509
2008,0.359977,4.682571
2009,0.382587,4.545518
2010,0.364804,4.744937
2011,0.324059,4.848876
2012,0.286283,4.854014
2013,0.541424,4.837742
2014,0.630590,4.804597
2015,0.604485,4.739116
2016,0.383014,4.682487
2017,0.378920,4.705259
2018,0.375374,4.752195
2019,0.346349,4.747814
2020,0.214475,4.457744
2021,0.177923,4.634748
2022,0.189873,4.678452
2023,0.193911,4.707772
2024,0.186159,4.729075
