"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.904000,0.020000,0.246600,5.285298
1962,1.206000,0.023900,0.250600,5.828721
1963,0.803300,0.025900,0.273800,5.442323
1964,1.057200,0.026900,0.317000,6.478269
1965,1.175000,0.034000,0.387400,6.632728
1966,1.130000,0.044710,0.430200,6.960878
1967,0.952000,0.038052,0.477600,6.268903
1968,1.140000,0.053139,0.457800,7.190991
1969,1.013000,0.052565,0.494800,7.220342
1970,0.976400,0.055096,0.468600,8.008161
1971,1.093000,0.066512,0.520000,9.284000
1972,1.113600,0.065554,0.572000,9.235000
1973,1.059000,0.065500,0.476000,8.698000
1974,1.478000,0.063400,0.552000,9.203000
1975,1.320000,0.042600,0.470000,9.206000
1976,1.223000,0.057600,0.552000,10.046000
1977,1.267000,0.069200,0.592000,10.596414
1978,1.478000,0.088300,0.588000,11.399000
1979,2.199000,0.106000,0.552000,13.234000
1980,2.297000,0.107800,0.712000,13.326000
1981,1.735000,0.134000,0.636000,13.304000
1982,1.176000,0.112000,0.612000,12.270000
1983,1.610000,0.131000,0.666000,13.789000
1984,2.001000,0.174000,0.762000,15.194000
1985,2.194000,0.199000,0.770000,15.916000
1986,2.026000,0.215000,0.776000,16.978000
1987,2.677000,0.246000,0.884000,17.701000
1988,2.710000,0.256000,0.898000,18.854000
1989,2.684000,0.292000,0.876000,19.003000
1990,3.327000,0.340200,0.924000,22.085000
1991,3.218000,0.360400,0.972000,24.508797
1992,3.020000,0.451500,1.016000,28.373000
1993,3.113000,0.569600,1.052000,29.855000
1994,3.364000,0.671400,1.106000,31.053000
1995,3.802000,0.749700,1.146000,34.580011
1996,4.140000,0.839200,1.360000,29.831000
1997,4.661000,0.954500,1.228000,29.977000
1998,4.551000,0.867200,1.195644,31.729000
1999,5.253900,0.951200,1.648000,33.973000
2000,5.698100,1.090570,1.722000,36.568000
2001,5.872000,1.254920,1.754000,37.790000
2002,6.438900,1.478410,2.032000,37.817139
2003,7.004500,1.678250,2.196000,37.001371
2004,8.014800,1.849060,2.336000,42.587709
2005,8.298400,2.040070,2.430000,45.642000
2006,8.718200,2.259410,2.462000,46.705000
2007,8.340400,2.223600,2.688000,52.633000
2008,7.306000,2.589890,2.758000,54.833000
2009,5.836300,2.308790,2.696000,51.023000
2010,6.353900,2.647050,2.724000,47.215000
2011,6.785000,2.839900,2.874000,55.148000
2012,7.160000,2.546800,2.694000,55.073000
2013,7.721000,2.624000,2.536000,57.190789
2014,7.999000,2.853600,2.462600,58.702789
2015,8.373200,3.171000,2.488400,59.756789
2016,8.455100,3.023500,2.381400,60.675789
2017,8.150900,3.072200,2.212200,62.108789
2018,8.307200,3.254600,2.402600,63.717133
2019,8.030433,3.208000,2.360400,61.432334
2020,7.873825,3.280057,2.251000,59.685199
2021,8.683000,3.458900,2.489600,59.775374
2022,7.859000,3.311600,2.610000,56.672789
2023,6.887000,2.796000,2.584000,55.871789
