"Year","Chile","World"
1950,1.415730,2.378734
1951,1.477293,2.515504
1952,1.538595,2.502896
1953,1.479011,2.524970
1954,1.543120,2.527923
1955,1.581630,2.716614
1956,1.579751,2.835461
1957,1.532487,2.869636
1958,1.593016,2.891376
1959,1.591217,2.985590
1960,1.652875,3.112931
1961,1.736767,3.071906
1962,1.966254,3.120741
1963,1.999619,3.215595
1964,1.979655,3.315825
1965,1.969091,3.391959
1966,2.044548,3.484865
1967,2.057810,3.523155
1968,2.228363,3.640223
1969,2.327563,3.802135
1970,2.502279,4.032588
1971,2.702955,4.112597
1972,2.765591,4.219747
1973,2.668039,4.355556
1974,2.463206,4.253289
1975,2.150265,4.173319
1976,2.217045,4.310191
1977,2.091398,4.352449
1978,2.044450,4.432504
1979,2.180789,4.465701
1980,2.180983,4.364099
1981,2.084745,4.168842
1982,1.727839,4.060496
1983,1.719096,4.023942
1984,1.802520,4.068703
1985,1.717772,4.137420
1986,1.749354,4.122175
1987,1.752144,4.179654
1988,2.046245,4.262697
1989,2.422841,4.241189
1990,2.449038,4.266701
1991,2.261066,4.282473
1992,2.304764,4.090168
1993,2.417898,4.068620
1994,2.652570,4.047994
1995,2.860989,4.083544
1996,3.273119,4.148108
1997,3.746343,4.114970
1998,3.784981,4.044522
1999,4.008533,4.079117
2000,3.773478,4.133621
2001,3.374069,4.107635
2002,3.457931,4.144280
2003,3.438444,4.307030
2004,3.658486,4.399256
2005,3.738289,4.493561
2006,3.879552,4.585831
2007,4.226908,4.661509
2008,4.189623,4.682571
2009,3.877766,4.545518
2010,4.152584,4.744937
2011,4.499324,4.848876
2012,4.544800,4.854014
2013,4.621091,4.837742
2014,4.343112,4.804597
2015,4.531259,4.739116
2016,4.612114,4.682487
2017,4.533392,4.705259
2018,4.469475,4.752195
2019,4.791034,4.747814
2020,4.139166,4.457744
2021,4.298359,4.634748
2022,4.385190,4.678452
2023,3.947549,4.707772
2024,3.983124,4.729075
