"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-118.674690,38.051193,-1.346563,,-3.268738,
1991,-120.947781,45.730053,-1.519239,,-3.377906,
1992,-121.832043,46.575184,-1.620146,,-3.426618,
1993,-123.966852,49.612496,-1.777053,,-3.511661,
1994,-125.387434,52.174566,-1.817507,,-3.479580,
1995,-127.445223,56.764502,-1.890395,,-3.576383,
1996,-128.199087,58.506480,-1.789520,,-3.415997,
1997,-129.780932,58.113547,-1.780926,,-3.317414,
1998,-130.838155,75.680985,-1.730389,,-3.191662,
1999,-131.650660,65.427691,-1.709550,,-3.117789,
2000,-132.650082,58.872577,-1.620682,,-2.927955,
2001,-133.893834,59.945237,-1.590564,,-2.816308,
2002,-134.793487,75.189720,-1.655437,,-2.978035,
2003,-133.938757,62.557440,-1.405826,,-2.459835,
2004,-135.129737,70.815790,-1.494075,,-2.596285,
2005,-136.350430,73.954047,-1.584663,,-2.697815,
2006,-137.660637,73.609767,-1.629792,,-2.638324,
2007,-140.250761,87.788614,-1.710847,,-2.644465,
2008,-140.297614,90.157068,-1.699158,,-2.618497,
2009,-142.184429,87.103302,-1.714367,,-2.589678,
2010,-142.728816,81.232436,-1.634621,,-2.551822,
2011,-144.406763,83.754926,-1.537490,,-2.385868,
2012,-145.204286,89.972787,-1.430149,,-2.277709,
2013,-146.121433,84.915327,-1.293042,,-2.069780,
2014,-145.772991,91.195875,-2.137901,,-2.013651,
2015,-145.159094,101.984968,-1.941547,,-1.681057,
2016,-145.810056,88.641526,-1.878542,,-1.641279,
2017,-143.148587,154.244765,-1.525569,,-1.566320,
2018,-143.713942,95.416151,-1.575040,,-1.480474,
2019,-144.485051,97.881762,-1.489962,,-1.372730,
2020,-144.792188,96.142632,-1.524651,,-1.261373,
2021,-144.691479,89.126202,-1.408632,,-1.142069,
2022,-143.962536,92.507087,-1.299485,,-1.058060,
