"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-80.623498,-1.346563,,-3.268738,
1991,-75.217728,-1.519239,,-3.377906,
1992,-75.256860,-1.620146,,-3.426618,
1993,-74.354356,-1.777053,,-3.511661,
1994,-73.212868,-1.817507,,-3.479580,
1995,-70.680721,-1.890395,,-3.576383,
1996,-69.692608,-1.789520,,-3.415997,
1997,-71.667385,-1.780926,,-3.317414,
1998,-55.157171,-1.730389,,-3.191662,
1999,-66.222969,-1.709550,,-3.117789,
2000,-73.777504,-1.620682,,-2.927955,
2001,-73.948598,-1.590564,,-2.816308,
2002,-59.603767,-1.655437,,-2.978035,
2003,-71.381317,-1.405826,,-2.459835,
2004,-64.313948,-1.494075,,-2.596285,
2005,-62.396383,-1.584663,,-2.697815,
2006,-64.050869,-1.629792,,-2.638324,
2007,-52.462147,-1.710847,,-2.644465,
2008,-50.140546,-1.699158,,-2.618497,
2009,-55.081127,-1.714367,,-2.589678,
2010,-61.496379,-1.634621,,-2.551822,
2011,-60.651837,-1.537490,,-2.385868,
2012,-55.231499,-1.430149,,-2.277709,
2013,-61.206106,-1.293042,,-2.069780,
2014,-54.577117,-2.137901,,-2.013651,
2015,-43.174126,-1.941547,,-1.681057,
2016,-57.168530,-1.878542,,-1.641279,
2017,11.096178,-1.525569,,-1.566320,
2018,-48.297791,-1.575040,,-1.480474,
2019,-46.603289,-1.489962,,-1.372730,
2020,-48.649556,-1.524651,,-1.261373,
2021,-55.565277,-1.408632,,-1.142069,
2022,-51.455449,-1.299485,,-1.058060,
