"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,2.298808,1.579836,3.087246
1991,2.403133,1.654607,3.211478
1992,2.639494,1.817704,3.424648
1993,2.877680,1.991567,3.850442
1994,3.246839,2.251257,4.305714
1995,3.559835,2.434646,4.735136
1996,3.835628,2.594170,5.149289
1997,4.007918,2.684716,5.426549
1998,4.184168,2.782931,5.761357
1999,4.411072,2.937798,5.947117
2000,4.454382,2.994138,6.221243
2001,4.071015,2.750601,5.991454
2002,4.031466,2.804125,6.498590
2003,3.938204,2.751295,6.653692
2004,3.956377,2.651297,6.717631
2005,4.042045,2.744374,7.618352
2006,3.987857,2.704536,7.735448
2007,4.196158,2.861160,8.423021
2008,4.290310,2.970281,8.737620
2009,4.742799,3.150773,8.705661
2010,5.437866,3.396770,8.451256
2011,5.345164,3.516695,9.221353
2012,6.014870,3.776383,8.997491
2013,6.673901,4.098026,9.491488
2014,6.968747,3.869368,8.070180
2015,7.221160,4.286098,9.183972
2016,7.832065,4.569029,9.368957
2017,8.270038,4.762503,9.415174
2018,8.353033,5.017714,9.911765
2019,8.664125,5.138974,9.893080
2020,7.457353,4.804460,9.411161
2021,9.196298,5.275371,9.386936
2022,9.821827,5.788744,9.888388
